subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/John_Keats,Quantified_mass:has_theme,writers,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Temporal_subregion:has_theme,later,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Communicate_categorization:has_item,"his "" Ode to a Nightingale ",0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Event_instance:has_theme,time,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Be_subset_of:has_time,Today,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Text:has_location,http://en.wikipedia.org/wiki/England,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Temporal_subregion:has_theme,century,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Text:has_text,On First Looking into Chapman's Homer,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Give_impression:has_theme,Keats and his family,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Perception_active:has_theme,into Chapman's Homer,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Be_subset_of:has_theme,his poems and letters,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Origin:has_theme,http://en.wikipedia.org/wiki/United_States,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Death:has_theme,tuberculosis,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Fields:has_theme,literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sleep_and_Poetry,State_continue:has_state,among the most popular and analysed in English literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Measure_duration:has_theme,years,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Being_born:has_location,"Moorgate, London",0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Placing:has_time,end of the century,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Calendric_unit:has_theme,later,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Age:has_age,25,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Subjective_influence:has_theme,many writers of the Pre-Raphaelite Brotherhood,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Containers:has_theme,Urn,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Measure_duration:has_theme,four,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Calendric_unit:has_theme,century,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Text:has_text,poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ode_on_a_Grecian_Urn,Subjective_influence:has_theme,"poets such as Algernon Charles Swinburne, Dante Gabriel Rossetti, and William Morris",0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Text:has_theme,medievalist,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Scrutiny:has_theme,his poems and letters,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Being_born:has_time,31 October 1795,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Temporal_subregion:has_theme,Victorian era,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Subjective_influence:has_theme,strongly,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Reference_text:has_theme,Keats (disambiguation),0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Quantified_mass:has_quantity,many,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Ordinal_numbers:has_type,time reading,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,People_by_vocation:has_person,John Keats (31 October 1795 – 23 February 1821),0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Eve_of_St._Agnes,Giving:has_theme,baptism records,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Importance:has_theme,Pre-Raphaelite movement,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Death:has_time,age of 25,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Communicate_categorization:has_speaker,Encyclopdia Britannica of 1888,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Origin:has_location,http://en.wikipedia.org/wiki/England,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Perception_experience:has_theme,he felt all his life,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Give_impression:has_theme,have marked his birthday on 29 October,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,People_by_vocation:has_theme,second generation of Romantic poets,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Objective_influence:has_theme,Pre-Raphaelite movement,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Accompaniment:has_participant,John Keats (31 October 1795 – 23 February 1821),0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Origin:has_entity,writer and biographer,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Objective_influence:has_degree,major,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sleep_and_Poetry,State_continue:has_time,Today,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Text:has_text,writer,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Desirability:has_theme,most,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Containers:has_owner,Grecian,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Text:has_text,letters,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Expansion:has_theme,rapidly,0.9,Unknown,True
http://en.wikipedia.org/wiki/Pre-Raphaelite_Brotherhood,Text:has_text,writers,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jorge_Luis_Borges,Indicating:has_theme,his first time reading Keats an experience he felt all his life,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Eve_of_St._Agnes,Giving:has_theme,date,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Temporal_subregion:has_theme,end,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Increment:has_class,uses,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Communicate_categorization:has_category,"as "" one of the final masterpieces",0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Aggregate:has_theme,English literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Be_subset_of:has_theme,most popular and analysed in English literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Keats,Evidence:has_degree,little,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Eve_of_St._Agnes,Giving:has_time,as the 31st,0.9,Unknown,True
