subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Cannery_Row_(novel),Text:has_text,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Steinbeck,Labor_product:has_theme,works,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Commerce_sell:has_time,75th anniversary of its publishing date,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cannery_Row_(novel),Text:has_theme,literary,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Steinbeck,Fame:has_time,1935,0.9,Unknown,True
http://en.wikipedia.org/wiki/Palestine_(region),Killing:has_time,1913,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cannery_Row_(novel),Being_named:has_theme,name,0.9,Unknown,True
http://en.wikipedia.org/wiki/Western_canon,Origin:has_theme,http://en.wikipedia.org/wiki/United_States,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Increment:has_class,people,0.9,Unknown,True
http://en.wikipedia.org/wiki/Baig,Aggregate:has_theme,short stories,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Steinbeck,Reference_text:has_theme,Steinbeck (surname ),0.9,Unknown,True
http://en.wikipedia.org/wiki/Western_canon,Part_whole:has_theme,American literary canon,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Steinbeck,Text:has_author,Steinbeck's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cannery_Row_(novel),Text:has_theme,comic,0.9,Unknown,True
http://en.wikipedia.org/wiki/Palestine_(region),Personal_relationship:has_theme,his brother's,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Steinbeck,Win_prize:has_time,1962,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Commerce_sell:has_goods,14 million copies,0.9,Unknown,True
http://en.wikipedia.org/wiki/Baig,Text:has_theme,non-fiction,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Steinbeck,Win_prize:has_prize,1962 Nobel Prize in Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Heiligenhaus,Being_named:has_entity,"family farm in Heiligenhaus, Mettmann, Germany",0.9,Unknown,True
http://en.wikipedia.org/wiki/Western_canon,Origin:has_time,1939,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Steinbeck,Fame:has_degree,widely,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Steinbeck,Win_prize:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Steinbeck,Being_born:has_location,"Salinas, California",0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Steinbeck,Fame:has_reason,"comic novels Tortilla Flat (1935) and Cannery Row (1945 ), the multigeneration epic East of Eden (1952 ), and the novellas The Red Pony (1933) and Of Mice and Men (1937",0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Steinbeck,Using:has_agent,Much of Steinbeck's work,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Categorization:has_category,Steinbeck's masterpiece,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Steinbeck,Text:has_time,1962,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cannery_Row_(novel),Text:has_text,canon,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cannery_Row_(novel),Text:has_text,East of Eden,0.9,Unknown,True
http://en.wikipedia.org/wiki/Palestine_(region),Personal_relationship:has_time,1913,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cannery_Row_(novel),Fields:has_time,1939,0.9,Unknown,True
http://en.wikipedia.org/wiki/California_Coast_Ranges,Locale:has_theme,region,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Steinbeck,Being_born:has_time,"February 27, 1902",0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Steinbeck,Text:has_text,writings,0.9,Unknown,True
http://en.wikipedia.org/wiki/Baig,Duration_description:has_theme,stories,0.9,Unknown,True
http://en.wikipedia.org/wiki/Western_canon,Origin:has_entity,literary canon,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Steinbeck,Arriving:has_goal,http://en.wikipedia.org/wiki/United_States,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Steinbeck,Kinship:has_time,1935,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Steinbeck,Win_prize:has_theme,his realistic and imaginative writings,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Steinbeck,Labor_product:has_agent,Steinbeck's,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Steinbeck,Labeling:has_theme, a giant of American letters,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Origin:has_entity,letters,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cannery_Row_(novel),Buildings:has_theme,farm,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cannery_Row_(novel),Explaining_the_facts:has_theme,"themes of fate and injustice, especially as applied to downtrodden or everyman protagonists",0.9,Unknown,True
http://en.wikipedia.org/wiki/Western_canon,Part_whole:has_time,1939,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cannery_Row_(novel),Buildings:has_location,"Heiligenhaus, Mettmann, Germany",0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Steinbeck,Using:has_instrument,"settings in his native central California, particularly in the Salinas Valley and the California Coast Ranges region",0.9,Unknown,True
"http://en.wikipedia.org/wiki/Salinas,_California",Natural_features:has_theme,Valley,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Categorization:has_item,Pulitzer Prize –winning The Grapes of Wrath (1939),0.9,Unknown,True
http://en.wikipedia.org/wiki/Ed_Ricketts,Inclusion:has_theme,16 novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Steinbeck,Text_creation:has_text,33 books,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Steinbeck,Kinship:has_theme,father,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cannery_Row_(novel),Text:has_time,1935,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Steinbeck,Text:has_time,1939,0.9,Unknown,True
http://en.wikipedia.org/wiki/Baig,Text:has_text,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cannery_Row_(novel),Fields:has_theme,literary,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Steinbeck,Win_prize:has_means,combining as they do sympathetic humor and keen social perception,0.9,Unknown,True
http://en.wikipedia.org/wiki/California_Coast_Ranges,Locale:has_theme,California Coast Ranges,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cannery_Row_(novel),Being_named:has_theme,family name,0.9,Unknown,True
http://en.wikipedia.org/wiki/Western_canon,Part_whole:has_theme,part,0.9,Unknown,True
http://en.wikipedia.org/wiki/Baig,Text:has_text,books,0.9,Unknown,True
