Source,Target,Label,Frame
"http://en.wikipedia.org/wiki/Santa_Fe,_New_Mexico",Santa Fe,has theme,Residence
http://en.wikipedia.org/wiki/Great_Depression,day,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Richard,2011,has time,Text_creation
http://en.wikipedia.org/wiki/Richard,writer,has author,Text_creation
http://en.wikipedia.org/wiki/Lev_Grossman,Jean Cocteau Cinema,has theme,Possession
"http://en.wikipedia.org/wiki/Bayonne,_New_Jersey",13 years old,has time,Appointing
http://en.wikipedia.org/wiki/Lev_Grossman,2011,has time,Inclusion
"http://en.wikipedia.org/wiki/Santa_Fe,_New_Mexico",Santa Fe,has theme,Assistance
http://en.wikipedia.org/wiki/Great_Depression,"be 53.6% ""British and Irish, 22.4% Ashkenazi Jewish, and 15.6% ""Broadly Northwestern European",has theme,Evidence
http://en.wikipedia.org/wiki/Great_Depression,Bayonne docks,has theme,Locative_relation
http://en.wikipedia.org/wiki/Richard,"as the author of the series of epic fantasy novels A Song of Ice and Fire, which were adapted into the Primetime Emmy Award –winning television series Game of Thrones 2011–2019 and its prequel series House of the Dragon 2022–present",has theme,Being_named
http://en.wikipedia.org/wiki/Great_Depression,series Finding Your Roots,has theme,Examination
http://en.wikipedia.org/wiki/Richard,which,has theme,Removing
"http://en.wikipedia.org/wiki/Bayonne,_New_Jersey",13 years,has age,Age
http://en.wikipedia.org/wiki/List_of_Wild_Cards_books_and_short_stories,create the Wild Cards anthology series,has goal,Assistance
http://en.wikipedia.org/wiki/Lev_Grossman,http://en.wikipedia.org/wiki/Martin_(TV_series),has entity,Labeling
http://en.wikipedia.org/wiki/Richard,fantasy novels,has entity,Fame
http://en.wikipedia.org/wiki/List_of_Wild_Cards_books_and_short_stories,2022,has time,Intentionally_create
http://en.wikipedia.org/wiki/Martin_(TV_series),mother,has theme,Kinship
http://en.wikipedia.org/wiki/Great_Depression,1953,has time,Buildings
"http://en.wikipedia.org/wiki/Bayonne,_New_Jersey",1953,has time,Roadways
http://en.wikipedia.org/wiki/Richard,"series of epic fantasy novels A Song of Ice and Fire, which were adapted into the Primetime Emmy Award –winning television series Game of Thrones 2011–2019 and its prequel series House of the Dragon 2022–present",has text,Text_creation
http://en.wikipedia.org/wiki/Lev_Grossman,2005,has time,People
http://en.wikipedia.org/wiki/Lev_Grossman,people,has entity,Subjective_influence
http://en.wikipedia.org/wiki/Lev_Grossman,"http://en.wikipedia.org/wiki/Bayonne,_New_Jersey",has location,Kinship
http://en.wikipedia.org/wiki/Great_Depression,http://en.wikipedia.org/wiki/Martin_(TV_series),has theme,Kinship
http://en.wikipedia.org/wiki/Lev_Grossman,Lev Grossman of Time,has speaker,Labeling
http://en.wikipedia.org/wiki/Great_Depression,housing,has theme,Buildings
http://en.wikipedia.org/wiki/Great_Depression,1953,has time,Political_locales
http://en.wikipedia.org/wiki/Great_Depression,younger,has degree,Age
http://en.wikipedia.org/wiki/Richard,American writer and television producer,has entity,Being_named
http://en.wikipedia.org/wiki/Great_Depression,house on Broadway,has theme,Possession
http://en.wikipedia.org/wiki/Great_Depression,lived in a house on Broadway belonging to Martin's great-grandmother,has theme,First_experience
http://en.wikipedia.org/wiki/Great_Depression,near the Bayonne docks,has location,Project
http://en.wikipedia.org/wiki/Lev_Grossman,most influential,has theme,People
"http://en.wikipedia.org/wiki/Bayonne,_New_Jersey",http://en.wikipedia.org/wiki/Martin_(TV_series),has theme,Appointing
http://en.wikipedia.org/wiki/Lev_Grossman,most influential people in the world,has theme,Text
http://en.wikipedia.org/wiki/Great_Depression,housing,has activity,Project
"http://en.wikipedia.org/wiki/Bayonne,_New_Jersey",13,has theme,Measure_duration
http://en.wikipedia.org/wiki/Great_Depression,DNA,has knowledge,Examination
"http://en.wikipedia.org/wiki/Bayonne,_New_Jersey",1948,has time,Age
http://en.wikipedia.org/wiki/List_of_Wild_Cards_books_and_short_stories,2022,has time,Assistance
http://en.wikipedia.org/wiki/Great_Depression,Martin's great-grandmother,has owner,Possession
http://en.wikipedia.org/wiki/Lev_Grossman,list,has text,Text
http://en.wikipedia.org/wiki/Martin_(TV_series),"Bayonne, New Jersey",has location,Being_born
http://en.wikipedia.org/wiki/Great_Depression,federal,has agent,Project
http://en.wikipedia.org/wiki/Richard,American,has theme,Origin
http://en.wikipedia.org/wiki/Great_Depression,http://en.wikipedia.org/wiki/Broadway_(Manhattan),has location,Buildings
http://en.wikipedia.org/wiki/Martin_(TV_series),1948,has time,Being_born
http://en.wikipedia.org/wiki/Lev_Grossman,people,has person,People
http://en.wikipedia.org/wiki/Lev_Grossman,2005,has time,Political_locales
http://en.wikipedia.org/wiki/Richard,television,has type,Behind_the_scenes
http://en.wikipedia.org/wiki/Lev_Grossman,longshoreman Raymond Collins Martin and Margaret Brady Martin,has theme,Kinship
"http://en.wikipedia.org/wiki/Bayonne,_New_Jersey",http://en.wikipedia.org/wiki/Richard,has theme,Being_named
http://en.wikipedia.org/wiki/Great_Depression,family,has theme,Kinship
http://en.wikipedia.org/wiki/Great_Depression,family,has theme,Residence
http://en.wikipedia.org/wiki/Richard,writer and television producer,has entity,Origin
http://en.wikipedia.org/wiki/Martin_(TV_series),Martin's,has theme,Kinship
http://en.wikipedia.org/wiki/Great_Depression,1953,has time,Project
http://en.wikipedia.org/wiki/Lev_Grossman,son,has theme,Kinship
http://en.wikipedia.org/wiki/Lev_Grossman, the American Tolkien,has theme,Labeling
http://en.wikipedia.org/wiki/Richard,television,has instrument,Text_creation
http://en.wikipedia.org/wiki/Great_Depression,1953,has time,Temporal_collocation
http://en.wikipedia.org/wiki/Richard,1948,has time,Origin
"http://en.wikipedia.org/wiki/Bayonne,_New_Jersey",federal housing project near the Bayonne docks,has goal,Motion
http://en.wikipedia.org/wiki/Great_Depression,business,has business,Businesses
http://en.wikipedia.org/wiki/Great_Depression,they moved to a federal housing project near the Bayonne docks,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Richard,initials G.R.R.M,has theme,Being_named
"http://en.wikipedia.org/wiki/Bayonne,_New_Jersey",years,has theme,Measure_duration
http://en.wikipedia.org/wiki/Lev_Grossman,Santa Fe,has owner,Possession
http://en.wikipedia.org/wiki/Lev_Grossman,2005,has time,Subjective_influence
http://en.wikipedia.org/wiki/Richard,American,has location,Text_creation
