subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/William_S._Burroughs,Quantified_mass:has_quantity,thousands,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_II,Becoming_a_member:has_group,U.S. Army,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Temporal_collocation:has_theme,he enlisted in the U.S. Army to serve during World War II,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_York_City,Interior_profile_relation:has_time,1943,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beat_Generation,Objective_influence:has_theme,defining,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,People:has_person,people,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Relative_time:has_theme,being turned down by both the Office of Strategic Services and the Navy,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_York_City,Interior_profile_relation:has_theme,he befriended Allen Ginsberg and Jack Kerouac,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Process_start:has_theme,morphine,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Craft:has_theme,celebrated,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Being_named:has_time,1914,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_II,Becoming_a_member:has_time,1942,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Substance:has_theme,substance,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Duration_description:has_theme,stories,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Text:has_text,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Intentionally_create:has_theme,"thousands of visual artworks, including his celebrated ""shotgun art",0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Text:has_text,essays,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Aggregate:has_theme,collections,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Kinship:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Rice_Burroughs,Fame:has_reason,"his third novel, Naked Lunch (1959",0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Inclusion:has_theme,thousands of visual artworks,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Work:has_theme,artworks,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Increment:has_time,1914,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Origin:has_time,1914,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Rest:has_theme,rest,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_II,Assistance:has_time,during World War II,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Reference_text:has_time,1914,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Create_physical_artwork:has_creator,"William Seward Burroughs II ( / b r o z / ; February 5, 1914 – August 2, 1997)",0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Social_event:has_theme,shotgun art,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Wealthiness:has_location,St,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Quantified_mass:has_quantity,numerous,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Temporal_collocation:has_theme,1942,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Coming_to_be:has_entity,heroin addiction that would affect him for the rest of his life,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Rice_Burroughs,Success_or_failure:has_time,1953,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Inclusion:has_theme,"his celebrated ""shotgun art",0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Text:has_text,interviews,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Publishing:has_work,Five books of his interviews and correspondences,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Cause_to_perceive:has_theme,"thousands of visual artworks, including his celebrated "" shotgun art",0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Ordinal_numbers:has_time,1953,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Intentionally_create:has_creator,who,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Relation:has_theme,public,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ivy_Lee,People_by_vocation:has_type,public relations,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Cardinal_numbers:has_entity,books,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Collaboration:has_theme,numerous performers and musicians,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Undergo_change:has_time,After being turned down by both the Office of Strategic Services and the Navy,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Cardinal_numbers:has_theme,four,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Rice_Burroughs,Fame:has_time,1953,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Addiction:has_theme,heroin,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Aggregate:has_theme,short stories,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Rice_Burroughs,Being_born:has_theme,"into a wealthy family in St. Louis, Missouri",0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Create_physical_artwork:has_time,1914,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Being_named:has_entity,other people,0.9,Unknown,True
http://en.wikipedia.org/wiki/Vienna,Education_teaching:has_theme,"English, then anthropology",0.9,Unknown,True
http://en.wikipedia.org/wiki/New_York_City,Temporal_collocation:has_theme,living in New York City,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Text_creation:has_author,"William Seward Burroughs II ( / b r o z / ; February 5, 1914 – August 2, 1997)",0.9,Unknown,True
http://en.wikipedia.org/wiki/New_York_City,Temporal_collocation:has_theme,he befriended Allen Ginsberg and Jack Kerouac,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Wealthiness:has_person,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Objective_influence:has_theme,who,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Cardinal_numbers:has_entity,collections of essays,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Text_creation:has_text,both underground and popular culture and literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_II,Becoming_a_member:has_purpose,serve during World War II,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Undergo_change:has_theme,"into substance abuse, beginning with morphine and developing a heroin addiction that would affect him for the rest of his life",0.9,Unknown,True
http://en.wikipedia.org/wiki/New_York_City,Temporal_collocation:has_theme,"while living in New York City, he befriended Allen Ginsberg and Jack Kerouac",0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Text_creation:has_time,1914,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Quantified_mass:has_theme,visual artworks,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_York_City,Temporal_collocation:has_time,1943,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Ordinal_numbers:has_type,novel,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_York_City,Residence:has_theme,http://en.wikipedia.org/wiki/William_S._Burroughs,0.9,Unknown,True
http://en.wikipedia.org/wiki/Vienna,Education_teaching:has_role,as a postgraduate,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_II,Becoming_a_member:has_theme,World War II,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Text:has_text,http://en.wikipedia.org/wiki/Junkie_(novel),0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Rice_Burroughs,Being_born:has_location,St,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Being_named:has_theme,pen name William Lee,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Rest:has_theme,his life,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,People:has_time,1914,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Kinship:has_theme,"inventor William Seward Burroughs I, who founded the Burroughs Corporation",0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Rice_Burroughs,Text_creation:has_text,"18 novels and novellas, six collections of short stories, and four collections of essays",0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Time_vector:has_event,defining influence on the 1960s counterculture,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Reference_text:has_information,William Burroughs (disambiguation),0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Create_physical_artwork:has_theme,visual,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Make_acquaintance:has_theme,films,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Becoming:has_theme,foundation of the Beat Generation,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Intentionally_create:has_theme,http://en.wikipedia.org/wiki/Burroughs_Corporation,0.9,Unknown,True
http://en.wikipedia.org/wiki/Vienna,Process_continue:has_event,medical school in Vienna,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beat_Generation,Objective_influence:has_time,later,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Craft:has_activity,shotgun,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Kinship:has_location,St,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Rice_Burroughs,Attending:has_location,http://en.wikipedia.org/wiki/Vienna,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_York_City,Temporal_collocation:has_theme,1943,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Rice_Burroughs,Attending:has_event,"Harvard University, where he studied English, then anthropology as a postgraduate, and went on to medical school in Vienna",0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Text:has_text,books,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Forming_relationships:has_theme,Allen Ginsberg and Jack Kerouac,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Cardinal_numbers:has_theme,Five,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Aggregate:has_theme,essays,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Importance:has_theme,postmodern author who influenced both underground and popular culture and literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Text:has_time,1953,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Desirability:has_theme,culture and literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Forming_relationships:has_time,while living in New York City,0.9,Unknown,True
http://en.wikipedia.org/wiki/Vienna,Education_teaching:has_student,http://en.wikipedia.org/wiki/Edgar_Rice_Burroughs,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Increment:has_class,people,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beat_Generation,Objective_influence:has_theme,1960s counterculture,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beat_Generation,First_rank:has_item,figure of the Beat Generation,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Relative_time:has_theme,"he veered into substance abuse, beginning with morphine and developing a heroin addiction that would affect him for the rest of his life",0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Abusing:has_type,substance,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_York_City,Residence:has_time,1943,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Text:has_text,novel,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Text:has_theme,his interviews and correspondences,0.9,Unknown,True
http://en.wikipedia.org/wiki/Will_Lee,Kinship:has_theme,http://en.wikipedia.org/wiki/William_S._Burroughs,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Text:has_text,recordings,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Fields:has_theme,literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Quantified_mass:has_theme,performers and musicians,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Rice_Burroughs,Success_or_failure:has_means,"his confessional first novel, Junkie (1953",0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Performing_arts:has_performer,performers,0.9,Unknown,True
http://en.wikipedia.org/wiki/Will_Lee,Kinship:has_theme,public relations manager Ivy Lee,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Objective_influence:has_theme,both underground and popular culture and literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Origin:has_entity,writer and visual artist,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_II,Assistance:has_theme,World War II,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Becoming:has_entity,This liaison,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Categorization:has_category,primary figure of the Beat Generation and a major postmodern author who influenced both underground and popular culture and literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Temporal_collocation:has_time,1942,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Forming_relationships:has_location,http://en.wikipedia.org/wiki/New_York_City,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Collaboration:has_theme,projects and recordings,0.9,Unknown,True
