subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Sylvia_Plath,Text_creation:has_location,http://en.wikipedia.org/wiki/United_States,0.9,Unknown,True
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,Labor_product:has_time,1981,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sylvia_Plath,Forming_relationships:has_theme,fellow poet Ted Hughes,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jamaica_Plain,Temporal_collocation:has_theme,"family moved from 24 Prince Street in Jamaica Plain, Massachusetts, to 92 Johnson Avenue, Winthrop, Massachusetts",0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Increment:has_class,people,0.9,Unknown,True
http://en.wikipedia.org/wiki/Boston_University,Education_teaching:has_time,later,0.9,Unknown,True
http://en.wikipedia.org/wiki/Boston_University,Text_creation:has_time,1934,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sylvia_Plath,Forming_relationships:has_location,http://en.wikipedia.org/wiki/England,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jamaica_Plain,Temporal_collocation:has_theme,1936,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sylvia_Plath,Being_born:has_time,"April 27, 1935",0.9,Unknown,True
http://en.wikipedia.org/wiki/Boston_University,Text_creation:has_text,book about bumblebees,0.9,Unknown,True
http://en.wikipedia.org/wiki/Boston_University,Killing:has_theme,http://en.wikipedia.org/wiki/Sylvia_Plath,0.9,Unknown,True
http://en.wikipedia.org/wiki/Boston_University,Relative_time:has_theme,versions of electroconvulsive therapy (ECT,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sylvia_Plath,Medical_intervention:has_theme,early versions of electroconvulsive therapy (ECT ),0.9,Unknown,True
http://en.wikipedia.org/wiki/Sylvia_Plath,Kinship:has_time,1906,0.9,Unknown,True
http://en.wikipedia.org/wiki/Boston_University,Time_vector:has_event,"studied with Robert Lowell at Boston University, alongside poets Anne Sexton and George Starbuck",0.9,Unknown,True
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,Inclusion:has_time,1981,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sylvia_Plath,Fame:has_degree,best,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sylvia_Plath,Praiseworthiness:has_behavior,advancing the genre of confessional poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sylvia_Plath,Praiseworthiness:has_time,1960,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sylvia_Plath,Statement:has_message,abuse at his hands,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Text:has_text,poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,Temporal_collocation:has_time,1982,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ted_Hughes,Residence:has_location,United States and then in England,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sylvia_Plath,Giving:has_time,1982,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Origin:has_entity,poet and author,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sylvia_Plath,Fame:has_reason,"Colossus and Other Poems (1960), Ariel (1965 ), and The Bell Jar, a semi-autobiographical novel published shortly before her suicide in 1963",0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Reference_text:has_theme,Plath (surname,0.9,Unknown,True
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,Labor_product:has_theme,previously unpublished,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sylvia_Plath,Kinship:has_theme,mother,0.9,Unknown,True
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,Labor_product:has_theme,works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,People:has_person,person,0.9,Unknown,True
http://en.wikipedia.org/wiki/Boston_University,Cure:has_theme,electroconvulsive,0.9,Unknown,True
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,Receiving:has_recipient,fourth person,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sylvia_Plath,Kinship:has_time,1935,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ted_Hughes,Kinship:has_time,1962,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Origin:has_entity,poet and writer,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sylvia_Plath,People_by_vocation:has_theme,http://en.wikipedia.org/wiki/Boston_University,0.9,Unknown,True
http://en.wikipedia.org/wiki/Boston_University,Killing:has_time,1963,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sylvia_Plath,Text:has_text,poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sylvia_Plath,Locative_relation:has_theme,here,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sylvia_Plath,Fame:has_time,1960,0.9,Unknown,True
http://en.wikipedia.org/wiki/Boston_University,Relation:has_theme,http://en.wikipedia.org/wiki/Ted_Hughes,0.9,Unknown,True
http://en.wikipedia.org/wiki/Massachusetts,Motion:has_source,"24 Prince Street in Jamaica Plain, Massachusetts",0.9,Unknown,True
http://en.wikipedia.org/wiki/Massachusetts,Motion:has_goal,"92 Johnson Avenue, Winthrop, Massachusetts",0.9,Unknown,True
http://en.wikipedia.org/wiki/Boston,Education_teaching:has_institution,"http://en.wikipedia.org/wiki/Newnham_College,_Cambridge",0.9,Unknown,True
http://en.wikipedia.org/wiki/Austrians,Kinship:has_theme,Austrian immigrants,0.9,Unknown,True
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,Publishing:has_time,1981,0.9,Unknown,True
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,Aggregate:has_time,1982,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sylvia_Plath,Being_born:has_location,"Boston, Massachusetts",0.9,Unknown,True
http://en.wikipedia.org/wiki/Moby,Text:has_text,song,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sylvia_Plath,Text:has_author,Sylvia Plath,0.9,Unknown,True
http://en.wikipedia.org/wiki/Boston_University,Death:has_theme,http://en.wikipedia.org/wiki/Sylvia_Plath,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sylvia_Plath,Giving:has_location,Poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/Boston_University,Text:has_time,1934,0.9,Unknown,True
http://en.wikipedia.org/wiki/Boston,Institutionalization:has_theme,University,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sylvia_Plath,Kinship:has_theme,brother,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jamaica_Plain,Kinship:has_location,Jamaica Plain,0.9,Unknown,True
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,Ordinal_numbers:has_type,person,0.9,Unknown,True
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,Ordinal_numbers:has_location,Poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sylvia_Plath,Killing:has_time,1963,0.9,Unknown,True
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,Commemorative:has_time,1982,0.9,Unknown,True
