subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/England,Being_named:has_theme,as the Lake District,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Wordsworth,Being_named:has_location,http://en.wikipedia.org/wiki/English_language,0.9,Unknown,True
http://en.wikipedia.org/wiki/Masterpiece,Origin:has_theme,http://en.wikipedia.org/wiki/English_language,0.9,Unknown,True
http://en.wikipedia.org/wiki/Masterpiece,Calendric_unit:has_theme,years,0.9,Unknown,True
http://en.wikipedia.org/wiki/Masterpiece,Vehicle:has_theme,ship,0.9,Unknown,True
http://en.wikipedia.org/wiki/Masterpiece,Origin:has_entity,poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Wordsworth,Being_born:has_time,7 April 1770,0.9,Unknown,True
http://en.wikipedia.org/wiki/Romanticism,Text:has_location,http://en.wikipedia.org/wiki/English_language,0.9,Unknown,True
http://en.wikipedia.org/wiki/Masterpiece,Text_creation:has_text,http://en.wikipedia.org/wiki/English_language,0.9,Unknown,True
http://en.wikipedia.org/wiki/Masterpiece,Text_creation:has_author,his wife,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Wordsworth,State_continue:has_location,http://en.wikipedia.org/wiki/English_language,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cumbria,Interior_profile_relation:has_time,now,0.9,Unknown,True
http://en.wikipedia.org/wiki/Masterpiece,Quantified_mass:has_theme,times,0.9,Unknown,True
http://en.wikipedia.org/wiki/English_language,Text:has_text,poets,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Prelude,Being_named:has_entity,Prelude,0.9,Unknown,True
http://en.wikipedia.org/wiki/Masterpiece,Becoming_a_member:has_theme,who,0.9,Unknown,True
http://en.wikipedia.org/wiki/English_language,Importance:has_theme,Romantic poets,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Prelude,Being_named:has_theme,"as "" The Poem to Coleridge",0.9,Unknown,True
http://en.wikipedia.org/wiki/Masterpiece,Vehicle:has_theme,"which he was captain, the Earl of Abergavenny",0.9,Unknown,True
http://en.wikipedia.org/wiki/Cockermouth,Buildings:has_theme,http://en.wikipedia.org/wiki/William_Wordsworth,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Wordsworth,Being_born:has_person,"William's sister, the poet and diarist Dorothy Wordsworth, to whom he was close all his life,",0.9,Unknown,True
http://en.wikipedia.org/wiki/English_language,Assistance:has_theme,launch the Romantic Age in English literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Wordsworth,Reveal_secret:has_theme,number of times,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cockermouth,Sensation:has_theme,region in northwestern England,0.9,Unknown,True
http://en.wikipedia.org/wiki/Masterpiece,Locale_by_use:has_theme,Trinity,0.9,Unknown,True
http://en.wikipedia.org/wiki/Masterpiece,Political_locales:has_theme,town,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Prelude,Being_born:has_theme,John Wordsworth and Ann Cookson,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Wordsworth,State_continue:has_state,one of the most recognizable names in English poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cockermouth,Ordinal_numbers:has_type,five children born to John Wordsworth and Ann Cookson,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Wordsworth,Kinship:has_theme,sister,0.9,Unknown,True
http://en.wikipedia.org/wiki/English_language,Assistance:has_theme,who,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cockermouth,Locale:has_theme,northwestern England,0.9,Unknown,True
http://en.wikipedia.org/wiki/Masterpiece,Buildings:has_theme,mansion,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Wordsworth,Cause_expansion:has_item,semi-autobiographical poem of his early years that,0.9,Unknown,True
http://en.wikipedia.org/wiki/Masterpiece,Event_instance:has_theme,number of times,0.9,Unknown,True
http://en.wikipedia.org/wiki/Masterpiece,Becoming:has_entity,who,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Wordsworth,Kinship:has_theme,siblings,0.9,Unknown,True
http://en.wikipedia.org/wiki/Masterpiece,Age:has_age,youngest,0.9,Unknown,True
http://en.wikipedia.org/wiki/Masterpiece,Size:has_entity,mansion,0.9,Unknown,True
http://en.wikipedia.org/wiki/Richard,People_by_age:has_age,eldest,0.9,Unknown,True
http://en.wikipedia.org/wiki/English_language,Text:has_text,poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Wordsworth,Reference_text:has_theme,Wordsworth (disambiguation),0.9,Unknown,True
http://en.wikipedia.org/wiki/Cockermouth,Locale:has_theme,region,0.9,Unknown,True
http://en.wikipedia.org/wiki/Masterpiece,Temporal_subregion:has_theme,years,0.9,Unknown,True
http://en.wikipedia.org/wiki/Samuel_Taylor_Coleridge,Death:has_theme,pleurisy,0.9,Unknown,True
