Source,Target,Label,Frame
http://en.wikipedia.org/wiki/World_War_II,more novels,has entity,Cardinal_numbers
http://en.wikipedia.org/wiki/Jerry_Garcia,"Bob Dylan, the Beatles, Jerry Garcia, and the Doors",has theme,Inclusion
http://en.wikipedia.org/wiki/William_S._Burroughs,pioneer,has theme,Achieving_first
http://en.wikipedia.org/wiki/William_S._Burroughs,http://en.wikipedia.org/wiki/Beat_Generation,has theme,Achieving_first
http://en.wikipedia.org/wiki/World_War_II,poetry volumes,has theme,Quantified_mass
http://en.wikipedia.org/wiki/United_States,novelist and poet,has entity,Origin
http://en.wikipedia.org/wiki/Jack_Kerouac,as Jack Kerouac,has theme,Being_named
http://en.wikipedia.org/wiki/World_War_II,his name,has theme,Locative_relation
http://en.wikipedia.org/wiki/Jack_Kerouac,name,has theme,Being_named
http://en.wikipedia.org/wiki/Like_a_Rolling_Stone,"many of the cultural icons of the 1960s, including Bob Dylan, the Beatles, Jerry Garcia, and the Doors",has theme,Objective_influence
http://en.wikipedia.org/wiki/Jack_Kerouac,1922,has time,Being_named
http://en.wikipedia.org/wiki/World_War_II,1969,has time,Death
http://en.wikipedia.org/wiki/World_War_II,which was published more than 40 years,has event,Time_vector
http://en.wikipedia.org/wiki/World_War_II,12,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/World_War_II,his first novel,has work,Publishing
http://en.wikipedia.org/wiki/World_War_II,some confusion,has theme,Locative_relation
http://en.wikipedia.org/wiki/World_War_II,several,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/Jack_Kerouac,novel,has text,Text
http://en.wikipedia.org/wiki/Jerry_Garcia,many of the cultural icons of the 1960s,has theme,Inclusion
http://en.wikipedia.org/wiki/World_War_II,book,has work,Publishing
http://en.wikipedia.org/wiki/Jack_Kerouac,"March 12, 1922",has time,Being_born
http://en.wikipedia.org/wiki/Jack_Kerouac,"Lowell, Massachusetts",has location,Being_born
http://en.wikipedia.org/wiki/William_S._Burroughs,1922,has time,Achieving_first
http://en.wikipedia.org/wiki/The_Town_and_the_City,beat icon,has effect,Causation
http://en.wikipedia.org/wiki/World_War_II,previously,has theme,Time_vector
http://en.wikipedia.org/wiki/Canada,Lowell,has location,Kinship
http://en.wikipedia.org/wiki/World_War_II,Since,has theme,Time_vector
http://en.wikipedia.org/wiki/World_War_II,poetry,has theme,Text
http://en.wikipedia.org/wiki/World_War_II,poetry,has text,Text
http://en.wikipedia.org/wiki/Jack_Kerouac,which was published more than 40 years after his death,has activity,Activity_finish
http://en.wikipedia.org/wiki/World_War_II,12,has theme,Increment
http://en.wikipedia.org/wiki/Jack_Kerouac,widespread,has degree,Fame
http://en.wikipedia.org/wiki/World_War_II,http://en.wikipedia.org/wiki/Jack_Kerouac,has theme,Publishing
http://en.wikipedia.org/wiki/World_War_II,first,has time,Publishing
http://en.wikipedia.org/wiki/World_War_II,1922,has time,Kinship
http://en.wikipedia.org/wiki/New_York_City,drugs,has theme,Intoxicants
http://en.wikipedia.org/wiki/World_War_II,Beats,has theme,Increment
http://en.wikipedia.org/wiki/World_War_II,several previously unseen works,has work,Publishing
http://en.wikipedia.org/wiki/World_War_II,literary,has theme,Fields
http://en.wikipedia.org/wiki/World_War_II,some confusion surrounding his name,has entity,Existence
http://en.wikipedia.org/wiki/Jack_Kerouac,hippie movement,has theme,Intentionally_create
http://en.wikipedia.org/wiki/William_S._Burroughs,accent,has information,Correctness
http://en.wikipedia.org/wiki/Like_a_Rolling_Stone,http://en.wikipedia.org/wiki/Jack_Kerouac,has theme,Objective_influence
http://en.wikipedia.org/wiki/World_War_II,parents,has theme,Kinship
http://en.wikipedia.org/wiki/Jack_Kerouac,"French Canadian parents, Léo-Alcide Kéroack and Gabrielle-Ange Lévesque",has theme,Being_born
http://en.wikipedia.org/wiki/World_War_II,more than 40 years after his death,has time,Publishing
http://en.wikipedia.org/wiki/Jack_Kerouac,"French-speaking home in Lowell, Massachusetts",has location,Growing_food
http://en.wikipedia.org/wiki/World_War_II,1950,has time,Ordinal_numbers
http://en.wikipedia.org/wiki/Like_a_Rolling_Stone,greatly,has degree,Objective_influence
http://en.wikipedia.org/wiki/Jack_Kerouac,1957,has time,Accomplishment
http://en.wikipedia.org/wiki/New_York_City,his work,has text,Topic
http://en.wikipedia.org/wiki/William_S._Burroughs,French-speaking,has type,Buildings
http://en.wikipedia.org/wiki/World_War_II,years,has theme,Calendric_unit
http://en.wikipedia.org/wiki/World_War_II,previously unseen,has theme,Labor_product
http://en.wikipedia.org/wiki/World_War_II,12 more novels and numerous poetry volumes,has work,Publishing
http://en.wikipedia.org/wiki/World_War_II,French Canadian,has theme,Kinship
http://en.wikipedia.org/wiki/World_War_II,unseen works,has event,Time_vector
http://en.wikipedia.org/wiki/Jack_Kerouac,Town and the City,has text,Text
http://en.wikipedia.org/wiki/World_War_II,legacy,has theme,Duration_description
http://en.wikipedia.org/wiki/World_War_II,publish 12 more novels and numerous poetry volumes,has event,Process_continue
http://en.wikipedia.org/wiki/World_War_II,works,has theme,Labor_product
http://en.wikipedia.org/wiki/World_War_II,http://en.wikipedia.org/wiki/Jack_Kerouac,has theme,Death
http://en.wikipedia.org/wiki/William_S._Burroughs,http://en.wikipedia.org/wiki/Jack_Kerouac,has theme,Correctness
http://en.wikipedia.org/wiki/World_War_II,his literary prestige,has item,Change_position_on_a_scale
http://en.wikipedia.org/wiki/United_States,writer,has entity,Origin
http://en.wikipedia.org/wiki/Jack_Kerouac,time,has time,Activity_finish
http://en.wikipedia.org/wiki/United_States,1922,has time,Origin
http://en.wikipedia.org/wiki/World_War_II,40,has theme,Calendric_unit
http://en.wikipedia.org/wiki/World_War_II,Lowell,has location,Kinship
http://en.wikipedia.org/wiki/World_War_II,after,has theme,Time_vector
http://en.wikipedia.org/wiki/William_S._Burroughs,home,has theme,Buildings
http://en.wikipedia.org/wiki/Jack_Kerouac,"his second, On the Road",has means,Accomplishment
http://en.wikipedia.org/wiki/World_War_II,novels,has class,Increment
http://en.wikipedia.org/wiki/Jack_Kerouac,"underground celebrity and, with other Beats, a progenitor of the hippie movement",has theme,Becoming
http://en.wikipedia.org/wiki/World_War_II,volumes,has text,Text
http://en.wikipedia.org/wiki/The_Town_and_the_City,Town and the City,has cause,Causation
http://en.wikipedia.org/wiki/World_War_II,Road,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/The_Town_and_the_City,http://en.wikipedia.org/wiki/Jack_Kerouac,has theme,Causation
http://en.wikipedia.org/wiki/William_S._Burroughs,marked,has degree,Correctness
http://en.wikipedia.org/wiki/William_S._Burroughs,Lowell,has location,Buildings
http://en.wikipedia.org/wiki/Jack_Kerouac,1950,has time,Text
http://en.wikipedia.org/wiki/Jack_Kerouac,1950,has time,Fame
http://en.wikipedia.org/wiki/Jack_Kerouac,k,has entity,Being_named
http://en.wikipedia.org/wiki/World_War_II,then,has theme,Time_vector
http://en.wikipedia.org/wiki/New_York_City,"topics such as his Catholic spirituality, jazz, travel, promiscuity, life in New York City, Buddhism, drugs, and poverty",has theme,Topic
http://en.wikipedia.org/wiki/Jack_Kerouac,antagonistic toward some of its politically radical elements,has state,State_continue
