subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Queen_Victoria,Desirability:has_theme,his poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trinity_College_Dublin,Death:has_theme,stroke,0.9,Unknown,True
http://en.wikipedia.org/wiki/Baron_Tennyson,Calendric_unit:has_time,2025,0.9,Unknown,True
http://en.wikipedia.org/wiki/Baron_Tennyson,Text:has_text,poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Baron_Tennyson,Increment:has_class,uses,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trinity_College_Dublin,Relative_time:has_theme,"commemorate his friend Arthur Hallam, a fellow poet and student at Trinity College, Cambridge",0.9,Unknown,True
http://en.wikipedia.org/wiki/Queen_Victoria,Publishing:has_work,"his first solo collection of poems, Poems, Chiefly Lyrical",0.9,Unknown,True
http://en.wikipedia.org/wiki/Queen_Victoria,Proportional_quantity:has_theme,Tennyson's most celebrated poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trinity_College_Dublin,Age:has_age,22,0.9,Unknown,True
http://en.wikipedia.org/wiki/Queen_Victoria,Ordinal_numbers:has_type,solo collection of poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Samuel_Taylor_Coleridge,Attention:has_theme,"well-known writers of the day, including Samuel Taylor Coleridge",0.9,Unknown,True
http://en.wikipedia.org/wiki/Queen_Victoria,Inclusion:has_theme,notable blank verse,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cambridge,Judgment_communication:has_time,1829,0.9,Unknown,True
http://en.wikipedia.org/wiki/Baron_Tennyson,Assistance:has_goal,improve it by rewriting it in an encyclopedic style,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cambridge,Judgment_communication:has_theme,"one of his first pieces, ""Timbuktu",0.9,Unknown,True
http://en.wikipedia.org/wiki/Trinity_College_Dublin,Relative_time:has_theme,he died of a stroke at the age of 22,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_Hallam,Personal_relationship:has_theme,"http://en.wikipedia.org/wiki/Alfred,_Lord_Tennyson",0.9,Unknown,True
http://en.wikipedia.org/wiki/Cambridge,Judgment_communication:has_reason,Chancellor's Gold Medal at Cambridge,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trinity_College_Dublin,People_by_vocation:has_person,poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/Baron_Tennyson,Education_teaching:has_skill,how and when to remove this message,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trinity_College_Dublin,Text_creation:has_time,after he died of a stroke at the age of 22,0.9,Unknown,True
http://en.wikipedia.org/wiki/Queen_Victoria,Temporal_subregion:has_theme,poetry,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Alfred,_Lord_Tennyson",Text_creation:has_text,"notable blank verse, including Idylls of the King, ""Ulysses, and "" Tithonus ",0.9,Unknown,True
http://en.wikipedia.org/wiki/Cambridge,Temporal_collocation:has_theme,1829,0.9,Unknown,True
http://en.wikipedia.org/wiki/Queen_Victoria,Communicate_categorization:has_speaker,some critics,0.9,Unknown,True
http://en.wikipedia.org/wiki/Queen_Victoria,Duration_description:has_theme,lyrics,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Text:has_text,poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_Hallam,Personal_relationship:has_location,http://en.wikipedia.org/wiki/Trinity_College_Dublin,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Alfred,_Lord_Tennyson",Bringing:has_agent,his poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Queen_Victoria,Experiencer_focus:has_theme,little success,0.9,Unknown,True
http://en.wikipedia.org/wiki/Baron_Tennyson,Text_creation:has_theme,encyclopedic style,0.9,Unknown,True
http://en.wikipedia.org/wiki/Queen_Victoria,State_continue:has_state,some of Tennyson's most celebrated poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Baron_Tennyson,Education_teaching:has_time,2025,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Text:has_time,2025,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_Kingdom,Leadership:has_leader,King,0.9,Unknown,True
