Source,Target,Label,Frame
http://en.wikipedia.org/wiki/William_Shakespeare,His plays,has act,Intentionally_act
http://en.wikipedia.org/wiki/William_Shakespeare,"called England's national poet and the "" Bard of Avon "" or simply "" the Bard",has event,Frequency
http://en.wikipedia.org/wiki/William_Shakespeare,children,has theme,Kinship
http://en.wikipedia.org/wiki/William_Shakespeare,verses,has class,Increment
http://en.wikipedia.org/wiki/James_VI_and_I,"such matters as his physical appearance, his sexuality, his religious beliefs and even certain fringe theories as to whether the works attributed to him were written by others",has theme,Coming_to_believe
http://en.wikipedia.org/wiki/William_Shakespeare,his works,has theme,Scrutiny
http://en.wikipedia.org/wiki/William_Shakespeare,uses,has class,Increment
http://en.wikipedia.org/wiki/James_VI_and_I,years,has theme,Measure_duration
http://en.wikipedia.org/wiki/William_Shakespeare,English language,has theme,Subjective_influence
http://en.wikipedia.org/wiki/William_Shakespeare,"Stratford-upon-Avon, Warwickshire",has location,Being_born
http://en.wikipedia.org/wiki/London,Lord Chamberlain's Men,has theme,Referring_by_name
http://en.wikipedia.org/wiki/William_Shakespeare,as the greatest writer in the English language and the world's pre-eminent dramatist,has category,Categorization
http://en.wikipedia.org/wiki/James_VI_and_I,works,has theme,Awareness
http://en.wikipedia.org/wiki/James_VI_and_I,records,has theme,Records
http://en.wikipedia.org/wiki/William_Shakespeare,http://en.wikipedia.org/wiki/London,has location,Activity_start
http://en.wikipedia.org/wiki/James_VI_and_I,http://en.wikipedia.org/wiki/William_Shakespeare,has theme,Give_impression
http://en.wikipedia.org/wiki/Chamberlain_(office),playing company called the Lord Chamberlain's Men,has entity,Being_named
http://en.wikipedia.org/wiki/James_VI_and_I,this,has cause,Cause_to_start
http://en.wikipedia.org/wiki/William_Shakespeare,his works,has entity,Rejuvenation
http://en.wikipedia.org/wiki/Chamberlain_(office),http://en.wikipedia.org/wiki/London,has location,Being_named
http://en.wikipedia.org/wiki/William_Shakespeare,arguably the most influential writer in the English language,has state,State_continue
http://en.wikipedia.org/wiki/James_VI_and_I,Shakespeare's private life,has data,Records
http://en.wikipedia.org/wiki/William_Shakespeare,Sometime between 1585 and 1592,has time,Activity_start
http://en.wikipedia.org/wiki/James_VI_and_I,three,has theme,Measure_duration
http://en.wikipedia.org/wiki/William_Shakespeare,writer,has entity,Subjective_influence
http://en.wikipedia.org/wiki/William_Shakespeare,more often than those of any other playwright,has theme,Intentionally_act
http://en.wikipedia.org/wiki/James_VI_and_I,"have retired to Stratford, where he died three years later",has theme,Give_impression
http://en.wikipedia.org/wiki/William_Shakespeare,"successful career in London as an actor, writer, and part-owner ""sharer"" of a playing company called the Lord Chamberlain's Men, later known as the King's Men after the ascension of King James VI of Scotland to the English throne",has activity,Activity_start
http://en.wikipedia.org/wiki/William_Shakespeare,be studied and reinterpreted,has event,Process_continue
http://en.wikipedia.org/wiki/James_VI_and_I,considerable,has degree,Coming_to_believe
http://en.wikipedia.org/wiki/William_Shakespeare,"Stratford-upon-Avon, Warwickshire",has location,Growing_food
http://en.wikipedia.org/wiki/James_VI_and_I,others,has author,Text_creation
http://en.wikipedia.org/wiki/William_Shakespeare,age of 18,has time,Personal_relationship
http://en.wikipedia.org/wiki/James_VI_and_I,plays,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Chamberlain_(office),as the King's Men,has theme,Being_named
http://en.wikipedia.org/wiki/William_Shakespeare,His plays,has theme,Translating
http://en.wikipedia.org/wiki/William_Shakespeare,"Anne Hathaway,",has theme,Personal_relationship
http://en.wikipedia.org/wiki/James_VI_and_I,49,has age,Age
http://en.wikipedia.org/wiki/Anne_Hathaway,18,has age,Age
http://en.wikipedia.org/wiki/James_VI_and_I,as some of the best works produced in these genres,has category,Categorization
http://en.wikipedia.org/wiki/William_Shakespeare,other verses,has theme,Quantified_mass
http://en.wikipedia.org/wiki/London,company,has business,Businesses
http://en.wikipedia.org/wiki/James_VI_and_I,works produced in these genres,has theme,Desirability
http://en.wikipedia.org/wiki/William_Shakespeare,His extant works,has theme,Inclusion
http://en.wikipedia.org/wiki/James_VI_and_I,three years later,has time,Death
http://en.wikipedia.org/wiki/William_Shakespeare,collaborations,has theme,Inclusion
http://en.wikipedia.org/wiki/William_Shakespeare,poems,has text,Text
http://en.wikipedia.org/wiki/James_VI_and_I,these genres,has type,Behind_the_scenes
http://en.wikipedia.org/wiki/James_VI_and_I,http://en.wikipedia.org/wiki/William_Shakespeare,has recipient,Giving
http://en.wikipedia.org/wiki/James_VI_and_I,works attributed to him,has text,Text_creation
http://en.wikipedia.org/wiki/James_VI_and_I,http://en.wikipedia.org/wiki/William_Shakespeare,has theme,Death
http://en.wikipedia.org/wiki/James_VI_and_I,three years,has theme,Time_vector
http://en.wikipedia.org/wiki/James_VI_and_I,works,has theme,Behind_the_scenes
http://en.wikipedia.org/wiki/William_Shakespeare,between 1589 and 1613,has time,Behind_the_scenes
http://en.wikipedia.org/wiki/William_Shakespeare,few,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/James_VI_and_I,His early plays,has item,Categorization
http://en.wikipedia.org/wiki/James_VI_and_I,Few records of Shakespeare's private life,has theme,Surviving
http://en.wikipedia.org/wiki/London,playing company,has entity,Referring_by_name
http://en.wikipedia.org/wiki/William_Shakespeare,Shakespeare disambiguation and William Shakespeare disambiguation,has theme,Reference_text
http://en.wikipedia.org/wiki/London,playing,has theme,Businesses
http://en.wikipedia.org/wiki/William_Shakespeare,national,has theme,Political_locales
http://en.wikipedia.org/wiki/William_Shakespeare,career,has goal,Success_or_failure
http://en.wikipedia.org/wiki/William_Shakespeare,"England's national poet and the "" Bard of Avon "" or simply "" the Bard",has theme,Labeling
http://en.wikipedia.org/wiki/William_Shakespeare,few,has theme,Increment
http://en.wikipedia.org/wiki/James_VI_and_I,works,has theme,Giving
http://en.wikipedia.org/wiki/William_Shakespeare,religious,has theme,Opinion
http://en.wikipedia.org/wiki/William_Shakespeare,into every major living language,has theme,Translating
http://en.wikipedia.org/wiki/James_VI_and_I,where,has location,Death
http://en.wikipedia.org/wiki/William_Shakespeare,uncertain,has theme,Leadership
http://en.wikipedia.org/wiki/William_Shakespeare,playwright,has class,Increment
http://en.wikipedia.org/wiki/William_Shakespeare,most of his known works,has theme,Behind_the_scenes
http://en.wikipedia.org/wiki/William_Shakespeare,http://en.wikipedia.org/wiki/London,has location,Success_or_failure
http://en.wikipedia.org/wiki/James_VI_and_I,he died,has event,Time_vector
http://en.wikipedia.org/wiki/William_Shakespeare,works,has work,Work
http://en.wikipedia.org/wiki/James_VI_and_I,"considerable speculation about such matters as his physical appearance, his sexuality, his religious beliefs and even certain fringe theories as to whether the works attributed to him were written by others",has effect,Cause_to_start
http://en.wikipedia.org/wiki/James_VI_and_I,others,has theme,Increment
http://en.wikipedia.org/wiki/William_Shakespeare,narrative,has theme,Text
