subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Han_Chinese,Causation:has_cause,which,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cao_Xueqin,Kinship:has_theme,Cao Yin's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cao_Xueqin,Being_named:has_theme,as the author of Dream of the Red Chamber,0.9,Unknown,True
http://en.wikipedia.org/wiki/Qing_dynasty,Evidence:has_theme,His birth date can be confined to between 1715 and 1724,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cao_Xueqin,People:has_person,Cao Yin,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cao_Xueqin,Activity_start:has_time,After the Plain White Banner was put under the direct jurisdiction of the Qing emperor,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cao_Xueqin,Personal_relationship:has_theme,friends,0.9,Unknown,True
http://en.wikipedia.org/wiki/Han_Chinese,Calendric_unit:has_theme,era,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cao_Xueqin,Being_named:has_entity,Cao Zhan,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jiankang,Kinship:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cao_Xueqin,Being_named:has_theme,Cao Zhan ( ),0.9,Unknown,True
http://en.wikipedia.org/wiki/Lady_Sun,Medical_professionals:has_theme,"Cao Yin's mother, Lady Sun ( )",0.9,Unknown,True
http://en.wikipedia.org/wiki/Cao_Xueqin,Kinship:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Han_Chinese,Text:has_text,book,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jiankang,Time_vector:has_theme,his ascension,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jiankang,Appointing:has_theme,http://en.wikipedia.org/wiki/Kangxi_Emperor,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cao_Xueqin,Being_named:has_theme,Mengruan,0.9,Unknown,True
http://en.wikipedia.org/wiki/Han_Chinese,Temporal_collocation:has_theme,"Cao grandfather, Cao Yin ( ), was a childhood playmate to Kangxi",0.9,Unknown,True
http://en.wikipedia.org/wiki/Han_Chinese,Death:has_theme,http://en.wikipedia.org/wiki/Cao_Zhen,0.9,Unknown,True
http://en.wikipedia.org/wiki/Qing_dynasty,Statement:has_message,Cao was forty and nearly fifty respectively when he died,0.9,Unknown,True
http://en.wikipedia.org/wiki/Han_Chinese,Leadership:has_leader,emperor,0.9,Unknown,True
http://en.wikipedia.org/wiki/Han_Chinese,Time_vector:has_event,Cao's family began to serve in civil positions of the Imperial Household Department,0.9,Unknown,True
http://en.wikipedia.org/wiki/Qing_dynasty,Origin:has_entity,novelist and poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/Han_Chinese,Leadership:has_theme,http://en.wikipedia.org/wiki/Qing_dynasty,0.9,Unknown,True
http://en.wikipedia.org/wiki/Han_Chinese,Differentiation:has_theme,His ancestors,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jonathan_Spence,Statement:has_speaker,Jonathan Spence,0.9,Unknown,True
http://en.wikipedia.org/wiki/Han_Chinese,Temporal_subregion:has_theme,late,0.9,Unknown,True
http://en.wikipedia.org/wiki/Qing_dynasty,Text:has_author,his friends – Duncheng ( ) and Zhang Yiquan ( ),0.9,Unknown,True
http://en.wikipedia.org/wiki/Han_Chinese,Assigned_location:has_theme,as officials,0.9,Unknown,True
http://en.wikipedia.org/wiki/Kangxi_Emperor,Certainty:has_theme,Kangxi's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Han_Chinese,Assistance:has_goal,civil positions of the Imperial Household Department,0.9,Unknown,True
http://en.wikipedia.org/wiki/Han_Chinese,Moving_in_place:has_location,there,0.9,Unknown,True
http://en.wikipedia.org/wiki/Han_Chinese,Temporal_subregion:has_theme,1610s,0.9,Unknown,True
http://en.wikipedia.org/wiki/Han_Chinese,Moving_in_place:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jiankang,Appointing:has_theme,"Cao Xueqin's great-grandfather, Cao Xi ( )",0.9,Unknown,True
http://en.wikipedia.org/wiki/Cao_Xueqin,Being_named:has_entity,Chinese novelist and poet (1710–1765),0.9,Unknown,True
http://en.wikipedia.org/wiki/Cao_Xueqin,Activity_start:has_activity,serve in civil positions of the Imperial Household Department,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jiankang,Intentional_traversing:has_theme,http://en.wikipedia.org/wiki/Kangxi_Emperor,0.9,Unknown,True
http://en.wikipedia.org/wiki/Han_Chinese,Rite:has_type,military,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cao_Xueqin,Being_named:has_type,courtesy,0.9,Unknown,True
http://en.wikipedia.org/wiki/Han_Chinese,Authority:has_agent,Qing emperor,0.9,Unknown,True
http://en.wikipedia.org/wiki/Han_Chinese,Leadership:has_leader,clan's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cao_Xueqin,People:has_theme,letters,0.9,Unknown,True
http://en.wikipedia.org/wiki/Qing_dynasty,Text:has_text,poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Han_Chinese,Temporal_collocation:has_theme,"Cao Yin's mother, Lady Sun ( ), was Kangxi's wet nurse",0.9,Unknown,True
http://en.wikipedia.org/wiki/Han_Chinese,People_by_vocation:has_person,servants,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jiankang,Time_vector:has_event,"Kangxi appointed Cao Xueqin's great-grandfather, Cao Xi ( ), as the Commissioner of Imperial Textiles ( ) in Jiangning (present-day Nanjing )",0.9,Unknown,True
http://en.wikipedia.org/wiki/Cao_Xueqin,Death:has_theme,Cao Xueqin's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cao_Xueqin,Kinship:has_theme,mother,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jiankang,Appointing:has_role,as the Commissioner of Imperial Textiles ( ) in Jiangning (present-day Nanjing ),0.9,Unknown,True
http://en.wikipedia.org/wiki/Cao_Xueqin,Being_named:has_theme,name,0.9,Unknown,True
http://en.wikipedia.org/wiki/Qing_dynasty,Discussion:has_theme,matter,0.9,Unknown,True
http://en.wikipedia.org/wiki/Qing_dynasty,Origin:has_theme,Chinese,0.9,Unknown,True
http://en.wikipedia.org/wiki/Han_Chinese,Kinship:has_theme,clan,0.9,Unknown,True
http://en.wikipedia.org/wiki/Han_Chinese,Cardinal_numbers:has_theme,one,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cao_Xueqin,Kinship:has_theme,Cao's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cao_Xueqin,Being_named:has_entity,Chinese,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cao_Xueqin,Kinship:has_theme,grandfather,0.9,Unknown,True
http://en.wikipedia.org/wiki/Lady_Sun,Medical_professionals:has_theme,Kangxi's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Han_Chinese,Military:has_theme,military,0.9,Unknown,True
http://en.wikipedia.org/wiki/Qing_dynasty,Statement:has_theme,which,0.9,Unknown,True
http://en.wikipedia.org/wiki/Han_Chinese,Death:has_time,1684,0.9,Unknown,True
http://en.wikipedia.org/wiki/Eight_Banners,Kinship:has_theme,ancestors,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cao_Xueqin,Being_born:has_theme,Han Chinese clan that was brought into personal service (as booi aha or bondservants of Cigu Niru,0.9,Unknown,True
