Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Shadow_and_Act,school,has theme,Leadership
http://en.wikipedia.org/wiki/Ralph_Ellison,"his novel Invisible Man, which won the National Book Award in 1953",has reason,Fame
http://en.wikipedia.org/wiki/National_Book_Award,1916,has time,Possession
http://en.wikipedia.org/wiki/National_Book_Award,literature,has theme,Experiencer_focus
http://en.wikipedia.org/wiki/National_Book_Award,firstborn Alfred,has theme,Death
http://en.wikipedia.org/wiki/Alto_saxophone,lessons,has goods,Expensiveness
http://en.wikipedia.org/wiki/Ralph_Ellison,after Ralph Waldo Emerson,has theme,Being_named
http://en.wikipedia.org/wiki/Alto_saxophone,Ralph,has employee,Being_employed
http://en.wikipedia.org/wiki/Shadow_and_Act,after work-related injury and a failed operation,has time,Death
http://en.wikipedia.org/wiki/Shadow_and_Act,1921,has time,Motion
http://en.wikipedia.org/wiki/Ralph_Waldo_Emerson,1916,has time,Ordinal_numbers
http://en.wikipedia.org/wiki/National_Book_Award,1916,has time,Businesses
http://en.wikipedia.org/wiki/Ralph_Ellison,"Oklahoma City, Oklahoma",has location,Being_born
http://en.wikipedia.org/wiki/National_Book_Award,1916,has time,Successful_action
http://en.wikipedia.org/wiki/Ralph_Waldo_Emerson,three sons,has theme,Ordinal_numbers
http://en.wikipedia.org/wiki/National_Book_Award,Juneteenth,has theme,Text
http://en.wikipedia.org/wiki/The_New_York_Times_Best_Seller_list,"that "" my brother and I would have a better chance of reaching manhood if we grew up in the north",has opinion,Opinion
http://en.wikipedia.org/wiki/Ralph_Ellison,Ellison's mother,has theme,Kinship
http://en.wikipedia.org/wiki/Shadow_and_Act,bandmaster,has leader,Leadership
http://en.wikipedia.org/wiki/Ralph_Ellison,1921,has time,Kinship
http://en.wikipedia.org/wiki/National_Book_Award,sons,has entity,Cardinal_numbers
http://en.wikipedia.org/wiki/The_New_York_Times_Best_Seller_list,younger brother Herbert Maurice or Millsap,has person,Being_born
http://en.wikipedia.org/wiki/Ralph_Waldo_Emerson,1913,has time,Text
http://en.wikipedia.org/wiki/National_Book_Award,operation,has business,Businesses
http://en.wikipedia.org/wiki/Ralph_Ellison,north,has location,Transition_to_state
http://en.wikipedia.org/wiki/Shadow_and_Act,"Lewis Alfred Ellison, a small-business owner and a construction foreman",has theme,Death
http://en.wikipedia.org/wiki/National_Book_Award,north,has theme,Part_orientational
http://en.wikipedia.org/wiki/National_Book_Award,chance of reaching manhood,has theme,Proportional_quantity
http://en.wikipedia.org/wiki/National_Book_Award,1916,has time,Being_born
http://en.wikipedia.org/wiki/National_Book_Award,infancy,has time,Death
http://en.wikipedia.org/wiki/National_Book_Award,she did not find a job and her brother lost his,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Ralph_Waldo_Emerson,brother,has theme,Kinship
http://en.wikipedia.org/wiki/National_Book_Award,"political, social, and critical essays",has theme,Aggregate
http://en.wikipedia.org/wiki/Ralph_Waldo_Emerson,Ralph,has theme,Becoming_aware
http://en.wikipedia.org/wiki/National_Book_Award,failed,has theme,Businesses
http://en.wikipedia.org/wiki/Alto_saxophone,youth,has person,People_by_age
http://en.wikipedia.org/wiki/Ralph_Ellison,brother,has theme,Kinship
http://en.wikipedia.org/wiki/National_Book_Award,Alfred,has person,Being_born
http://en.wikipedia.org/wiki/United_States,writer,has entity,Origin
http://en.wikipedia.org/wiki/Shadow_and_Act,free lessons for playing trumpet and alto saxophone,has theme,Receiving
http://en.wikipedia.org/wiki/Ralph_Waldo_Emerson,1916,has time,Kinship
http://en.wikipedia.org/wiki/Ralph_Waldo_Emerson,1913,has time,Experiencer_obj
http://en.wikipedia.org/wiki/National_Book_Award,essays,has text,Text
http://en.wikipedia.org/wiki/Alto_saxophone,family support,has goal,Assistance
http://en.wikipedia.org/wiki/National_Book_Award,after being assembled from voluminous notes Ellison left upon his death,has time,Publishing
http://en.wikipedia.org/wiki/National_Book_Award,1916,has time,Relative_time
http://en.wikipedia.org/wiki/Alto_saxophone,father,has theme,Kinship
http://en.wikipedia.org/wiki/Ralph_Waldo_Emerson,http://en.wikipedia.org/wiki/Ralph_Ellison,has entity,Name_conferral
http://en.wikipedia.org/wiki/National_Book_Award,1964,has time,Text
http://en.wikipedia.org/wiki/The_New_York_Times_Best_Seller_list,1916,has time,Age
http://en.wikipedia.org/wiki/Alto_saxophone,playing trumpet and alto saxophone,has theme,Preliminaries
http://en.wikipedia.org/wiki/National_Book_Award,"Ellison's mother and her children moved to Gary, Indiana, where she had a brother",has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Ralph_Waldo_Emerson,mother,has theme,Kinship
http://en.wikipedia.org/wiki/Ralph_Waldo_Emerson,as an adult,has state,Becoming_aware
http://en.wikipedia.org/wiki/Ralph_Ellison,1913,has time,Fame
http://en.wikipedia.org/wiki/Ralph_Waldo_Emerson,later,has time,Becoming_aware
http://en.wikipedia.org/wiki/National_Book_Award,posthumous novel,has theme,Building
http://en.wikipedia.org/wiki/Shadow_and_Act,manhood,has goal,Arriving
http://en.wikipedia.org/wiki/Ralph_Waldo_Emerson,that his father had hoped he would grow up to be a poet,has theme,Becoming_aware
http://en.wikipedia.org/wiki/The_New_York_Times_Best_Seller_list,family,has theme,Arriving
http://en.wikipedia.org/wiki/Ralph_Ellison,mother,has theme,Kinship
http://en.wikipedia.org/wiki/National_Book_Award,he would grow up to be a poet,has event,Desiring
http://en.wikipedia.org/wiki/National_Book_Award,operation,has means,Successful_action
http://en.wikipedia.org/wiki/National_Book_Award,voluminous notes Ellison left upon his death,has theme,Building
http://en.wikipedia.org/wiki/National_Book_Award,we grew up,has theme,Interior_profile_relation
http://en.wikipedia.org/wiki/Shadow_and_Act,http://en.wikipedia.org/wiki/Alto_saxophone,has recipient,Receiving
http://en.wikipedia.org/wiki/Ralph_Waldo_Emerson,be a poet,has theme,Transition_to_state
http://en.wikipedia.org/wiki/Ralph_Ellison,job,has theme,Locating
http://en.wikipedia.org/wiki/Ralph_Ellison,"as a busboy, a shoeshine boy, hotel waiter, and a dentist's assistant",has position,Being_employed
http://en.wikipedia.org/wiki/National_Book_Award,novel,has text,Text
http://en.wikipedia.org/wiki/Alto_saxophone,school bandmaster,has theme,Becoming
http://en.wikipedia.org/wiki/National_Book_Award,construction,has theme,Employing
http://en.wikipedia.org/wiki/Alto_saxophone,neighborhood friend,has theme,Kinship
http://en.wikipedia.org/wiki/National_Book_Award,better,has degree,Likelihood
http://en.wikipedia.org/wiki/Ralph_Ellison,http://en.wikipedia.org/wiki/United_States,has location,Text_creation
http://en.wikipedia.org/wiki/Ralph_Waldo_Emerson,New York Times,has speaker,Name_conferral
http://en.wikipedia.org/wiki/United_States,novelist,has entity,Origin
http://en.wikipedia.org/wiki/Alto_saxophone,family,has theme,Kinship
http://en.wikipedia.org/wiki/National_Book_Award,America's,has theme,Fields
http://en.wikipedia.org/wiki/Ralph_Ellison,Oklahoma City,has location,Being_named
http://en.wikipedia.org/wiki/Ralph_Ellison,Lewis Alfred Ellison and Ida Millsap,has theme,Being_born
http://en.wikipedia.org/wiki/National_Book_Award,three,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/National_Book_Award,work-related injury and a failed operation,has theme,Relative_time
http://en.wikipedia.org/wiki/National_Book_Award,better,has theme,Proportional_quantity
http://en.wikipedia.org/wiki/Ralph_Ellison,Ellison's,has theme,Kinship
http://en.wikipedia.org/wiki/National_Book_Award,Parnassus,has theme,Fields
http://en.wikipedia.org/wiki/Ralph_Ellison,1964,has time,Text_creation
http://en.wikipedia.org/wiki/Alto_saxophone,assist with family support,has position,Being_employed
http://en.wikipedia.org/wiki/National_Book_Award,north,has theme,Interior_profile_relation
http://en.wikipedia.org/wiki/The_New_York_Times_Best_Seller_list,his mother,has theme,Opinion
http://en.wikipedia.org/wiki/National_Book_Award,reaching manhood,has theme,Likelihood
http://en.wikipedia.org/wiki/National_Book_Award,1916,has time,Medical_conditions
http://en.wikipedia.org/wiki/Shadow_and_Act,Ellison's mother and her children,has theme,Motion
http://en.wikipedia.org/wiki/Shadow_and_Act,my brother and I,has theme,Arriving
http://en.wikipedia.org/wiki/National_Book_Award,foreman,has employee,Employing
http://en.wikipedia.org/wiki/National_Book_Award,1921,has time,Temporal_collocation
http://en.wikipedia.org/wiki/Ralph_Waldo_Emerson,sons,has theme,Kinship
http://en.wikipedia.org/wiki/The_New_York_Times_Best_Seller_list,younger,has age,Age
http://en.wikipedia.org/wiki/Ralph_Waldo_Emerson,father,has theme,Kinship
http://en.wikipedia.org/wiki/Ralph_Ellison,shoeshine,has theme,People_by_age
http://en.wikipedia.org/wiki/The_New_York_Times_Best_Seller_list,brother,has entity,Age
http://en.wikipedia.org/wiki/National_Book_Award,his father,has theme,Desiring
http://en.wikipedia.org/wiki/National_Book_Award,elder Ellison,has theme,Experiencer_focus
http://en.wikipedia.org/wiki/National_Book_Award,small-business,has theme,Possession
http://en.wikipedia.org/wiki/Ralph_Waldo_Emerson,Invisible Man,has text,Text
http://en.wikipedia.org/wiki/Ralph_Ellison,"his mother felt that "" my brother and I would have a better chance of reaching manhood if we grew up in the north",has theme,Attributed_information
http://en.wikipedia.org/wiki/National_Book_Award,"Lewis Alfred Ellison, a small-business owner and a construction foreman, died in 1916",has theme,Relative_time
http://en.wikipedia.org/wiki/National_Book_Award,"political, social, and critical",has theme,Text
http://en.wikipedia.org/wiki/Alto_saxophone,neighborhood,has theme,Personal_relationship
http://en.wikipedia.org/wiki/Ralph_Waldo_Emerson,children,has theme,Kinship
http://en.wikipedia.org/wiki/National_Book_Award,collection,has theme,Aggregate
http://en.wikipedia.org/wiki/The_New_York_Times_Best_Seller_list,"Oklahoma, where Ellison worked as a busboy, a shoeshine boy, hotel waiter, and a dentist's assistant",has goal,Arriving
