Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Charlotte_Brontë,http://en.wikipedia.org/wiki/Lancashire,has location,Kinship
http://en.wikipedia.org/wiki/Cowan_Bridge,few,has theme,Measure_duration
http://en.wikipedia.org/wiki/Mirfield,"teach her sisters, Emily and Anne",has theme,Interior_profile_relation
"http://en.wikipedia.org/wiki/Charlotte,_North_Carolina",http://en.wikipedia.org/wiki/Brussels,has location,Operating_a_system
http://en.wikipedia.org/wiki/Jane_Eyre,school's,has theme,Behind_the_scenes
http://en.wikipedia.org/wiki/Jane_Eyre,School,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Brussels,acquiring the skills required to open a school of her own,has event,Desiring
http://en.wikipedia.org/wiki/Brussels,"Charlotte joined the Heger Pensionnat, a girls' boarding school in Brussels, as a student teacher, in the hope of acquiring the skills required to open a school of her own",has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Jane_Eyre,since,has time,Becoming
"http://en.wikipedia.org/wiki/Charlotte,_North_Carolina",following year,has time,Departing
http://en.wikipedia.org/wiki/Charlotte_Brontë,which,has work,Publishing
http://en.wikipedia.org/wiki/Cowan_Bridge,months,has theme,Measure_duration
http://en.wikipedia.org/wiki/Charlotte_Brontë,"Charlotte, Emily and Anne",has theme,Successful_action
"http://en.wikipedia.org/wiki/Charlotte,_North_Carolina",http://en.wikipedia.org/wiki/Jane_Eyre,has location,Text
http://en.wikipedia.org/wiki/Jane_Eyre,as a classic of English literature,has theme,Being_named
http://en.wikipedia.org/wiki/Lancashire,years,has theme,Measure_duration
http://en.wikipedia.org/wiki/Mirfield,Charlotte became a pupil at Roe Head School in Mirfield,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Mirfield,year,has theme,Relative_time
http://en.wikipedia.org/wiki/Mirfield,"teach her sisters, Emily and Anne, at home",has goal,Purpose
"http://en.wikipedia.org/wiki/Charlotte,_North_Carolina",as the model for Lowood School in Jane Eyre,has role,Using
http://en.wikipedia.org/wiki/Charlotte_Brontë,under the pseudonym Currer Bell,has theme,Publishing
http://en.wikipedia.org/wiki/Charlotte_Brontë,Charlotte Brontë - http://en.wikipedia.org/wiki/Charlotte_Brontë,has theme,Kinship
http://en.wikipedia.org/wiki/Charlotte_Brontë,"her novel Jane Eyre, which was published under the pseudonym Currer Bell",has reason,Fame
http://en.wikipedia.org/wiki/Charlotte_Brontë,literature,has theme,Fields
http://en.wikipedia.org/wiki/Cowan_Bridge,"love with the school's director, Constantin Heger, a married man, who inspired both the character of Rochester in Jane Eyre, and Charlotte's first novel, The Professor",has theme,Conquering
http://en.wikipedia.org/wiki/Jane_Eyre,Lowood,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Cowan_Bridge,as governess to a local family,has position,Being_employed
"http://en.wikipedia.org/wiki/Charlotte,_North_Carolina",home,has location,Education_teaching
http://en.wikipedia.org/wiki/Jane_Eyre,sisters,has entity,Age
http://en.wikipedia.org/wiki/Haworth,school,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Lancashire,three years,has theme,Time_vector
http://en.wikipedia.org/wiki/Cowan_Bridge,http://en.wikipedia.org/wiki/Brussels,has location,Getting
http://en.wikipedia.org/wiki/Cowan_Bridge,http://en.wikipedia.org/wiki/Charlotte_Brontë,has theme,Conquering
http://en.wikipedia.org/wiki/Charlotte_Brontë,http://en.wikipedia.org/wiki/Jane_Eyre,has location,Personal_relationship
"http://en.wikipedia.org/wiki/Charlotte,_North_Carolina","along with her three sisters, Maria, Elizabeth and Emily",has recipient,Sending
http://en.wikipedia.org/wiki/Charlotte_Brontë,http://en.wikipedia.org/wiki/Maria_Branwell,has theme,Death
"http://en.wikipedia.org/wiki/Charlotte,_North_Carolina",school of her own,has system,Operating_a_system
http://en.wikipedia.org/wiki/Charlotte_Brontë,http://en.wikipedia.org/wiki/Jane_Eyre,has location,Departing
http://en.wikipedia.org/wiki/Charlotte_Brontë,"Charlotte, Emily and Anne",has agent,Attempt
http://en.wikipedia.org/wiki/Jane_Eyre,novel,has type,Ordinal_numbers
"http://en.wikipedia.org/wiki/Charlotte,_North_Carolina",only five years,has age,Age
http://en.wikipedia.org/wiki/Charlotte_Brontë,English,has theme,Fields
http://en.wikipedia.org/wiki/Haworth,pupils,has student,Education_teaching
"http://en.wikipedia.org/wiki/Charlotte,_North_Carolina",http://en.wikipedia.org/wiki/Mirfield,has location,Departing
http://en.wikipedia.org/wiki/Brussels,skills,has skill,Expertise
"http://en.wikipedia.org/wiki/Charlotte,_North_Carolina",Cowan Bridge,has instrument,Using
http://en.wikipedia.org/wiki/Brussels,school,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Jane_Eyre,http://en.wikipedia.org/wiki/Charlotte_Brontë,has patient,Medical_conditions
http://en.wikipedia.org/wiki/Cowan_Bridge,family,has theme,Kinship
http://en.wikipedia.org/wiki/Cornish_people,daughter,has theme,Kinship
"http://en.wikipedia.org/wiki/Charlotte,_North_Carolina",http://en.wikipedia.org/wiki/Lancashire,has location,Age
"http://en.wikipedia.org/wiki/Charlotte,_North_Carolina",http://en.wikipedia.org/wiki/Lancashire,has location,Accompaniment
