Source,Target,Label,Frame
http://en.wikipedia.org/wiki/War_and_Peace,1911,has time,Duration_description
http://en.wikipedia.org/wiki/Leo_Tolstoy,as one of the greatest and most influential authors of all time,has category,Categorization
http://en.wikipedia.org/wiki/Crimean_War,aristocratic,has theme,Kinship
http://en.wikipedia.org/wiki/War_and_Peace,http://en.wikipedia.org/wiki/Leo_Tolstoy,has theme,Causation
http://en.wikipedia.org/wiki/Ludwig_Wittgenstein,His ideas on nonviolent resistance,has theme,Expressing_publicly
http://en.wikipedia.org/wiki/War_and_Peace,1911,has time,Inclusion
http://en.wikipedia.org/wiki/Crimean_War,as an equally profound spiritual awakening,has category,Categorization
http://en.wikipedia.org/wiki/Alyosha_the_Pot,Alyosha the Pot,has agent,Labor_product
http://en.wikipedia.org/wiki/England,as Leo Tolstoy,has theme,Referring_by_name
http://en.wikipedia.org/wiki/Leo_Tolstoy,fervent Christian anarchist and pacifist,has theme,Becoming
http://en.wikipedia.org/wiki/Alyosha_the_Pot,oeuvre,has theme,Labor_product
http://en.wikipedia.org/wiki/England,7 November 1910,has entity,Referring_by_name
http://en.wikipedia.org/wiki/War_and_Peace,"philosophical, moral and religious themes",has theme,Topic
http://en.wikipedia.org/wiki/War_and_Peace,stories,has theme,Duration_description
http://en.wikipedia.org/wiki/Crimean_War,what,has item,Categorization
http://en.wikipedia.org/wiki/Leo_Tolstoy,uses,has class,Increment
http://en.wikipedia.org/wiki/War_and_Peace,as pinnacles of realist fiction and three of the greatest novels ever written,has role,Adducing
http://en.wikipedia.org/wiki/Devil,http://en.wikipedia.org/wiki/Jesus,has theme,Categorization
http://en.wikipedia.org/wiki/Leo_Tolstoy,his twenties,has time,Judgment_communication
http://en.wikipedia.org/wiki/Crimean_War,Crimean War,has time,Perception_experience
http://en.wikipedia.org/wiki/War_and_Peace,greatest novels,has text,Text_creation
http://en.wikipedia.org/wiki/England,authors,has entity,Subjective_influence
http://en.wikipedia.org/wiki/Leo_Tolstoy,"plays and essays concerning philosophical, moral and religious themes",has text,Text_creation
http://en.wikipedia.org/wiki/Russia,writer,has text,Text
http://en.wikipedia.org/wiki/War_and_Peace,become a fervent Christian anarchist and pacifist,has effect,Causation
http://en.wikipedia.org/wiki/Leo_Tolstoy,Tolstoy disambiguation and Lev Tolstoy disambiguation,has theme,Reference_text
http://en.wikipedia.org/wiki/Crimean_War,http://en.wikipedia.org/wiki/Leo_Tolstoy,has theme,Perception_experience
http://en.wikipedia.org/wiki/War_and_Peace,"His War and Peace 1869 , Anna Karenina 1878 , and Resurrection 1899 , which is based on his youthful sins,",has theme,Adducing
http://en.wikipedia.org/wiki/Ludwig_Wittgenstein,such works as The Kingdom of God Is Within You 1894,has theme,Expressing_publicly
http://en.wikipedia.org/wiki/Alyosha_the_Pot,1911,has time,Labor_product
http://en.wikipedia.org/wiki/Devil,ethical teachings of Jesus,has item,Categorization
http://en.wikipedia.org/wiki/Crimean_War,aristocratic family,has theme,Being_born
http://en.wikipedia.org/wiki/England,authors,has author,Text_creation
http://en.wikipedia.org/wiki/Leo_Tolstoy,"his semi-autobiographical trilogy, Childhood, Boyhood and Youth 1852–1856, and with Sevastopol Sketches 1855  based on his experiences in the Crimean War",has reason,Judgment_communication
http://en.wikipedia.org/wiki/War_and_Peace,His oeuvre,has theme,Inclusion
http://en.wikipedia.org/wiki/Devil,literal,has theme,Categorization
http://en.wikipedia.org/wiki/England,1910,has time,Referring_by_name
http://en.wikipedia.org/wiki/War_and_Peace,plays and essays,has text,Topic
http://en.wikipedia.org/wiki/Crimean_War,http://en.wikipedia.org/wiki/Leo_Tolstoy,has theme,Categorization
http://en.wikipedia.org/wiki/Russia,http://en.wikipedia.org/wiki/England,has location,Text
http://en.wikipedia.org/wiki/Russia,1910,has time,Text
http://en.wikipedia.org/wiki/War_and_Peace,"His literal interpretation of the ethical teachings of Jesus, centering on the Sermon on the Mount",has cause,Causation
http://en.wikipedia.org/wiki/War_and_Peace,"short stories such as "" Alyosha the Pot "" 1911 and "" After the Ball "" 1911 and novellas such as Family Happiness 1859 , The Death of Ivan Ilyich 1886 , The Kreutzer Sonata 1889 , The Devil 1911 , and Hadji Murat 1912",has theme,Inclusion
