subject,predicate,object,confidence,source_sentence,extractable
"http://en.wikipedia.org/wiki/Santa_Fe,_New_Mexico",Residence:has_theme,Santa Fe,0.9,Unknown,True
http://en.wikipedia.org/wiki/Great_Depression,Calendric_unit:has_theme,day,0.9,Unknown,True
http://en.wikipedia.org/wiki/Richard,Text_creation:has_time,2011,0.9,Unknown,True
http://en.wikipedia.org/wiki/Richard,Text_creation:has_author,writer,0.9,Unknown,True
http://en.wikipedia.org/wiki/Lev_Grossman,Possession:has_theme,Jean Cocteau Cinema,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Bayonne,_New_Jersey",Appointing:has_time,13 years old,0.9,Unknown,True
http://en.wikipedia.org/wiki/Lev_Grossman,Inclusion:has_time,2011,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Santa_Fe,_New_Mexico",Assistance:has_theme,Santa Fe,0.9,Unknown,True
http://en.wikipedia.org/wiki/Great_Depression,Evidence:has_theme,"be 53.6% ""British and Irish, 22.4% Ashkenazi Jewish, and 15.6% ""Broadly Northwestern European",0.9,Unknown,True
http://en.wikipedia.org/wiki/Great_Depression,Locative_relation:has_theme,Bayonne docks,0.9,Unknown,True
http://en.wikipedia.org/wiki/Richard,Being_named:has_theme,"as the author of the series of epic fantasy novels A Song of Ice and Fire, which were adapted into the Primetime Emmy Award –winning television series Game of Thrones (2011–2019) and its prequel series House of the Dragon (2022–present",0.9,Unknown,True
http://en.wikipedia.org/wiki/Great_Depression,Examination:has_theme,series Finding Your Roots,0.9,Unknown,True
http://en.wikipedia.org/wiki/Richard,Removing:has_theme,which,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Bayonne,_New_Jersey",Age:has_age,13 years,0.9,Unknown,True
http://en.wikipedia.org/wiki/List_of_Wild_Cards_books_and_short_stories,Assistance:has_goal,create the Wild Cards anthology series,0.9,Unknown,True
http://en.wikipedia.org/wiki/Lev_Grossman,Labeling:has_entity,http://en.wikipedia.org/wiki/Martin_(TV_series),0.9,Unknown,True
http://en.wikipedia.org/wiki/Richard,Fame:has_entity,fantasy novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/List_of_Wild_Cards_books_and_short_stories,Intentionally_create:has_time,2022,0.9,Unknown,True
http://en.wikipedia.org/wiki/Martin_(TV_series),Kinship:has_theme,mother,0.9,Unknown,True
http://en.wikipedia.org/wiki/Great_Depression,Buildings:has_time,1953,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Bayonne,_New_Jersey",Roadways:has_time,1953,0.9,Unknown,True
http://en.wikipedia.org/wiki/Richard,Text_creation:has_text,"series of epic fantasy novels A Song of Ice and Fire, which were adapted into the Primetime Emmy Award –winning television series Game of Thrones (2011–2019) and its prequel series House of the Dragon (2022–present",0.9,Unknown,True
http://en.wikipedia.org/wiki/Lev_Grossman,People:has_time,2005,0.9,Unknown,True
http://en.wikipedia.org/wiki/Lev_Grossman,Subjective_influence:has_entity,people,0.9,Unknown,True
http://en.wikipedia.org/wiki/Lev_Grossman,Kinship:has_location,"http://en.wikipedia.org/wiki/Bayonne,_New_Jersey",0.9,Unknown,True
http://en.wikipedia.org/wiki/Great_Depression,Kinship:has_theme,http://en.wikipedia.org/wiki/Martin_(TV_series),0.9,Unknown,True
http://en.wikipedia.org/wiki/Lev_Grossman,Labeling:has_speaker,Lev Grossman of Time,0.9,Unknown,True
http://en.wikipedia.org/wiki/Great_Depression,Buildings:has_theme,housing,0.9,Unknown,True
http://en.wikipedia.org/wiki/Great_Depression,Political_locales:has_time,1953,0.9,Unknown,True
http://en.wikipedia.org/wiki/Great_Depression,Age:has_degree,younger,0.9,Unknown,True
http://en.wikipedia.org/wiki/Richard,Being_named:has_entity,American writer and television producer,0.9,Unknown,True
