Source,Target,Label,Frame
http://en.wikipedia.org/wiki/George_Orwell,Nineteen Eighty-Four,has text,Text
http://en.wikipedia.org/wiki/George_Orwell,1903,has time,Text_creation
http://en.wikipedia.org/wiki/England,uses,has class,Increment
http://en.wikipedia.org/wiki/England,author,has author,Text_creation
http://en.wikipedia.org/wiki/George_Orwell,"His non-fiction works, including The Road to Wigan Pier 1937 , documenting his experience of working-class life in industrial Northern England, and Homage to Catalonia 1938 , an account of his experiences soldiering for the Republican faction of the Spanish Civil War 1936–1939 ",has evaluee,Judgment
http://en.wikipedia.org/wiki/George_Orwell,under the pen name of George Orwell,has theme,Text_creation
http://en.wikipedia.org/wiki/England,1903,has time,Text_creation
http://en.wikipedia.org/wiki/George_Orwell,poetry,has text,Text
http://en.wikipedia.org/wiki/George_Orwell,"Motihari, Bengal Presidency now Bihar , British India",has location,Being_born
http://en.wikipedia.org/wiki/Spanish_Civil_War,1937,has time,Perception_experience
http://en.wikipedia.org/wiki/Motihari,lower-upper-middle class,has theme,Kinship
http://en.wikipedia.org/wiki/George_Orwell,part,has theme,Part_whole
http://en.wikipedia.org/wiki/George_Orwell,"adjective "" Orwellian ""—describing totalitarian and authoritarian social practices",has theme,Similarity
http://en.wikipedia.org/wiki/George_Orwell,Road to Wigan Pier 1937 ,has theme,Inclusion
http://en.wikipedia.org/wiki/George_Orwell,Orwell disambiguation,has theme,Reference_text
http://en.wikipedia.org/wiki/George_Orwell,who,has author,Text_creation
http://en.wikipedia.org/wiki/George_Orwell,account,has text,Text
http://en.wikipedia.org/wiki/George_Orwell,totalitarian and authoritarian,has agent,Practice
http://en.wikipedia.org/wiki/George_Orwell,essays,has text,Text
http://en.wikipedia.org/wiki/George_Orwell,his experiences soldiering for the Republican faction of the Spanish Civil War 1936–1939,has theme,Text
http://en.wikipedia.org/wiki/George_Orwell,"as his essays on politics, literature, language and culture",has degree,Judgment
http://en.wikipedia.org/wiki/Motihari,what,has item,Communicate_categorization
http://en.wikipedia.org/wiki/Spanish_Civil_War,http://en.wikipedia.org/wiki/George_Orwell,has theme,Perception_experience
http://en.wikipedia.org/wiki/George_Orwell,1937,has time,Text
http://en.wikipedia.org/wiki/George_Orwell,Orwell's work,has entity,State_continue
http://en.wikipedia.org/wiki/The_Times,Times,has theme,Appointing
http://en.wikipedia.org/wiki/George_Orwell,1903,has time,Being_named
http://en.wikipedia.org/wiki/George_Orwell,"Eric Blair "" redirects",has theme,Locative_relation
http://en.wikipedia.org/wiki/George_Orwell,popular culture and in political culture,has location,Objective_influence
http://en.wikipedia.org/wiki/The_Times,second-greatest British writer since 1945,has role,Appointing
http://en.wikipedia.org/wiki/George_Orwell,Northern England,has location,Manufacturing
http://en.wikipedia.org/wiki/George_Orwell,1937,has time,Manufacturing
http://en.wikipedia.org/wiki/Motihari,family,has theme,Kinship
http://en.wikipedia.org/wiki/George_Orwell,"politics, literature, language and culture",has theme,Text
http://en.wikipedia.org/wiki/George_Orwell,novella Animal Farm 1945,has text,Text
http://en.wikipedia.org/wiki/George_Orwell,his allegorical novella Animal Farm 1945 and the dystopian novel Nineteen Eighty-Four 1949 ,has reason,Fame
http://en.wikipedia.org/wiki/George_Orwell,working-class life in industrial Northern England,has theme,Perception_experience
http://en.wikipedia.org/wiki/George_Orwell,all totalitarianism both authoritarian communism and fascism ,has issue,Taking_sides
http://en.wikipedia.org/wiki/George_Orwell,social,has theme,Practice
http://en.wikipedia.org/wiki/George_Orwell,here,has theme,Locative_relation
http://en.wikipedia.org/wiki/George_Orwell,Orwell's work,has theme,Objective_influence
http://en.wikipedia.org/wiki/George_Orwell,"many of his neologisms, such as "" Big Brother "", "" Thought Police "", "" Room 101 "", "" Newspeak "", "" memory hole "", "" doublethink "", and "" thoughtcrime ",has theme,Similarity
http://en.wikipedia.org/wiki/The_Times,2008,has time,Appointing
http://en.wikipedia.org/wiki/George_Orwell,1945,has time,Fame
http://en.wikipedia.org/wiki/George_Orwell,1937,has time,Inclusion
http://en.wikipedia.org/wiki/Ontario,politician,has person,People_by_vocation
http://en.wikipedia.org/wiki/George_Orwell,dystopian,has theme,Text
http://en.wikipedia.org/wiki/George_Orwell,influential in popular culture and in political culture,has state,State_continue
http://en.wikipedia.org/wiki/Spanish_Civil_War,soldiering for the Republican faction of the Spanish Civil War,has theme,Perception_experience
http://en.wikipedia.org/wiki/Motihari,"as a "" lower-upper-middle class",has category,Communicate_categorization
http://en.wikipedia.org/wiki/George_Orwell,culture,has theme,Desirability
http://en.wikipedia.org/wiki/Motihari,1903,has time,Kinship
http://en.wikipedia.org/wiki/George_Orwell,1945,has time,Labor_product
http://en.wikipedia.org/wiki/Motihari,1903,has time,Communicate_categorization
http://en.wikipedia.org/wiki/George_Orwell,25 June 1903,has time,Being_born
http://en.wikipedia.org/wiki/George_Orwell,English language,has theme,Part_whole
http://en.wikipedia.org/wiki/George_Orwell,1937,has time,Judgment
http://en.wikipedia.org/wiki/George_Orwell,1937,has time,Perception_experience
http://en.wikipedia.org/wiki/George_Orwell,works,has theme,Labor_product
