Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Mark_Twain,that,has message,Hearsay
http://en.wikipedia.org/wiki/Mark_Twain,much sought-after speaker,has theme,Becoming
http://en.wikipedia.org/wiki/United_States,"writer, humorist, and essayist",has entity,Origin
"http://en.wikipedia.org/wiki/Angels_Camp,_California",time,has theme,Proportional_quantity
http://en.wikipedia.org/wiki/Mark_Twain,pen name Mark Twain,has theme,Being_named
http://en.wikipedia.org/wiki/Adventures_of_Huckleberry_Finn,which,has theme,Supply
http://en.wikipedia.org/wiki/Nevada,Soon,has theme,Time_vector
http://en.wikipedia.org/wiki/United_States,American literature,has theme,Kinship
http://en.wikipedia.org/wiki/Mark_Twain,"Hannibal, Missouri",has location,Growing_food
http://en.wikipedia.org/wiki/Mark_Twain,as a writer,has role,Success_or_failure
http://en.wikipedia.org/wiki/Mark_Twain,riverboat pilot on the Mississippi River,has theme,Becoming
http://en.wikipedia.org/wiki/United_States,author and humorist,has entity,Origin
"http://en.wikipedia.org/wiki/Angels_Camp,_California","achieved success as a writer with the humorous story "" The Celebrated Jumping Frog of Calaveras County "" which was published in 1865",has theme,First_experience
http://en.wikipedia.org/wiki/Mark_Twain,"Angels Hotel in Angels Camp, California",has location,Hearsay
http://en.wikipedia.org/wiki/Mark_Twain,international,has theme,Political_locales
"http://en.wikipedia.org/wiki/The_Adventures_of_Brisco_County,_Jr.",older,has attribute,Age
http://en.wikipedia.org/wiki/United_States, greatest humorist,has theme,Creating
http://en.wikipedia.org/wiki/Adventures_of_Huckleberry_Finn,setting for both Tom Sawyer and Huckleberry Finn,has theme,Supply
http://en.wikipedia.org/wiki/Mark_Twain,story,has theme,Duration_description
http://en.wikipedia.org/wiki/Mississippi_River,River,has theme,Natural_features
http://en.wikipedia.org/wiki/Mark_Twain,1910,has time,Being_named
"http://en.wikipedia.org/wiki/Angels_Camp,_California",some,has theme,Proportional_quantity
http://en.wikipedia.org/wiki/Mark_Twain,As his fame grew,has time,Becoming
http://en.wikipedia.org/wiki/Nevada,Twain headed west to join Orion in Nevada,has event,Time_vector
"http://en.wikipedia.org/wiki/The_Adventures_of_Brisco_County,_Jr.",international attention,has theme,Bringing
http://en.wikipedia.org/wiki/Nevada,http://en.wikipedia.org/wiki/Mark_Twain,has theme,Self_motion
"http://en.wikipedia.org/wiki/Angels_Camp,_California",as a miner,has position,Being_employed
http://en.wikipedia.org/wiki/Mark_Twain,Twain's,has author,Text
http://en.wikipedia.org/wiki/Nevada,join Orion in Nevada,has purpose,Self_motion
"http://en.wikipedia.org/wiki/The_Adventures_of_Brisco_County,_Jr.",Great American Novel,has theme,Referring_by_name
http://en.wikipedia.org/wiki/Mark_Twain,his lack of success at mining,has theme,Topic
http://en.wikipedia.org/wiki/Mark_Twain,fiction,has text,Text
"http://en.wikipedia.org/wiki/Angels_Camp,_California",http://en.wikipedia.org/wiki/Mark_Twain,has employee,Being_employed
http://en.wikipedia.org/wiki/Mark_Twain,his fame,has item,Expansion
http://en.wikipedia.org/wiki/Mark_Twain,brother,has theme,Kinship
http://en.wikipedia.org/wiki/Nevada,west,has theme,Self_motion
http://en.wikipedia.org/wiki/William_Faulkner,http://en.wikipedia.org/wiki/Mark_Twain,has entity,Labeling
"http://en.wikipedia.org/wiki/Angels_Camp,_California",which,has work,Publishing
http://en.wikipedia.org/wiki/United_States,father,has theme,Kinship
http://en.wikipedia.org/wiki/Mark_Twain,1910,has time,Reference_text
http://en.wikipedia.org/wiki/Mark_Twain,book,has text,Text
http://en.wikipedia.org/wiki/Mississippi_River,http://en.wikipedia.org/wiki/Mark_Twain,has recipient,Supply
http://en.wikipedia.org/wiki/Mark_Twain,success at mining,has theme,Possession
http://en.wikipedia.org/wiki/Mississippi_River,material for Life on the Mississippi,has theme,Supply
http://en.wikipedia.org/wiki/Ernest_Hemingway,novelist Ernest Hemingway,has speaker,Statement
http://en.wikipedia.org/wiki/Adventures_of_Huckleberry_Finn,provided the setting for both Tom Sawyer and Huckleberry Finn,has event,Time_vector
http://en.wikipedia.org/wiki/Adventures_of_Huckleberry_Finn,Hannibal,has location,Supply
http://en.wikipedia.org/wiki/Mark_Twain,1910,has time,Text_creation
http://en.wikipedia.org/wiki/Nevada,http://en.wikipedia.org/wiki/Mark_Twain,has theme,Becoming_a_member
http://en.wikipedia.org/wiki/Ernest_Hemingway,"that "" All modern American literature comes from one book by Mark Twain called Huckleberry Finn",has message,Statement
http://en.wikipedia.org/wiki/Mark_Twain,Connecticut Yankee in King Arthur's Court 1889 and Pudd'nhead Wilson 1894,has text,Text_creation
http://en.wikipedia.org/wiki/Mark_Twain,"Samuel Langhorne Clemens November 30, 1835 – April 21, 1910",has entity,Being_named
http://en.wikipedia.org/wiki/Nevada,Orion in Nevada,has group,Becoming_a_member
"http://en.wikipedia.org/wiki/The_Adventures_of_Brisco_County,_Jr.",brother,has entity,Age
"http://en.wikipedia.org/wiki/The_Adventures_of_Brisco_County,_Jr.",http://en.wikipedia.org/wiki/Mark_Twain,has goal,Bringing
http://en.wikipedia.org/wiki/United_States,1910,has time,Origin
http://en.wikipedia.org/wiki/Adventures_of_Huckleberry_Finn,Hannibal,has location,Time_vector
http://en.wikipedia.org/wiki/Mark_Twain,author,has author,Text_creation
http://en.wikipedia.org/wiki/Adventures_of_Huckleberry_Finn,later,has theme,Time_vector
http://en.wikipedia.org/wiki/Mississippi_River,which,has theme,Supply
http://en.wikipedia.org/wiki/Mark_Twain,"http://en.wikipedia.org/wiki/Angels_Camp,_California",has location,Text_creation
http://en.wikipedia.org/wiki/Mark_Twain,uses,has class,Increment
http://en.wikipedia.org/wiki/Mark_Twain,one book by Mark Twain,has entity,Referring_by_name
http://en.wikipedia.org/wiki/Nevada,Soon after,has time,Self_motion
http://en.wikipedia.org/wiki/Mark_Twain,mining,has goal,Success_or_failure
http://en.wikipedia.org/wiki/William_Faulkner,the father of American literature,has theme,Labeling
http://en.wikipedia.org/wiki/Mark_Twain,http://en.wikipedia.org/wiki/United_States,has location,Text_creation
http://en.wikipedia.org/wiki/Mark_Twain,http://en.wikipedia.org/wiki/Adventures_of_Huckleberry_Finn,has theme,Referring_by_name
http://en.wikipedia.org/wiki/Mark_Twain,Mark Twain disambiguation,has theme,Reference_text
http://en.wikipedia.org/wiki/Mark_Twain,then,has time,Becoming
http://en.wikipedia.org/wiki/Mark_Twain,"Adventures of Tom Sawyer 1876 and its sequel, Adventures of Huckleberry Finn 1884 ",has theme,Inclusion
"http://en.wikipedia.org/wiki/The_Adventures_of_Brisco_County,_Jr.",short story,has agent,Bringing
http://en.wikipedia.org/wiki/Mark_Twain,novels,has text,Text
http://en.wikipedia.org/wiki/Mark_Twain,humorously,has theme,Topic
http://en.wikipedia.org/wiki/Mark_Twain,Twain's novels,has theme,Inclusion
http://en.wikipedia.org/wiki/Mark_Twain,"as the "" greatest humorist the United States has produced ",has reason,Judgment_communication
http://en.wikipedia.org/wiki/Mark_Twain,both fiction and non-fiction,has text,Text_creation
http://en.wikipedia.org/wiki/Mark_Twain,"http://en.wikipedia.org/wiki/Angels_Camp,_California",has location,Success_or_failure
http://en.wikipedia.org/wiki/United_States,literature,has entity,Origin
"http://en.wikipedia.org/wiki/Angels_Camp,_California",1865,has time,Publishing
http://en.wikipedia.org/wiki/Mark_Twain,1910,has time,Increment
"http://en.wikipedia.org/wiki/The_Adventures_of_Brisco_County,_Jr.",latter,has entity,Referring_by_name
http://en.wikipedia.org/wiki/Adventures_of_Huckleberry_Finn,later,has time,Supply
http://en.wikipedia.org/wiki/Mark_Twain,articles,has text,Text
http://en.wikipedia.org/wiki/Mark_Twain,King Arthur,has location,Text_creation
