subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/World_War_II,Cardinal_numbers:has_entity,more novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jerry_Garcia,Inclusion:has_theme,"Bob Dylan, the Beatles, Jerry Garcia, and the Doors",0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Achieving_first:has_theme,pioneer,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_S._Burroughs,Achieving_first:has_theme,http://en.wikipedia.org/wiki/Beat_Generation,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_II,Quantified_mass:has_theme,poetry volumes,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Origin:has_entity,novelist and poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jack_Kerouac,Being_named:has_theme,as Jack Kerouac,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_II,Locative_relation:has_theme,his name,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jack_Kerouac,Being_named:has_theme,name,0.9,Unknown,True
http://en.wikipedia.org/wiki/Like_a_Rolling_Stone,Objective_influence:has_theme,"many of the cultural icons of the 1960s, including Bob Dylan, the Beatles, Jerry Garcia, and the Doors",0.9,Unknown,True
http://en.wikipedia.org/wiki/Jack_Kerouac,Being_named:has_time,1922,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_II,Death:has_time,1969,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_II,Time_vector:has_event,which was published more than 40 years,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_II,Cardinal_numbers:has_theme,12,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_II,Publishing:has_work,his first novel,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_II,Locative_relation:has_theme,some confusion,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_II,Quantified_mass:has_quantity,several,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jack_Kerouac,Text:has_text,novel,0.9,Unknown,True
