subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Jude_the_Obscure,Scrutiny:has_theme,best-loved novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/South_West_England,Change_position_on_a_scale:has_location,Victorian,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Wordsworth,Relative_time:has_theme,his death,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Wordsworth,Locale_by_use:has_location,Victorian,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jude_the_Obscure,Motion_directional:has_theme,tree,0.9,Unknown,True
http://en.wikipedia.org/wiki/South_West_England,Change_position_on_a_scale:has_theme,status of rural people in Britain such as those from his native South West England,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Topic:has_status,primarily as a poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Categorization:has_category,as a mentor,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Wordsworth,Perception_active:has_theme,"Two of his novels, Tess of the d'Urbervilles and Far from the Madding Crowd",0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Wordsworth,Publishing:has_time,until 1898,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Reference_text:has_theme,Thomas Hardy (disambiguation,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Wordsworth,Age:has_entity,poets,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Wordsworth,Cardinal_numbers:has_entity,his novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Reference_text:has_time,1928,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Wordsworth,Inclusion:has_theme,Romanticism,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Wordsworth,Temporal_collocation:has_theme,his lifetime,0.9,Unknown,True
http://en.wikipedia.org/wiki/South_West_England,Judgment:has_theme,http://en.wikipedia.org/wiki/Thomas_Hardy,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Wordsworth,Getting:has_recipient,http://en.wikipedia.org/wiki/Thomas_Hardy,0.9,Unknown,True
http://en.wikipedia.org/wiki/St_Pancras_Old_Church,Motion:has_goal,gravestones,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Purpose:has_goal,uses,0.9,Unknown,True
