Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,poems,has text,Text
http://en.wikipedia.org/wiki/J._R._R._Tolkien,Rawlinson and Bosworth,has theme,People_by_vocation
http://en.wikipedia.org/wiki/J._R._R._Tolkien,close,has degree,Social_connection
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,avalanche of new fantasy books and authors,has effect,Causation
http://en.wikipedia.org/wiki/J._R._R._Tolkien,father,has theme,Kinship
http://en.wikipedia.org/wiki/J._R._R._Tolkien,high fantasy works The Hobbit and The Lord of the Rings,has text,Text_creation
http://en.wikipedia.org/wiki/J._R._R._Tolkien,Anglo-Saxon,has type,People_by_vocation
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,authors,has class,Increment
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,connected,has theme,Aggregate
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,languages,has theme,Coming_up_with
http://en.wikipedia.org/wiki/English_studies,university,has theme,Identicality
"http://en.wikipedia.org/wiki/Pembroke_College,_Cambridge",Fellow,has person,People
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Hobbit and The Lord of the Rings,has theme,Personal_success
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,legendarium,has theme,Simple_name
http://en.wikipedia.org/wiki/J._R._R._Tolkien,larger part of these writings,has purpose,Using
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,authors,has author,Text_creation
http://en.wikipedia.org/wiki/English_studies,new,has age,Age
http://en.wikipedia.org/wiki/J._R._R._Tolkien,"C. S. Lewis, a co-member of the Inklings, an informal literary discussion group",has theme,Social_connection
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,http://en.wikipedia.org/wiki/Arda_(Tolkien),has theme,Referring_by_name
http://en.wikipedia.org/wiki/The_Hobbit,fantasy works,has item,Position_on_a_scale
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,part,has theme,Part_whole
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,before Tolkien,has time,Publishing
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,"These, together with The Hobbit and The Lord of the Rings",has cause,Creating
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,as one of the most influential authors of all time,has category,Categorization
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,essays,has text,Text
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,these writings,has theme,Part_whole
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,fantasy genre,has theme,Emotion_directed
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,works of fantasy,has work,Publishing
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,authors,has entity,Subjective_influence
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,"fantasy world called Arda and, within it, Middle-earth",has theme,Text
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,avalanche,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/English_studies,1945,has time,Being_employed
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,profound,has degree,Emotion_directed
http://en.wikipedia.org/wiki/J._R._R._Tolkien,himself,has theme,Awareness
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,his father's extensive notes and unpublished manuscripts,has theme,Inclusion
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,many,has theme,Increment
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,many other authors,has theme,Publishing
"http://en.wikipedia.org/wiki/Merton_College,_Oxford",1945,has time,Institutionalization
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,"series of works based on his father's extensive notes and unpublished manuscripts, including The Silmarillion",has work,Publishing
http://en.wikipedia.org/wiki/J._R._R._Tolkien,1945,has time,People_by_vocation
http://en.wikipedia.org/wiki/The_Hobbit,works,has theme,Labor_product
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,works,has theme,Labor_product
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,manuscripts,has text,Text
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Silmarillion,has theme,Inclusion
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,books,has text,Text
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Tolkien's death,has theme,Relative_time
http://en.wikipedia.org/wiki/J._R._R._Tolkien,friend,has theme,Social_connection
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Queen Elizabeth II,has theme,Appointing
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,"as the ""father"" of modern fantasy literature",has category,Categorization
"http://en.wikipedia.org/wiki/Pembroke_College,_Cambridge",1925,has time,Locale_by_use
http://en.wikipedia.org/wiki/English_studies,university,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,1951,has time,Part_whole
http://en.wikipedia.org/wiki/J._R._R._Tolkien,son,has theme,Kinship
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,"connected body of tales, poems, fictional histories, invented languages, and literary essays about a fantasy world called Arda and, within it, Middle-earth",has theme,Creating
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,tremendous,has degree,Personal_success
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,"his son Christopher published a series of works based on his father's extensive notes and unpublished manuscripts, including The Silmarillion",has theme,Relative_time
http://en.wikipedia.org/wiki/J._R._R._Tolkien,1925,has time,People_by_vocation
http://en.wikipedia.org/wiki/J._R._R._Tolkien,Tolkien disambiguation,has theme,Reference_text
"http://en.wikipedia.org/wiki/Pembroke_College,_Cambridge",College,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,his son Christopher,has theme,Publishing
http://en.wikipedia.org/wiki/J._R._R._Tolkien,Merton Professor of English Language and Literature and Fellow of Merton College,has theme,Becoming
http://en.wikipedia.org/wiki/The_Hobbit,high fantasy,has theme,Labor_product
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,fantasy,has theme,Text
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,http://en.wikipedia.org/wiki/J._R._R._Tolkien,has item,Categorization
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,new fantasy books and authors,has theme,Quantified_mass
http://en.wikipedia.org/wiki/Elizabeth_II,Tolkien's,has theme,Death
http://en.wikipedia.org/wiki/J._R._R._Tolkien,then,has time,Motion
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,body,has theme,Aggregate
http://en.wikipedia.org/wiki/English_studies,informal,has theme,Aggregate
http://en.wikipedia.org/wiki/J._R._R._Tolkien,Between 1951 and 1955,has time,Using
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,tremendous success of The Hobbit and The Lord of the Rings,has cause,Causation
http://en.wikipedia.org/wiki/English_studies,literary discussion,has theme,Aggregate
"http://en.wikipedia.org/wiki/Merton_College,_Oxford",College,has theme,Institutionalization
http://en.wikipedia.org/wiki/J._R._R._Tolkien,many other authors had published works of fantasy,has event,Time_vector
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Commander of the Order of the British Empire,has role,Appointing
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,other authors,has theme,Quantified_mass
http://en.wikipedia.org/wiki/J._R._R._Tolkien,"C. S. Lewis, a co-member of the Inklings, an informal literary discussion group",has theme,Personal_relationship
http://en.wikipedia.org/wiki/English_studies,group,has theme,Aggregate
http://en.wikipedia.org/wiki/English_studies,group,has theme,Discussion
http://en.wikipedia.org/wiki/J._R._R._Tolkien,term legendarium,has instrument,Using
http://en.wikipedia.org/wiki/J._R._R._Tolkien,as such,has role,Awareness
"http://en.wikipedia.org/wiki/Pembroke_College,_Cambridge",Pembroke,has theme,Locale_by_use
http://en.wikipedia.org/wiki/J._R._R._Tolkien,close,has degree,Personal_relationship
http://en.wikipedia.org/wiki/J._R._R._Tolkien,family,has theme,Kinship
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,many other authors had published works of fantasy before Tolkien,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,fantasy world,has entity,Referring_by_name
http://en.wikipedia.org/wiki/J._R._R._Tolkien,1945,has time,Becoming
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,unpublished,has theme,Text
http://en.wikipedia.org/wiki/English_studies,http://en.wikipedia.org/wiki/J._R._R._Tolkien,has employee,Being_employed
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,tremendous success of The Hobbit and The Lord of the Rings ignited a profound interest in the fantasy genre and ultimately precipitated an avalanche of new fantasy books and authors,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/English_studies,literary,has theme,Discussion
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,"tales, poems, fictional histories, invented languages, and literary essays about a fantasy world called Arda and, within it, Middle-earth",has theme,Aggregate
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,authors,has text,Text
http://en.wikipedia.org/wiki/English_studies,1945,has time,Locale_by_use
http://en.wikipedia.org/wiki/J._R._R._Tolkien,Tolkien family,has theme,Awareness
http://en.wikipedia.org/wiki/English_studies,1945,has time,Identicality
http://en.wikipedia.org/wiki/J._R._R._Tolkien,become the Merton Professor of English Language and Literature and Fellow of Merton College,has purpose,Motion
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,1951,has time,Simple_name
http://en.wikipedia.org/wiki/J._R._R._Tolkien,"http://en.wikipedia.org/wiki/Merton_College,_Oxford",has theme,People_by_vocation
http://en.wikipedia.org/wiki/English_studies,fantasy books and authors,has entity,Age
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,28 March 1972,has time,Appointing
"http://en.wikipedia.org/wiki/Pembroke_College,_Cambridge",1925,has time,People
"http://en.wikipedia.org/wiki/Pembroke_College,_Cambridge",Oxford,has theme,Locale_by_use
http://en.wikipedia.org/wiki/J._R._R._Tolkien,within the same university,has goal,Motion
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,http://en.wikipedia.org/wiki/J._R._R._Tolkien,has theme,Appointing
"http://en.wikipedia.org/wiki/Pembroke_College,_Cambridge",University,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,many,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/England,uses,has class,Increment
