subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Emily_Brontë,Openness:has_theme,Their house,0.9,Unknown,True
http://en.wikipedia.org/wiki/West_Riding_of_Yorkshire,Political_locales:has_location,"http://en.wikipedia.org/wiki/Thornton,_West_Yorkshire",0.9,Unknown,True
"http://en.wikipedia.org/wiki/Charlotte,_North_Carolina",Being_named:has_entity,book of poetry with her sisters Charlotte and Anne,0.9,Unknown,True
http://en.wikipedia.org/wiki/Elizabeth_Branwell,Abandonment:has_theme,children,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Kinship:has_theme,sister,0.9,Unknown,True
http://en.wikipedia.org/wiki/Brussels,Education_teaching:has_teacher,teacher,0.9,Unknown,True
http://en.wikipedia.org/wiki/Brussels,Assistance:has_goal,chores,0.9,Unknown,True
http://en.wikipedia.org/wiki/Haworth,Frequency:has_theme,intervals,0.9,Unknown,True
http://en.wikipedia.org/wiki/Haworth,Education_teaching:has_location,home,0.9,Unknown,True
http://en.wikipedia.org/wiki/Brussels,Frequency:has_event,school,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Text:has_theme,1847,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Death:has_theme,Emily Bront,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Death:has_theme,aged 30,0.9,Unknown,True
http://en.wikipedia.org/wiki/Irish_people,Kinship:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wuthering_Heights,Surviving:has_time,into adulthood,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wuthering_Heights,Partitive:has_theme,fifth,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Being_born:has_person,Emily Bront,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wuthering_Heights,Cardinal_numbers:has_theme,four,0.9,Unknown,True
http://en.wikipedia.org/wiki/Haworth,Experiencer_focus:has_theme,http://en.wikipedia.org/wiki/Emily_Brontë,0.9,Unknown,True
http://en.wikipedia.org/wiki/Brussels,Education_teaching:has_theme,books,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anne_Brontë,Text:has_text,Poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wuthering_Heights,Death:has_theme,Her mother,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Kinship:has_theme,Bront,0.9,Unknown,True
http://en.wikipedia.org/wiki/West_Riding_of_Yorkshire,Political_locales:has_theme,"outskirts of Bradford, in the West Riding of Yorkshire",0.9,Unknown,True
http://en.wikipedia.org/wiki/Haworth,Text:has_text,books,0.9,Unknown,True
http://en.wikipedia.org/wiki/Penzance,Kinship:has_theme,wealthy Penzance merchant and property owner,0.9,Unknown,True
http://en.wikipedia.org/wiki/Brussels,Education_teaching:has_student,herself,0.9,Unknown,True
http://en.wikipedia.org/wiki/Elizabeth_Branwell,Kinship:has_theme,sister,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Possession:has_owner,owner,0.9,Unknown,True
http://en.wikipedia.org/wiki/Haworth,Social_connection:has_theme,her siblings,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wuthering_Heights,Opinion:has_opinion,that the characters in Wuthering Heights were coarse and immoral,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Kinship:has_theme,http://en.wikipedia.org/wiki/Charlotte_Brontë,0.9,Unknown,True
http://en.wikipedia.org/wiki/Brussels,People_by_vocation:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Haworth,Buildings:has_theme,home,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Categorization:has_time,now,0.9,Unknown,True
http://en.wikipedia.org/wiki/Brussels,Being_employed:has_task,chores,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Thornton,_West_Yorkshire",Part_orientational:has_theme,Riding of Yorkshire,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Kinship:has_location,"http://en.wikipedia.org/wiki/Thornton,_West_Yorkshire",0.9,Unknown,True
http://en.wikipedia.org/wiki/West_Riding_of_Yorkshire,Residence:has_theme,Bront family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Buildings:has_theme,house,0.9,Unknown,True
http://en.wikipedia.org/wiki/Brussels,Duration_description:has_theme,period,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Being_born:has_time,30 July 1818,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wuthering_Heights,People_by_age:has_person,adulthood,0.9,Unknown,True
http://en.wikipedia.org/wiki/Haworth,Kinship:has_theme,children,0.9,Unknown,True
http://en.wikipedia.org/wiki/Brussels,Frequency:has_theme,period,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Part_whole:has_theme,"six Bront siblings, four of whom survived into adulthood",0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Publishing:has_work,Her work,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Time_vector:has_event,"Emily Bront died in 1848, aged 30,",0.9,Unknown,True
"http://en.wikipedia.org/wiki/Charlotte,_North_Carolina",Being_named:has_theme,"Poems by Currer, Ellis and Acton Bell",0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Performers_and_roles:has_theme,piano,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Thornton,_West_Yorkshire",Spatial_contact:has_theme,outskirts of Bradford,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wuthering_Heights,Cardinal_numbers:has_entity,Bront siblings,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Openness:has_theme,public,0.9,Unknown,True
http://en.wikipedia.org/wiki/Haworth,Cardinal_numbers:has_theme,three,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Performers_and_roles:has_location,http://en.wikipedia.org/wiki/Brussels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Publishing:has_theme,under the pen name Ellis Bell,0.9,Unknown,True
http://en.wikipedia.org/wiki/Brussels,Text:has_text,books,0.9,Unknown,True
http://en.wikipedia.org/wiki/Penzance,Wealthiness:has_person,Penzance merchant and property owner,0.9,Unknown,True
http://en.wikipedia.org/wiki/Brussels,Education_teaching:has_student,student,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Thornton,_West_Yorkshire",Roadways:has_theme,Street,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Possession:has_theme,property,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Charlotte,_North_Carolina",Statement:has_message,"as solitary, strong-willed and nonconforming, with a keen love of nature and animals",0.9,Unknown,True
http://en.wikipedia.org/wiki/Haworth,Type:has_theme,classic,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anne_Brontë,Text:has_author,"Currer, Ellis and Acton Bell",0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Categorization:has_category,be a classic of English literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wuthering_Heights,Text:has_text,book,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Kinship:has_theme,sisters,0.9,Unknown,True
http://en.wikipedia.org/wiki/Haworth,Temporal_collocation:has_theme,considered to be a classic of English literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wuthering_Heights,Surviving:has_theme,four of whom,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Openness:has_time,now,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Being_named:has_theme,as the Bront Birthplace,0.9,Unknown,True
http://en.wikipedia.org/wiki/Haworth,Experiencer_focus:has_degree,keen,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Publishing:has_time,originally,0.9,Unknown,True
http://en.wikipedia.org/wiki/West_Riding_of_Yorkshire,Interior_profile_relation:has_location,"http://en.wikipedia.org/wiki/Thornton,_West_Yorkshire",0.9,Unknown,True
http://en.wikipedia.org/wiki/Haworth,Text:has_text,novel,0.9,Unknown,True
http://en.wikipedia.org/wiki/West_Riding_of_Yorkshire,Political_locales:has_theme,village,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Temporal_collocation:has_theme,open to the public,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Time_vector:has_theme,year,0.9,Unknown,True
http://en.wikipedia.org/wiki/Haworth,Social_connection:has_theme,http://en.wikipedia.org/wiki/Emily_Brontë,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Origin:has_entity,literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wuthering_Heights,Opinion:has_theme,many critics,0.9,Unknown,True
http://en.wikipedia.org/wiki/Haworth,Education_teaching:has_student,http://en.wikipedia.org/wiki/Emily_Brontë,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wuthering_Heights,Cardinal_numbers:has_entity,whom,0.9,Unknown,True
http://en.wikipedia.org/wiki/Brussels,Kinship:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Market_Street_(San_Francisco),Interior_profile_relation:has_location,"http://en.wikipedia.org/wiki/Thornton,_West_Yorkshire",0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Kinship:has_theme,siblings,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Being_named:has_entity,Their house,0.9,Unknown,True
http://en.wikipedia.org/wiki/Brussels,People_by_vocation:has_person,servant,0.9,Unknown,True
http://en.wikipedia.org/wiki/Elizabeth_Branwell,Abandonment:has_theme,"care of their aunt, Elizabeth Branwell",0.9,Unknown,True
http://en.wikipedia.org/wiki/Wuthering_Heights,Judgment:has_degree,generally,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Kinship:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Haworth,Experiencer_focus:has_theme,nature and animals,0.9,Unknown,True
