subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Langston_Hughes,Judgment:has_location,Crisis,0.9,Unknown,True
http://en.wikipedia.org/wiki/Demographics_of_Africa,Education_teaching:has_student,Both of Hughes's paternal great-grandmothers,0.9,Unknown,True
http://en.wikipedia.org/wiki/Lincoln_University_(Pennsylvania),Education_teaching:has_time,eventually,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harlem_Renaissance,Publishing:has_time,1926,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harlem_Renaissance,Text:has_theme,nonfiction,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harlem_Renaissance,Possession:has_owner,owners,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harlem_Renaissance,Text:has_time,1926,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harlem_Renaissance,Publishing:has_work,"His first poetry collection, The Weary Blues",0.9,Unknown,True
http://en.wikipedia.org/wiki/Harlem_Renaissance,Temporal_collocation:has_theme,age,0.9,Unknown,True
http://en.wikipedia.org/wiki/Langston_Hughes,Statement:has_message,be Jewish,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harlem_Renaissance,Political_locales:has_theme,College,0.9,Unknown,True
http://en.wikipedia.org/wiki/Henry_Clay,Kinship:has_theme,statesman Henry Clay,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harlem_Renaissance,Becoming_a_member:has_time,before her studies,0.9,Unknown,True
http://en.wikipedia.org/wiki/Langston_Hughes,Kinship:has_theme,Hughes's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harlem_Renaissance,Leadership:has_leader,leader,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harlem_Renaissance,Text:has_theme,black,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Increment:has_time,1901,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_York_City,Studying:has_student,http://en.wikipedia.org/wiki/Langston_Hughes,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Text:has_time,1901,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harlem_Renaissance,Text:has_text,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harlem_Renaissance,Interior_profile_relation:has_theme,http://en.wikipedia.org/wiki/Midwestern_United_States,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harlem_Renaissance,Interior_profile_relation:has_theme,Growing up,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harlem_Renaissance,Locale_by_use:has_theme,University,0.9,Unknown,True
http://en.wikipedia.org/wiki/Lincoln_University_(Pennsylvania),Education_teaching:has_student,http://en.wikipedia.org/wiki/Langston_Hughes,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harlem_Renaissance,Text:has_text,story,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harlem_Renaissance,Time_vector:has_theme,her studies,0.9,Unknown,True
http://en.wikipedia.org/wiki/Langston_Hughes,Becoming:has_theme,Growing up in the Midwest,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Weary_Blues,Being_named:has_entity,other putative paternal ancestor whom,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harlem_Renaissance,People:has_person,man,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harlem_Renaissance,Text:has_theme,jazz,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harlem_Renaissance,Aggregate:has_theme,poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/Oberlin_College,Ordinal_numbers:has_theme,attend Oberlin College,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harlem_Renaissance,Duration_description:has_theme,story,0.9,Unknown,True
http://en.wikipedia.org/wiki/Langston_Hughes,Fame:has_role,as a leader of the Harlem Renaissance,0.9,Unknown,True
http://en.wikipedia.org/wiki/Langston_Hughes,Reference_text:has_time,1901,0.9,Unknown,True
http://en.wikipedia.org/wiki/Langston_Hughes,Living_conditions:has_location,http://en.wikipedia.org/wiki/Midwestern_United_States,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harlem_Renaissance,Quantified_mass:has_quantity,several,0.9,Unknown,True
