subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Emily_Dickinson,Arriving:has_goal,her family's home in Amherst,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Kinship:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Wentworth_Higginson,People_by_vocation:has_person,Thomas H. Johnson,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Aggregate:has_theme,complete,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Dickinson,Text:has_time,1955,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Sole_instance:has_type,publications during her lifetime,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Using:has_theme,often,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Expertise:has_theme,writer,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Dickinson,Becoming_aware:has_theme,"Lavinia, Dickinson's younger sister",0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Guest_and_host:has_theme,guests,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Aggregate:has_theme,her poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Resolve_problem:has_cause,Many of her poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Partitive:has_theme,most,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Publishing:has_work,poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Dickinson,Categorization:has_theme,locals,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Dickinson,Text:has_text,poems,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Amherst,_Massachusetts",Social_connection:has_theme,ties,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Clothing:has_theme,clothing,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Amherst,_Massachusetts",Kinship:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Dickinson,Attending:has_theme,briefly,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Dickinson,Attending:has_location,"http://en.wikipedia.org/wiki/Amherst,_Massachusetts",0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Origin:has_entity,poet,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Amherst,_Massachusetts",Social_connection:has_theme,its community,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Completeness:has_theme,collection of her poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Text:has_text,http://en.wikipedia.org/wiki/Emily_Dickinson,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Completeness:has_time,1955,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Wentworth_Higginson,Text_creation:has_author,Thomas Wentworth Higginson and Mabel Loomis Todd,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Dickinson,Awareness:has_theme,Dickinson's acquaintances,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Cardinal_numbers:has_entity,letter,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Color:has_entity,clothing,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Wentworth_Higginson,Text:has_time,1955,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Dickinson,Being_named:has_theme,"her reluctance to greet guests or, later in life, even to leave her bedroom",0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Dickinson,Text:has_text,poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Wentworth_Higginson,People_by_vocation:has_time,1955,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Dickinson,Becoming_aware:has_theme,her cache of poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Dickinson,Attending:has_time,before returning to her family's home in Amherst,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Dickinson,People_by_vocation:has_theme,http://en.wikipedia.org/wiki/United_States,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Partitive:has_group,her friendships,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Amherst,_Massachusetts",Measure_duration:has_theme,seven,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Quantified_mass:has_theme,her poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Dickinson,First_experience:has_theme,became available in 1955 when scholar Thomas H. Johnson published The Poems of Emily Dickinson,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Kinship:has_location,"http://en.wikipedia.org/wiki/Amherst,_Massachusetts",0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Wentworth_Higginson,Text:has_text,Poems of Emily Dickinson,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Dickinson,Arriving:has_location,"http://en.wikipedia.org/wiki/Amherst,_Massachusetts",0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Using:has_agent,poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Idiosyncrasy:has_theme,Her poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Text:has_text,letters,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Publishing:has_time,then,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Aggregate:has_theme,poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Text:has_text,poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Text:has_theme,her friends,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Amherst,_Massachusetts",Social_connection:has_degree,strong,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Personal_relationship:has_theme,friends,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Origin:has_location,http://en.wikipedia.org/wiki/United_States,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Text_creation:has_text,poems published then,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Building_subparts:has_theme,bedroom,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Text:has_text,letter,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Becoming:has_entity,her work,0.9,Unknown,True
