Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Nikolai_Gogol,writing,has text,Text
http://en.wikipedia.org/wiki/East_Slavs,works,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/The_Nose_(opera),reader,has theme,Grasp
http://en.wikipedia.org/wiki/East_Slavs,short-story,has text,Text_creation
http://en.wikipedia.org/wiki/Russian_language,novelist,has text,Text
http://en.wikipedia.org/wiki/East_Slavs,writers and critics,has theme,Quantified_mass
http://en.wikipedia.org/wiki/East_Slavs,writers,has text,Text
http://en.wikipedia.org/wiki/East_Slavs,"Tsar Nicholas I, who",has theme,Experiencer_focus
http://en.wikipedia.org/wiki/Vladimir_Nabokov,Ukrainian Cossack,has theme,Political_locales
http://en.wikipedia.org/wiki/East_Slavs,"his Ukrainian upbringing, Ukrainian culture and folklore",has theme,Objective_influence
http://en.wikipedia.org/wiki/Viktor_Shklovsky,"Gogol used the technique of defamiliarization, whereby a writer presents common things in an unfamiliar or strange way so that the reader can gain new perspectives and see the world differently",has theme,Attributed_information
http://en.wikipedia.org/wiki/East_Slavs,writer,has agent,Cause_to_perceive
http://en.wikipedia.org/wiki/East_Slavs,Many,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/The_Nose_(opera),differently,has theme,Grasp
http://en.wikipedia.org/wiki/Nikolai_Gogol,work,has theme,Labor_product
http://en.wikipedia.org/wiki/East_Slavs,Many writers and critics,has theme,Becoming_aware
http://en.wikipedia.org/wiki/East_Slavs,his best-known works,has theme,Be_subset_of
http://en.wikipedia.org/wiki/Vladimir_Nabokov,We all,has theme,Arriving
http://en.wikipedia.org/wiki/East_Slavs,unfamiliar or strange way so that the reader can gain new perspectives and see the world differently,has theme,Cause_to_perceive
http://en.wikipedia.org/wiki/East_Slavs,"novel Taras Bulba 1835 , the play Marriage 1842 , and the short stories "" The Tale of How Ivan Ivanovich Quarreled with Ivan Nikiforovich "", "" The Portrait "", and "" The Carriage ",has theme,Be_subset_of
http://en.wikipedia.org/wiki/Vladimir_Nabokov,http://en.wikipedia.org/wiki/Velyki_Sorochyntsi,has theme,Political_locales
http://en.wikipedia.org/wiki/East_Slavs,way,has entity,Familiarity
http://en.wikipedia.org/wiki/The_Portrait_(short_story),"Fyodor Dostoevsky, Mikhail Saltykov-Shchedrin, Rynosuke Akutagawa, Franz Kafka, Mikhail Bulgakov, Vladimir Nabokov, Flannery O'Connor and others",has speaker,Statement
http://en.wikipedia.org/wiki/East_Slavs,family,has entity,Being_named
http://en.wikipedia.org/wiki/East_Slavs,common things,has theme,Cause_to_perceive
http://en.wikipedia.org/wiki/Ukrainians_in_Russia,Gogol disambiguation,has theme,Reference_text
http://en.wikipedia.org/wiki/Ukrainians_in_Russia,uses,has class,Increment
http://en.wikipedia.org/wiki/Nikolai_Gogol,"technique of defamiliarization, whereby a writer presents common things in an unfamiliar or strange way so that the reader can gain new perspectives and see the world differently",has instrument,Using
http://en.wikipedia.org/wiki/East_Slavs,stories,has theme,Duration_description
http://en.wikipedia.org/wiki/Russian_language,Empire,has theme,Political_locales
http://en.wikipedia.org/wiki/The_Nose_(opera),reader,has entity,Capability
http://en.wikipedia.org/wiki/East_Slavs,"Russian, Ukrainian and world literature",has theme,Objective_influence
http://en.wikipedia.org/wiki/East_Slavs,Taras Bulba,has text,Text
http://en.wikipedia.org/wiki/East_Slavs,new perspectives,has theme,Getting
http://en.wikipedia.org/wiki/Vladimir_Nabokov,town,has theme,Political_locales
http://en.wikipedia.org/wiki/Ukraine,origin,has theme,Origin
http://en.wikipedia.org/wiki/East_Slavs,reader,has reader,Reading_perception
http://en.wikipedia.org/wiki/Vladimir_Nabokov,Poltava Governorate of the Russian Empire,has theme,Political_locales
http://en.wikipedia.org/wiki/Nikolai_Gogol,"Ukrainian Cossack town of Sorochyntsi, in the Poltava Governorate of the Russian Empire",has location,Being_born
http://en.wikipedia.org/wiki/Nikolai_Gogol,grotesque in his writings,has instrument,Using
http://en.wikipedia.org/wiki/The_Nose_(opera),their proto-surrealist qualities,has reason,Judgment
http://en.wikipedia.org/wiki/The_Portrait_(short_story),Gogol's influence,has message,Statement
http://en.wikipedia.org/wiki/The_Nose_(opera),"These stories, and others such as "" Diary of a Madman ",has evaluee,Judgment
http://en.wikipedia.org/wiki/East_Slavs,name,has theme,Being_named
http://en.wikipedia.org/wiki/East_Slavs,world,has theme,Political_locales
http://en.wikipedia.org/wiki/East_Slavs,his work,has theme,Experiencer_focus
http://en.wikipedia.org/wiki/Ukraine,http://en.wikipedia.org/wiki/Nikolai_Gogol,has theme,Kinship
http://en.wikipedia.org/wiki/Melchior_de_Vogüé,We all came out from under Gogol's Overcoat,has message,Statement
http://en.wikipedia.org/wiki/East_Slavs,21 February 1852,has author,Text_creation
http://en.wikipedia.org/wiki/East_Slavs,Gogol's,has theme,Objective_influence
http://en.wikipedia.org/wiki/Vladimir_Nabokov,Gogol's,has theme,Objective_influence
http://en.wikipedia.org/wiki/East_Slavs,http://en.wikipedia.org/wiki/Nikolai_Gogol,has theme,Being_named
http://en.wikipedia.org/wiki/East_Slavs,"His early works, such as Evenings on a Farm Near Dikanka",has theme,Objective_influence
http://en.wikipedia.org/wiki/East_Slavs,"Gogol's deep influence on Russian, Ukrainian and world literature",has theme,Becoming_aware
http://en.wikipedia.org/wiki/East_Slavs,political corruption in contemporary Russia,has theme,Topic
http://en.wikipedia.org/wiki/The_Nose_(opera),gain new perspectives and see the world differently,has event,Capability
http://en.wikipedia.org/wiki/The_Nose_(opera),world,has theme,Grasp
http://en.wikipedia.org/wiki/East_Slavs,reader,has recipient,Getting
http://en.wikipedia.org/wiki/East_Slavs,perspectives,has entity,Familiarity
http://en.wikipedia.org/wiki/East_Slavs,deep,has degree,Objective_influence
http://en.wikipedia.org/wiki/East_Slavs,His later writing,has text,Topic
http://en.wikipedia.org/wiki/Vladimir_Nabokov,out from under Gogol's Overcoat,has theme,Arriving
