subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Mikhail_Lermontov,Being_born:has_location,http://en.wikipedia.org/wiki/Moscow,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mikhail_Lermontov,Motion:has_theme,his grandmother,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_Zealand,Catching_fire:has_time,1986,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Text_creation:has_time,15 July] 1841),0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Text_creation:has_location,Russian Romanticism,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Origin:has_location,Russian Romanticism,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Death:has_time,1837,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mikhail_Lermontov,Growing_food:has_location,http://en.wikipedia.org/wiki/Tarkhany,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Personal_relationship:has_theme,marriage,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mikhail_Lermontov,Becoming_a_member:has_group,Moscow University's boarding school,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Importance:has_theme,Russian poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Text:has_theme,psychological,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Objective_influence:has_theme,Russian literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Temporal_collocation:has_theme,1827,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mikhail_Lermontov,Personal_relationship:has_location,http://en.wikipedia.org/wiki/Tarkhany,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Improvement_or_decline:has_entity,Maria's health,0.9,Unknown,True
http://en.wikipedia.org/wiki/Moscow_State_University,Locale_by_use:has_theme,school,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_Zealand,Reference_text:has_time,1986,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Kinship:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Temporal_collocation:has_theme,Lermontov moved to Moscow with his grandmother and joined the Moscow University's boarding school,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,People:has_theme,lonely and introspective,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mikhail_Lermontov,Being_born:has_time,"October 15, 1814",0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Foreign_or_domestic_country:has_theme,home,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Causation:has_effect,his development as a lonely and introspective individual,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mikhail_Lermontov,Being_born:has_theme,into the Lermontov family,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_Zealand,Supply:has_means,"nurturing his talents in languages, music, and painting",0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Military:has_theme,military,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Death:has_time,1817,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_Zealand,Kinship:has_theme,grandmother,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Causation:has_theme,http://en.wikipedia.org/wiki/Mikhail_Lermontov,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Being_in_control:has_theme,His grandmother's,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,People_by_vocation:has_person,Maria Mikhaylovna Arsenyeva,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mikhail_Lermontov,Becoming_a_member:has_time,1827,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mikhail_Lermontov,Motion:has_goal,http://en.wikipedia.org/wiki/Moscow,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Death:has_theme,Maria,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Labeling:has_location,Russian Romanticism,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Quarreling:has_issue,over Lermontov's custody,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Text:has_location,Russian Romanticism,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Temporal_collocation:has_theme,times,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mikhail_Lermontov,Causation:has_effect,"his grandmother, Elizaveta Arsenyeva, raising him",0.9,Unknown,True
http://en.wikipedia.org/wiki/Moscow_State_University,Locale_by_use:has_theme,boarding,0.9,Unknown,True
http://en.wikipedia.org/wiki/Moscow,Locale_by_use:has_theme,University,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Temporal_subregion:has_theme,life,0.9,Unknown,True
http://en.wikipedia.org/wiki/Moscow_State_University,Locale_by_use:has_theme,Moscow University's,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Performing_arts:has_theme,music,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Labeling:has_theme,the poet of the Caucasus,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mikhail_Lermontov,Kinship:has_theme,grandmother,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Causation:has_cause,His grandmother's strict control caused him emotional turmoil,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mikhail_Lermontov,Causation:has_cause,family dispute ensued over Lermontov's custody,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Causation:has_cause,"his grandmother, Elizaveta Arsenyeva",0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Fields:has_theme,literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Medical_conditions:has_theme,tuberculosis,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Text:has_text,poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Origin:has_entity,literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_Zealand,Increment:has_class,uses,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Relative_time:has_location,Russian Romanticism,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mikhail_Lermontov,Text:has_text,poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Fields:has_activity,literary,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Desirability:has_theme,home education,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Importance:has_time,after Alexander Pushkin's death in 1837,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Custom:has_behavior,Russian psychological novel,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mikhail_Lermontov,Kinship:has_theme,Lermontov's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Labeling:has_entity,"Russian Romantic writer, poet and painter",0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Age:has_entity,heiress,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Personal_relationship:has_theme,who,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,People:has_person,individual,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Medical_conditions:has_patient,Maria,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Education_teaching:has_student,Lermontov's,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,People_by_vocation:has_age,young,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Text_creation:has_author,Russian Romantic,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Temporal_collocation:has_theme,17,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Importance:has_location,Russian Romanticism,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Quarreling:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mikhail_Lermontov,Eventive_affecting:has_event,scrofula and rickets,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Relative_time:has_theme,Alexander Pushkin's death in 1837,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_Zealand,Supply:has_theme,excellent home education,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Possession:has_owner,Lermontov's,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Being_named:has_theme,name,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_Zealand,Catching_fire:has_theme,which,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_Zealand,Reference_text:has_theme,Lermontov (disambiguation),0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Death:has_theme,Alexander Pushkin's,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Medical_conditions:has_patient,Maria's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Origin:has_entity,Romanticism,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Temporal_subregion:has_theme,early,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Relative_time:has_theme,most important Russian poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Causation:has_effect,emotional turmoil,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mikhail_Lermontov,Kinship:has_theme,father,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Being_named:has_entity,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Text:has_text,novel,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Text_creation:has_author,writer,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,People_by_vocation:has_theme,aristocratic family,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Education_teaching:has_level,home,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Age:has_age,young,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Temporal_collocation:has_theme,she died of tuberculosis,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Medical_conditions:has_patient,http://en.wikipedia.org/wiki/Mikhail_Lermontov,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Being_in_control:has_degree,strict,0.9,Unknown,True
