Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Literature,has location,Receiving
http://en.wikipedia.org/wiki/Ernest_Hemingway,"U.S., where he settled in Key West, Florida",has goal,Arriving
http://en.wikipedia.org/wiki/World_War_I,http://en.wikipedia.org/wiki/Ernest_Hemingway,has theme,Perception_experience
http://en.wikipedia.org/wiki/World_War_I,Arms,has recipient,Supply
http://en.wikipedia.org/wiki/International_Red_Cross_and_Red_Crescent_Movement,he spent six months as a reporter for The Kansas City Star before enlisting in the Red Cross,has event,Time_vector
http://en.wikipedia.org/wiki/Ernest_Hemingway,1954,has time,Travel
http://en.wikipedia.org/wiki/United_States,Literature,has location,Labor_product
http://en.wikipedia.org/wiki/Ernest_Hemingway,Farewell to Arms,has text,Text
http://en.wikipedia.org/wiki/World_War_I,expatriate,has theme,Aggregate
http://en.wikipedia.org/wiki/United_States,Literature,has location,Origin
http://en.wikipedia.org/wiki/World_War_I,plane,has theme,Impact
http://en.wikipedia.org/wiki/United_States,novelist,has entity,Origin
http://en.wikipedia.org/wiki/International_Red_Cross_and_Red_Crescent_Movement,before,has theme,Time_vector
http://en.wikipedia.org/wiki/World_War_I,health,has theme,Medical_conditions
http://en.wikipedia.org/wiki/United_States,Literature,has location,Fields
http://en.wikipedia.org/wiki/World_War_I,considerable acclaim,has audience,Publishing
http://en.wikipedia.org/wiki/Ernest_Hemingway,Old Man and the Sea,has text,Text
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,http://en.wikipedia.org/wiki/Ernest_Hemingway,has recipient,Receiving
http://en.wikipedia.org/wiki/Ernest_Hemingway,1954,has time,Text
http://en.wikipedia.org/wiki/World_War_I,http://en.wikipedia.org/wiki/Ernest_Hemingway,has theme,Colonization
http://en.wikipedia.org/wiki/United_States,non-fiction,has theme,Labor_product
http://en.wikipedia.org/wiki/United_States,short-story,has theme,Aggregate
http://en.wikipedia.org/wiki/Ernest_Hemingway,1940,has theme,Text
http://en.wikipedia.org/wiki/Ernest_Hemingway,"Oak Park, Illinois, a suburb of Chicago",has location,Growing_food
http://en.wikipedia.org/wiki/Ernest_Hemingway,ambulance,has type,People_by_vocation
http://en.wikipedia.org/wiki/Ernest_Hemingway,1937,has time,Text
http://en.wikipedia.org/wiki/World_War_I,rest,has theme,Rest
http://en.wikipedia.org/wiki/World_War_I,1921,has time,Foreign_or_domestic_country
http://en.wikipedia.org/wiki/The_Sun_Also_Rises,http://en.wikipedia.org/wiki/Pulitzer_Prize_for_Fiction,has prize,Win_prize
http://en.wikipedia.org/wiki/Ernest_Hemingway,Literature,has location,Text
http://en.wikipedia.org/wiki/Ernest_Hemingway,cover the Spanish Civil War,has purpose,Motion
http://en.wikipedia.org/wiki/United_States,20th-century,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/World_War_I,1928,has time,Temporal_collocation
http://en.wikipedia.org/wiki/Ernest_Hemingway,"economical, understated style that influenced later 20th-century writers",has reason,Fame
http://en.wikipedia.org/wiki/Ernest_Hemingway,1929,has time,Text
http://en.wikipedia.org/wiki/World_War_I,1926,has time,First_rank
http://en.wikipedia.org/wiki/World_War_I,his life,has theme,Rest
http://en.wikipedia.org/wiki/Ernest_Hemingway,"modernist writers and artists of the "" Lost Generation "" expatriate community",has entity,Subjective_influence
http://en.wikipedia.org/wiki/World_War_I,1937,has time,Text_creation
http://en.wikipedia.org/wiki/United_States,literature,has entity,Origin
http://en.wikipedia.org/wiki/World_War_I,successive plane crashes,has entity,Cardinal_numbers
http://en.wikipedia.org/wiki/World_War_I,http://en.wikipedia.org/wiki/Ernest_Hemingway,has theme,Assistance
http://en.wikipedia.org/wiki/Ernest_Hemingway,http://en.wikipedia.org/wiki/Africa,has goal,Travel
http://en.wikipedia.org/wiki/United_States,works,has theme,Labor_product
http://en.wikipedia.org/wiki/World_War_I,His experiences during the war,has theme,Supply
http://en.wikipedia.org/wiki/United_States,1961,has time,Origin
http://en.wikipedia.org/wiki/World_War_I,considerable,has theme,Judgment_communication
http://en.wikipedia.org/wiki/Ernest_Hemingway,1952,has time,Text
http://en.wikipedia.org/wiki/Havana,1937,has time,Topic
http://en.wikipedia.org/wiki/Walter_Mitty,pain and ill health for much of the rest of his life,has effect,Causation
http://en.wikipedia.org/wiki/World_War_I,http://en.wikipedia.org/wiki/Ernest_Hemingway,has theme,Cause_harm
http://en.wikipedia.org/wiki/International_Red_Cross_and_Red_Crescent_Movement,enlisting in the Red Cross,has theme,Time_vector
http://en.wikipedia.org/wiki/United_States,Literature,has location,Aggregate
http://en.wikipedia.org/wiki/International_Red_Cross_and_Red_Crescent_Movement,high school,has theme,Time_vector
http://en.wikipedia.org/wiki/United_States,non-fiction works,has entity,Cardinal_numbers
http://en.wikipedia.org/wiki/World_War_I,"Hemingway was seriously injured in two successive plane crashes, leaving him in pain and ill health for much of the rest of his life",has theme,Temporal_collocation
http://en.wikipedia.org/wiki/World_War_I,during the war,has time,Perception_experience
http://en.wikipedia.org/wiki/World_War_I,1928,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/United_States,1954,has time,Cardinal_numbers
http://en.wikipedia.org/wiki/World_War_I,1954,has time,Vehicle
http://en.wikipedia.org/wiki/World_War_I,two,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/World_War_I,"His debut novel, The Sun Also Rises",has work,Publishing
http://en.wikipedia.org/wiki/Ernest_Hemingway,two successive plane crashes,has theme,Cause_harm
http://en.wikipedia.org/wiki/United_States,Hemingway,has text,Text
http://en.wikipedia.org/wiki/World_War_I,1954,has time,Impact
http://en.wikipedia.org/wiki/Havana,1937,has time,Hostile_encounter
http://en.wikipedia.org/wiki/World_War_I,1918,has time,Assistance
http://en.wikipedia.org/wiki/Ernest_Hemingway,1954,has time,Cause_harm
http://en.wikipedia.org/wiki/United_States,Literature,has location,Cardinal_numbers
http://en.wikipedia.org/wiki/World_War_I,1921,has time,Create_physical_artwork
http://en.wikipedia.org/wiki/United_States,author and journalist,has entity,Origin
http://en.wikipedia.org/wiki/United_States,that,has theme,Objective_influence
http://en.wikipedia.org/wiki/World_War_I,1921,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Walter_Mitty,http://en.wikipedia.org/wiki/Ernest_Hemingway,has theme,Causation
http://en.wikipedia.org/wiki/World_War_I,modernist,has theme,Text_creation
http://en.wikipedia.org/wiki/World_War_I,his novel The Old Man and the Sea,has work,Publishing
http://en.wikipedia.org/wiki/World_War_I,1954,has time,Temporal_collocation
http://en.wikipedia.org/wiki/World_War_I,material for his 1929 novel A Farewell,has theme,Supply
http://en.wikipedia.org/wiki/World_War_I,"Havana, Cuba",has location,Text_creation
http://en.wikipedia.org/wiki/Ernest_Hemingway,Key West,has location,Arriving
http://en.wikipedia.org/wiki/United_States,short-story collections,has entity,Cardinal_numbers
http://en.wikipedia.org/wiki/United_States,collections,has theme,Aggregate
http://en.wikipedia.org/wiki/International_Red_Cross_and_Red_Crescent_Movement,http://en.wikipedia.org/wiki/Ernest_Hemingway,has theme,Becoming_a_member
