subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/David_Icke,Judgment_communication:has_reason,"British conspiracy theorist David Icke and his works, which contain antisemitic conspiracy theories, along with criticisms of her own writings",0.9,Unknown,True
http://en.wikipedia.org/wiki/David_Icke,Measure_duration:has_location,East Putnam Consolidated,0.9,Unknown,True
http://en.wikipedia.org/wiki/Alice_Walker,Becoming:has_time,1982,0.9,Unknown,True
http://en.wikipedia.org/wiki/Alice_Walker,Ordinal_numbers:has_time,1982,0.9,Unknown,True
http://en.wikipedia.org/wiki/Walker_(film),Confronting_problem:has_issue,multiple accusations of antisemitism,0.9,Unknown,True
http://en.wikipedia.org/wiki/Alice_Walker,Locale_by_use:has_theme,College,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Origin:has_entity,author and activist,0.9,Unknown,True
http://en.wikipedia.org/wiki/Alice_Walker,Increment:has_time,1944,0.9,Unknown,True
http://en.wikipedia.org/wiki/Alice_Walker,Age:has_age,just four years,0.9,Unknown,True
http://en.wikipedia.org/wiki/David_Icke,Increment:has_class,money,0.9,Unknown,True
http://en.wikipedia.org/wiki/David_Icke,Experience_bodily_harm:has_theme,her right eye,0.9,Unknown,True
http://en.wikipedia.org/wiki/Alice_Walker,Being_named:has_time,1944,0.9,Unknown,True
http://en.wikipedia.org/wiki/David_Icke,Age:has_entity,eight children,0.9,Unknown,True
http://en.wikipedia.org/wiki/Alice_Walker,People:has_time,1944,0.9,Unknown,True
http://en.wikipedia.org/wiki/David_Icke,Age:has_location,East Putnam Consolidated,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Origin:has_entity,novelist,0.9,Unknown,True
http://en.wikipedia.org/wiki/Alice_Walker,Ordinal_numbers:has_theme,win the Pulitzer Prize for Fiction,0.9,Unknown,True
http://en.wikipedia.org/wiki/Alice_Walker,Inclusion:has_theme,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Walker_(film),Conquering:has_purpose,become high school valedictorian and graduate from Sarah Lawrence College,0.9,Unknown,True
http://en.wikipedia.org/wiki/Alice_Walker,Text_creation:has_author,Alice Malsenior Tallulah-Kate Walker,0.9,Unknown,True
http://en.wikipedia.org/wiki/David_Icke,Judgment_communication:has_theme,http://en.wikipedia.org/wiki/Alice_Walker,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Being_born:has_person,American author and activist,0.9,Unknown,True
http://en.wikipedia.org/wiki/Alice_Walker,Text_creation:has_time,1944,0.9,Unknown,True
http://en.wikipedia.org/wiki/David_Icke,Judgment_communication:has_theme,her own writings,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Eatonton,_Georgia",Locale_by_use:has_theme,rural,0.9,Unknown,True
http://en.wikipedia.org/wiki/Walker_(film),Kinship:has_theme,Walker's,0.9,Unknown,True
