subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Dramatis_Personae,Causation:has_cause,His Dramatis Personae (1864) and book-length epic poem The Ring and the Book (1868–1869),0.9,Unknown,True
http://en.wikipedia.org/wiki/Bank_of_England,Earnings_and_losses:has_theme,£150,0.9,Unknown,True
http://en.wikipedia.org/wiki/Saint_Kitts,Being_employed:has_task,sugar plantation,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Text:has_text,poem,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Kinship:has_location,Lock,0.9,Unknown,True
http://en.wikipedia.org/wiki/York_Street,Rite:has_theme,http://en.wikipedia.org/wiki/Robert_Browning,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Scrutiny:has_theme,his work,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_Kingdom,Calendric_unit:has_theme,20th,0.9,Unknown,True
http://en.wikipedia.org/wiki/Bank_of_England,Measure_duration:has_theme,year,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Duration_description:has_theme,poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Publishing:has_work,collection Men and Women,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Judgment_communication:has_theme,Pauline (1833) and Paracelsus (1835),0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Personal_relationship:has_location,http://en.wikipedia.org/wiki/Dundee,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Position_on_a_scale:has_value,high,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Surviving:has_location,Britain and the US,0.9,Unknown,True
http://en.wikipedia.org/wiki/Saint_Kitts,Kinship:has_theme,"German shipowner who had settled in Dundee, Scotland and his Scottish wife",0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Categorization:has_category,as a sage and philosopher-poet who had fed into Victorian social and political discourse,0.9,Unknown,True
http://en.wikipedia.org/wiki/Saint_Kitts,Growing_food:has_theme,sugar,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Measure_duration:has_theme,decade,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Forming_relationships:has_time,1846,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Reference_text:has_theme,Robert Browning (disambiguation ),0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Taking_time:has_theme,over a decade,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Scrutiny:has_theme,Societies,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Text:has_text,article,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Personal_relationship:has_theme,Scottish wife,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Kinship:has_theme,father,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Being_born:has_location,"Walworth in the parish of Camberwell, Surrey, which now forms part of the Borough of Southwark in south London",0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Proportional_quantity:has_theme,over,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Motion:has_goal,more personal style,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Kinship:has_theme,Sarah Anna (née Wiedemann) and Robert Browning,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Kinship:has_location,http://en.wikipedia.org/wiki/Dundee,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Categorization:has_time,his death in 1889,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Arriving:has_time,following a slave revolt,0.9,Unknown,True
http://en.wikipedia.org/wiki/Walworth,Part_whole:has_theme,Borough of Southwark in south London,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Scrutiny:has_location,http://en.wikipedia.org/wiki/United_Kingdom,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Increment:has_class,people,0.9,Unknown,True
http://en.wikipedia.org/wiki/Victorian_era,Discussion:has_theme,social and political,0.9,Unknown,True
http://en.wikipedia.org/wiki/Saint_Kitts,Growing_food:has_theme,plantation,0.9,Unknown,True
http://en.wikipedia.org/wiki/Caribbean,Causation:has_theme,Browning's father,0.9,Unknown,True
http://en.wikipedia.org/wiki/Saint_Kitts,Relative_time:has_theme,slave revolt,0.9,Unknown,True
http://en.wikipedia.org/wiki/York_Street,Rite:has_location,"Lock's Fields Independent Chapel, York Street",0.9,Unknown,True
http://en.wikipedia.org/wiki/York_Street,Rite:has_time,14 June 1812,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Proportional_quantity:has_theme,decade,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Motion:has_goal,http://en.wikipedia.org/wiki/Italy,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Kinship:has_location,http://en.wikipedia.org/wiki/Saint_Kitts,0.9,Unknown,True
http://en.wikipedia.org/wiki/Saint_Kitts,Relative_time:has_theme,Browning's father,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Temporal_collocation:has_theme,1846,0.9,Unknown,True
http://en.wikipedia.org/wiki/Bank_of_England,Earnings_and_losses:has_theme,His father,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Kinship:has_theme,Browning's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Browning,Arriving:has_goal,http://en.wikipedia.org/wiki/England,0.9,Unknown,True
