Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Mo_Yan,pen name Mo Yan,has theme,Being_named
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,"his work as a writer "" who with hallucinatory realism merges folk tales, history and the contemporary",has theme,Receiving
http://en.wikipedia.org/wiki/Franz_Kafka,1973,has time,Being_employed
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Mo,has recipient,Receiving
http://en.wikipedia.org/wiki/Franz_Kafka,2009,has time,Ordinal_numbers
http://en.wikipedia.org/wiki/Jim_Leach,Chinese answer to Franz Kafka or Joseph Heller,has theme,Simple_naming
http://en.wikipedia.org/wiki/Mo_Yan,Mo,has entity,Age
http://en.wikipedia.org/wiki/Mo_Yan,Guan Moye,has entity,Being_named
http://en.wikipedia.org/wiki/Western_world,1986,has time,Reading_perception
http://en.wikipedia.org/wiki/Cultural_Revolution,close of the Cultural Revolution in 1976,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Mao_Zedong,novels,has text,Text
http://en.wikipedia.org/wiki/Chinese_language,1955,has time,Being_named
http://en.wikipedia.org/wiki/Franz_Kafka,class,has theme,Hostile_encounter
http://en.wikipedia.org/wiki/Franz_Kafka,1976,has time,Continued_state_of_affairs
http://en.wikipedia.org/wiki/Mo_Yan,"Red Sorghum, the first two parts of which",has entity,Cause_change
http://en.wikipedia.org/wiki/Franz_Kafka,still,has theme,Continued_state_of_affairs
http://en.wikipedia.org/wiki/Cultural_Revolution,Mo enlisted in the People's Liberation Army PLA  and began writing while he was still a soldier,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Mo_Yan,1986,has time,Fame
http://en.wikipedia.org/wiki/Franz_Kafka,which,has theme,Part_whole
http://en.wikipedia.org/wiki/Mo_Yan,http://en.wikipedia.org/wiki/Italy,has location,Win_prize
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,folk,has person,People
http://en.wikipedia.org/wiki/Franz_Kafka,http://en.wikipedia.org/wiki/Mo_Yan,has employee,Being_employed
http://en.wikipedia.org/wiki/Franz_Kafka,recipient of the University of Oklahoma's Newman Prize for Chinese Literature,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Mo_Yan,"into a peasant family in Ping'an Village, Gaomi Township, northeast of Shandong Province, the People's Republic of China",has theme,Being_born
http://en.wikipedia.org/wiki/Franz_Kafka,work as a farmer,has purpose,Quitting
http://en.wikipedia.org/wiki/Chinese_language,1955,has time,Text_creation
http://en.wikipedia.org/wiki/Franz_Kafka,February,has location,Kinship
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,writer,has author,Text_creation
http://en.wikipedia.org/wiki/Cultural_Revolution,1976,has time,Temporal_collocation
http://en.wikipedia.org/wiki/Donald_Morrison_(politician),Donald Morrison of TIME,has theme,Topic
http://en.wikipedia.org/wiki/Mo_Yan,youngest,has degree,Age
http://en.wikipedia.org/wiki/Mo_Yan,Golden Bear -winning,has theme,Behind_the_scenes
http://en.wikipedia.org/wiki/Mo_Yan,while he was still a soldier,has time,Activity_start
http://en.wikipedia.org/wiki/Mo_Yan,February,has location,Being_born
http://en.wikipedia.org/wiki/Mo_Yan,11 years,has age,Age
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Nobel Prize in Literature,has theme,Receiving
http://en.wikipedia.org/wiki/Mo_Yan,1976,has time,Member_of_military
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Literature,has location,Text_creation
http://en.wikipedia.org/wiki/Mo_Yan,best,has degree,Fame
http://en.wikipedia.org/wiki/Franz_Kafka,as a farmer,has position,Being_employed
http://en.wikipedia.org/wiki/Mo_Yan,Mo,has author,Text_creation
http://en.wikipedia.org/wiki/Mo_Yan,1986,has time,Cause_change
