Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Philip_K._Dick,his family,has theme,Motion
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,mystical experiences in 1974,has theme,Sequence
http://en.wikipedia.org/wiki/Philip_K._Dick,little,has degree,Success_or_failure
http://en.wikipedia.org/wiki/Chicago,age,has attribute,Age
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,53,has age,Age
http://en.wikipedia.org/wiki/Thomas_Pynchon,his death,has theme,Relative_time
http://en.wikipedia.org/wiki/Hugo_Award_for_Best_Novel,acclaim,has theme,Inclusion
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,novels,has text,Text
http://en.wikipedia.org/wiki/Philip_K._Dick,"widelyly regarded as a master of imaginative, paranoid fiction in the vein of Franz Kafka and Thomas Pynchon",has theme,Becoming
http://en.wikipedia.org/wiki/Philip_K._Dick,commercial,has goal,Success_or_failure
http://en.wikipedia.org/wiki/Science_fiction,science fiction stories,has work,Publishing
http://en.wikipedia.org/wiki/Thomas_Pynchon,http://en.wikipedia.org/wiki/Philip_K._Dick,has theme,Subordinates_and_superiors
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,"Dick's work engaged more explicitly with issues of theology, metaphysics, and the nature of reality",has theme,Relative_time
http://en.wikipedia.org/wiki/Philip_K._Dick,one of the most important figures in 20th-century science fiction,has category,Categorization
http://en.wikipedia.org/wiki/Philip_K._Dick,Following his death,has time,Becoming
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,Androids,has theme,Perception_experience
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,1974,has time,Perception_experience
http://en.wikipedia.org/wiki/Thomas_Pynchon,http://en.wikipedia.org/wiki/Philip_K._Dick,has theme,Death
http://en.wikipedia.org/wiki/Philip_K._Dick,young age,has time,Motion
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,1974,has time,Measure_duration
http://en.wikipedia.org/wiki/Science_fiction,20th-century science fiction,has theme,Importance
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,years of drug use and a series of mystical experiences in 1974,has theme,Relative_time
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,http://en.wikipedia.org/wiki/Philip_K._Dick,has theme,Relative_time
http://en.wikipedia.org/wiki/Philip_K._Dick,1974,has time,Work
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,http://en.wikipedia.org/wiki/Chicago,has location,Kinship
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,family,has theme,Kinship
http://en.wikipedia.org/wiki/Science_fiction,1974,has time,Desirability
http://en.wikipedia.org/wiki/Science_fiction,short story,has text,Text_creation
http://en.wikipedia.org/wiki/Philip_K._Dick,http://en.wikipedia.org/wiki/Chicago,has location,Being_born
http://en.wikipedia.org/wiki/Philip_K._Dick,http://en.wikipedia.org/wiki/Chicago,has location,Motion
http://en.wikipedia.org/wiki/Science_fiction,stories,has theme,Duration_description
http://en.wikipedia.org/wiki/Philip_K._Dick,Man in the High Castle,has text,Text
http://en.wikipedia.org/wiki/Hugo_Award_for_Best_Novel,"His 1974 novel Flow My Tears, the Policeman Said",has competition,Win_prize
http://en.wikipedia.org/wiki/Philip_K._Dick,collection of his speculative nonfiction writing on these themes,has work,Publishing
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,"theology, metaphysics, and the nature of reality",has theme,Point_of_dispute
http://en.wikipedia.org/wiki/Science_fiction,1952,has time,Publishing
http://en.wikipedia.org/wiki/Thomas_Pynchon,"he became ""widely regarded as a master of imaginative, paranoid fiction in the vein of Franz Kafka and Thomas Pynchon ",has theme,Relative_time
http://en.wikipedia.org/wiki/Philip_K._Dick,Dick's,has agent,Work
http://en.wikipedia.org/wiki/Science_fiction,science fiction magazines,has location,Circumscribed_existence
http://en.wikipedia.org/wiki/Science_fiction,science fiction author,has entity,Origin
http://en.wikipedia.org/wiki/Hugo_Award_for_Best_Novel,1962,has time,Inclusion
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,his speculative nonfiction writing on these themes,has theme,Aggregate
http://en.wikipedia.org/wiki/Philip_K._Dick,2011,has time,Text
http://en.wikipedia.org/wiki/Science_fiction,1928,has time,Origin
http://en.wikipedia.org/wiki/Science_fiction,Science Fiction Novel,has theme,Desirability
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,1962,has time,Judgment_communication
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,1974,has time,Text
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,1974,has time,Sequence
http://en.wikipedia.org/wiki/Hugo_Award_for_Best_Novel,1974,has time,Win_prize
http://en.wikipedia.org/wiki/Philip_K._Dick,1952,has time,Activity_start
http://en.wikipedia.org/wiki/Philip_K._Dick,these themes,has theme,Text
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,1982,has time,Age
http://en.wikipedia.org/wiki/Philip_K._Dick,posthumously,has theme,Publishing
http://en.wikipedia.org/wiki/Hugo_Award_for_Best_Novel,John W. Campbell Memorial Award for Best Science Fiction Novel,has prize,Win_prize
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,drug use,has process,Measure_duration
http://en.wikipedia.org/wiki/Philip_K._Dick,San Francisco Bay Area,has goal,Motion
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,due to complications of a stroke,has theme,Death
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,collection,has theme,Aggregate
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,experiences,has theme,Perception_experience
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,1974,has time,Point_of_dispute
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,2011,has time,Aggregate
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,complications,has theme,Medical_conditions
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,Novel,has theme,Desirability
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,http://en.wikipedia.org/wiki/Philip_K._Dick,has theme,Kinship
http://en.wikipedia.org/wiki/Philip_K._Dick,1962,has time,Success_or_failure
http://en.wikipedia.org/wiki/Philip_K._Dick,writing,has text,Text
http://en.wikipedia.org/wiki/Philip_K._Dick,1928,has time,Text_creation
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,drug,has instrument,Using
http://en.wikipedia.org/wiki/Philip_K._Dick,alternative history,has theme,Text
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,http://en.wikipedia.org/wiki/Philip_K._Dick,has theme,Death
http://en.wikipedia.org/wiki/Science_fiction,http://en.wikipedia.org/wiki/Philip_K._Dick,has theme,Publishing
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,Electric Sheep,has theme,Perception_experience
