subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/New_England,Give_impression:has_theme,Randall Jarrell,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Frost,Statement:has_theme,"his 1939 essay "" The Figure a Poem Makes ",0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Cardinal_numbers:has_entity,"America's rare "" public literary figures",0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Increment:has_theme,other living poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Frost,Accompaniment:has_theme,Stevens and Eliot,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Intentionally_create:has_location,American,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Frost,Statement:has_location,http://en.wikipedia.org/wiki/New_England,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Text:has_time,1939,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Receiving:has_theme,four Pulitzer Prizes for Poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Sequence:has_theme,revelations,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Motion:has_location,American,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Fields:has_theme,literary,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Frost,Being_named:has_theme,name,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Frost,Text:has_theme,1939,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Experiencer_focus:has_theme,American,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Text:has_author,poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Body_parts:has_time,1939,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Intentionally_act:has_act,actions,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Frost,Being_named:has_entity,other people,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Frost,Being_born:has_time,1910,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Dead_or_alive:has_theme,poet,0.9,Unknown,True
