subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Paris,Growing_food:has_theme,http://en.wikipedia.org/wiki/Jean-Paul_Sartre,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Compliance:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Statement:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Desirable_event:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jean-Paul_Sartre,Categorization:has_item,leading figure in 20th-century French philosophy and Marxism,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jean-Paul_Sartre,Forming_relationships:has_theme,his father,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,First_rank:has_theme,20th-century French philosophy and Marxism,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jean-Paul_Sartre,Being_born:has_location,http://en.wikipedia.org/wiki/Paris,0.9,Unknown,True
http://en.wikipedia.org/wiki/France,Reference_text:has_theme,Sartre (disambiguation),0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Receiving:has_theme,1964 Nobel Prize in Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jean-Paul_Sartre,Subjective_influence:has_theme,"thinkers like Henri Bergson, Edmund Husserl, and Martin Heidegger",0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Temporal_subregion:has_theme,early,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Dominate_situation:has_theme,theme,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Preventing_or_letting:has_agent,writer,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jean-Paul_Sartre,Kinship:has_theme,mother,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Desirable_event:has_theme,not allow himself to be turned into an institution,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Dominate_situation:has_time,1943,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Receiving:has_time,1964,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Preventing_or_letting:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Paris,Growing_food:has_theme,"his mother and grandfather, who introduced him to literature",0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Receiving:has_theme,despite attempting to refuse it,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Means:has_time,1943,0.9,Unknown,True
http://en.wikipedia.org/wiki/Bad_faith_(existentialism),Becoming:has_theme,"dominant theme of Sartre's early work, a theme embodied in his principal philosophical work Being and Nothingness",0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Attempt:has_goal,refuse it,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Receiving:has_recipient,http://en.wikipedia.org/wiki/Jean-Paul_Sartre,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jean-Paul_Sartre,Relation:has_theme,open,0.9,Unknown,True
http://en.wikipedia.org/wiki/Simone_de_Beauvoir,Kinship:has_theme,Sartre and de Beauvoir,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Objective_influence:has_theme,His work,0.9,Unknown,True
http://en.wikipedia.org/wiki/Martin_Heidegger,Emotion_directed:has_theme,philosophy,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jean-Paul_Sartre,Forming_relationships:has_location,http://en.wikipedia.org/wiki/Paris,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Compliance:has_time,1964,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jean-Paul_Sartre,Relation:has_theme,prominent feminist and fellow existentialist philosopher Simone de Beauvoir,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Objective_influence:has_theme,"sociology, critical theory, post-colonial theory, and literary studies",0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Categorization:has_item,which,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Preventing_or_letting:has_event,be turned into an institution,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Preventing_or_letting:has_time,1964,0.9,Unknown,True
http://en.wikipedia.org/wiki/Martin_Heidegger,Emotion_directed:has_degree,deep,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Categorization:has_category,bourgeois,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jean-Paul_Sartre,Kinship:has_theme,father,0.9,Unknown,True
http://en.wikipedia.org/wiki/Bad_faith_(existentialism),Becoming:has_entity,"conflict between oppressive, spiritually destructive conformity ( mauvaise foi, literally,'bad faith') and an "" authentic "" way of "" being ",0.9,Unknown,True
http://en.wikipedia.org/wiki/France,Increment:has_class,uses,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Frequency:has_event,declined official honors,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Frequency:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Frequency:has_time,1964,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Compliance:has_theme,honors,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Means:has_purpose, being,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jean-Paul_Sartre,Categorization:has_time,1955,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Attempt:has_time,1964,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Statement:has_time,1964,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,First_rank:has_item,figure,0.9,Unknown,True
http://en.wikipedia.org/wiki/École_normale_supérieure_(Paris),Studying:has_institution,"prestigious École Normale Supérieure, where he developed a deep interest in philosophy, influenced by thinkers like Henri Bergson, Edmund Husserl, and Martin Heidegger",0.9,Unknown,True
http://en.wikipedia.org/wiki/École_normale_supérieure_(Paris),Studying:has_student,http://en.wikipedia.org/wiki/Jean-Paul_Sartre,0.9,Unknown,True
http://en.wikipedia.org/wiki/Bad_faith_(existentialism),Hostile_encounter:has_time,1943,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Importance:has_theme,figures,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Compliance:has_degree,official,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Temporal_subregion:has_theme,work,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jean-Paul_Sartre,Categorization:has_location,http://en.wikipedia.org/wiki/Beijing,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Categorization:has_theme,both lifestyles and thought,0.9,Unknown,True
http://en.wikipedia.org/wiki/Bad_faith_(existentialism),Hostile_encounter:has_theme,"between oppressive, spiritually destructive conformity ( mauvaise foi, literally,'bad faith') and an "" authentic "" way of "" being",0.9,Unknown,True
http://en.wikipedia.org/wiki/Jean-Paul_Sartre,Kinship:has_location,http://en.wikipedia.org/wiki/Paris,0.9,Unknown,True
http://en.wikipedia.org/wiki/Paris,Age:has_age,two,0.9,Unknown,True
http://en.wikipedia.org/wiki/Bad_faith_(existentialism),Becoming:has_time,1943,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Temporal_subregion:has_time,1943,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Means:has_theme,authentic,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Categorization:has_theme,http://en.wikipedia.org/wiki/Simone_de_Beauvoir,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Attempt:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Means:has_means,way,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jean-Paul_Sartre,Forming_relationships:has_time,age two,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Statement:has_message,"that he always declined official honors and that "" a writer should not allow himself to be turned into an institution",0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Desirable_event:has_time,1964,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Receiving:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,First_rank:has_time,1955,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beijing,Expectation:has_theme,their upbringings,0.9,Unknown,True
