Source,Target,Label,Frame
http://en.wikipedia.org/wiki/William_S._Burroughs,thousands,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/World_War_II,U.S. Army,has group,Becoming_a_member
http://en.wikipedia.org/wiki/William_S._Burroughs,he enlisted in the U.S. Army to serve during World War II,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/New_York_City,1943,has time,Interior_profile_relation
http://en.wikipedia.org/wiki/Beat_Generation,defining,has theme,Objective_influence
http://en.wikipedia.org/wiki/William_S._Burroughs,people,has person,People
http://en.wikipedia.org/wiki/William_S._Burroughs,being turned down by both the Office of Strategic Services and the Navy,has theme,Relative_time
http://en.wikipedia.org/wiki/New_York_City,he befriended Allen Ginsberg and Jack Kerouac,has theme,Interior_profile_relation
http://en.wikipedia.org/wiki/William_S._Burroughs,morphine,has theme,Process_start
http://en.wikipedia.org/wiki/William_S._Burroughs,celebrated,has theme,Craft
http://en.wikipedia.org/wiki/William_S._Burroughs,1914,has time,Being_named
http://en.wikipedia.org/wiki/World_War_II,1942,has time,Becoming_a_member
http://en.wikipedia.org/wiki/William_S._Burroughs,substance,has theme,Substance
http://en.wikipedia.org/wiki/William_S._Burroughs,stories,has theme,Duration_description
http://en.wikipedia.org/wiki/William_S._Burroughs,novels,has text,Text
http://en.wikipedia.org/wiki/William_S._Burroughs,"thousands of visual artworks, including his celebrated ""shotgun art",has theme,Intentionally_create
http://en.wikipedia.org/wiki/William_S._Burroughs,essays,has text,Text
http://en.wikipedia.org/wiki/William_S._Burroughs,collections,has theme,Aggregate
http://en.wikipedia.org/wiki/William_S._Burroughs,family,has theme,Kinship
http://en.wikipedia.org/wiki/Edgar_Rice_Burroughs,"his third novel, Naked Lunch 1959",has reason,Fame
http://en.wikipedia.org/wiki/William_S._Burroughs,thousands of visual artworks,has theme,Inclusion
http://en.wikipedia.org/wiki/William_S._Burroughs,artworks,has theme,Work
http://en.wikipedia.org/wiki/William_S._Burroughs,1914,has time,Increment
http://en.wikipedia.org/wiki/United_States,1914,has time,Origin
http://en.wikipedia.org/wiki/William_S._Burroughs,rest,has theme,Rest
http://en.wikipedia.org/wiki/World_War_II,during World War II,has time,Assistance
http://en.wikipedia.org/wiki/William_S._Burroughs,1914,has time,Reference_text
http://en.wikipedia.org/wiki/William_S._Burroughs,"William Seward Burroughs II  / b r o z / ; February 5, 1914 – August 2, 1997",has creator,Create_physical_artwork
http://en.wikipedia.org/wiki/William_S._Burroughs,shotgun art,has theme,Social_event
http://en.wikipedia.org/wiki/William_S._Burroughs,St,has location,Wealthiness
http://en.wikipedia.org/wiki/William_S._Burroughs,numerous,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/William_S._Burroughs,1942,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/William_S._Burroughs,heroin addiction that would affect him for the rest of his life,has entity,Coming_to_be
http://en.wikipedia.org/wiki/Edgar_Rice_Burroughs,1953,has time,Success_or_failure
http://en.wikipedia.org/wiki/William_S._Burroughs,"his celebrated ""shotgun art",has theme,Inclusion
http://en.wikipedia.org/wiki/William_S._Burroughs,interviews,has text,Text
http://en.wikipedia.org/wiki/William_S._Burroughs,Five books of his interviews and correspondences,has work,Publishing
http://en.wikipedia.org/wiki/William_S._Burroughs,"thousands of visual artworks, including his celebrated "" shotgun art",has theme,Cause_to_perceive
http://en.wikipedia.org/wiki/William_S._Burroughs,1953,has time,Ordinal_numbers
http://en.wikipedia.org/wiki/William_S._Burroughs,who,has creator,Intentionally_create
http://en.wikipedia.org/wiki/William_S._Burroughs,public,has theme,Relation
http://en.wikipedia.org/wiki/Ivy_Lee,public relations,has type,People_by_vocation
http://en.wikipedia.org/wiki/William_S._Burroughs,books,has entity,Cardinal_numbers
http://en.wikipedia.org/wiki/William_S._Burroughs,numerous performers and musicians,has theme,Collaboration
http://en.wikipedia.org/wiki/William_S._Burroughs,After being turned down by both the Office of Strategic Services and the Navy,has time,Undergo_change
http://en.wikipedia.org/wiki/William_S._Burroughs,four,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/Edgar_Rice_Burroughs,1953,has time,Fame
http://en.wikipedia.org/wiki/William_S._Burroughs,heroin,has theme,Addiction
http://en.wikipedia.org/wiki/William_S._Burroughs,short stories,has theme,Aggregate
http://en.wikipedia.org/wiki/Edgar_Rice_Burroughs,"into a wealthy family in St. Louis, Missouri",has theme,Being_born
http://en.wikipedia.org/wiki/William_S._Burroughs,1914,has time,Create_physical_artwork
http://en.wikipedia.org/wiki/William_S._Burroughs,other people,has entity,Being_named
http://en.wikipedia.org/wiki/Vienna,"English, then anthropology",has theme,Education_teaching
http://en.wikipedia.org/wiki/New_York_City,living in New York City,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/William_S._Burroughs,"William Seward Burroughs II  / b r o z / ; February 5, 1914 – August 2, 1997",has author,Text_creation
http://en.wikipedia.org/wiki/New_York_City,he befriended Allen Ginsberg and Jack Kerouac,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/William_S._Burroughs,family,has person,Wealthiness
http://en.wikipedia.org/wiki/William_S._Burroughs,who,has theme,Objective_influence
http://en.wikipedia.org/wiki/William_S._Burroughs,collections of essays,has entity,Cardinal_numbers
http://en.wikipedia.org/wiki/William_S._Burroughs,both underground and popular culture and literature,has text,Text_creation
http://en.wikipedia.org/wiki/World_War_II,serve during World War II,has purpose,Becoming_a_member
http://en.wikipedia.org/wiki/William_S._Burroughs,"into substance abuse, beginning with morphine and developing a heroin addiction that would affect him for the rest of his life",has theme,Undergo_change
http://en.wikipedia.org/wiki/New_York_City,"while living in New York City, he befriended Allen Ginsberg and Jack Kerouac",has theme,Temporal_collocation
http://en.wikipedia.org/wiki/William_S._Burroughs,1914,has time,Text_creation
http://en.wikipedia.org/wiki/William_S._Burroughs,visual artworks,has theme,Quantified_mass
http://en.wikipedia.org/wiki/New_York_City,1943,has time,Temporal_collocation
http://en.wikipedia.org/wiki/William_S._Burroughs,novel,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/New_York_City,http://en.wikipedia.org/wiki/William_S._Burroughs,has theme,Residence
http://en.wikipedia.org/wiki/Vienna,as a postgraduate,has role,Education_teaching
http://en.wikipedia.org/wiki/World_War_II,World War II,has theme,Becoming_a_member
http://en.wikipedia.org/wiki/William_S._Burroughs,http://en.wikipedia.org/wiki/Junkie_(novel),has text,Text
http://en.wikipedia.org/wiki/Edgar_Rice_Burroughs,St,has location,Being_born
http://en.wikipedia.org/wiki/William_S._Burroughs,pen name William Lee,has theme,Being_named
http://en.wikipedia.org/wiki/William_S._Burroughs,his life,has theme,Rest
http://en.wikipedia.org/wiki/William_S._Burroughs,1914,has time,People
http://en.wikipedia.org/wiki/William_S._Burroughs,"inventor William Seward Burroughs I, who founded the Burroughs Corporation",has theme,Kinship
http://en.wikipedia.org/wiki/Edgar_Rice_Burroughs,"18 novels and novellas, six collections of short stories, and four collections of essays",has text,Text_creation
http://en.wikipedia.org/wiki/William_S._Burroughs,defining influence on the 1960s counterculture,has event,Time_vector
http://en.wikipedia.org/wiki/William_S._Burroughs,William Burroughs disambiguation,has information,Reference_text
http://en.wikipedia.org/wiki/William_S._Burroughs,visual,has theme,Create_physical_artwork
http://en.wikipedia.org/wiki/William_S._Burroughs,films,has theme,Make_acquaintance
http://en.wikipedia.org/wiki/William_S._Burroughs,foundation of the Beat Generation,has theme,Becoming
http://en.wikipedia.org/wiki/William_S._Burroughs,http://en.wikipedia.org/wiki/Burroughs_Corporation,has theme,Intentionally_create
http://en.wikipedia.org/wiki/Vienna,medical school in Vienna,has event,Process_continue
http://en.wikipedia.org/wiki/Beat_Generation,later,has time,Objective_influence
http://en.wikipedia.org/wiki/William_S._Burroughs,shotgun,has activity,Craft
http://en.wikipedia.org/wiki/William_S._Burroughs,St,has location,Kinship
http://en.wikipedia.org/wiki/Edgar_Rice_Burroughs,http://en.wikipedia.org/wiki/Vienna,has location,Attending
http://en.wikipedia.org/wiki/New_York_City,1943,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Edgar_Rice_Burroughs,"Harvard University, where he studied English, then anthropology as a postgraduate, and went on to medical school in Vienna",has event,Attending
http://en.wikipedia.org/wiki/William_S._Burroughs,books,has text,Text
http://en.wikipedia.org/wiki/William_S._Burroughs,Allen Ginsberg and Jack Kerouac,has theme,Forming_relationships
http://en.wikipedia.org/wiki/William_S._Burroughs,Five,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/William_S._Burroughs,essays,has theme,Aggregate
http://en.wikipedia.org/wiki/William_S._Burroughs,postmodern author who influenced both underground and popular culture and literature,has theme,Importance
http://en.wikipedia.org/wiki/William_S._Burroughs,1953,has time,Text
http://en.wikipedia.org/wiki/William_S._Burroughs,culture and literature,has theme,Desirability
http://en.wikipedia.org/wiki/William_S._Burroughs,while living in New York City,has time,Forming_relationships
http://en.wikipedia.org/wiki/Vienna,http://en.wikipedia.org/wiki/Edgar_Rice_Burroughs,has student,Education_teaching
http://en.wikipedia.org/wiki/William_S._Burroughs,people,has class,Increment
http://en.wikipedia.org/wiki/Beat_Generation,1960s counterculture,has theme,Objective_influence
http://en.wikipedia.org/wiki/Beat_Generation,figure of the Beat Generation,has item,First_rank
http://en.wikipedia.org/wiki/William_S._Burroughs,"he veered into substance abuse, beginning with morphine and developing a heroin addiction that would affect him for the rest of his life",has theme,Relative_time
http://en.wikipedia.org/wiki/William_S._Burroughs,substance,has type,Abusing
http://en.wikipedia.org/wiki/New_York_City,1943,has time,Residence
http://en.wikipedia.org/wiki/William_S._Burroughs,novel,has text,Text
http://en.wikipedia.org/wiki/William_S._Burroughs,his interviews and correspondences,has theme,Text
http://en.wikipedia.org/wiki/Will_Lee,http://en.wikipedia.org/wiki/William_S._Burroughs,has theme,Kinship
http://en.wikipedia.org/wiki/William_S._Burroughs,recordings,has text,Text
http://en.wikipedia.org/wiki/William_S._Burroughs,literature,has theme,Fields
http://en.wikipedia.org/wiki/William_S._Burroughs,performers and musicians,has theme,Quantified_mass
http://en.wikipedia.org/wiki/Edgar_Rice_Burroughs,"his confessional first novel, Junkie 1953",has means,Success_or_failure
http://en.wikipedia.org/wiki/William_S._Burroughs,performers,has performer,Performing_arts
http://en.wikipedia.org/wiki/Will_Lee,public relations manager Ivy Lee,has theme,Kinship
http://en.wikipedia.org/wiki/William_S._Burroughs,both underground and popular culture and literature,has theme,Objective_influence
http://en.wikipedia.org/wiki/United_States,writer and visual artist,has entity,Origin
http://en.wikipedia.org/wiki/World_War_II,World War II,has theme,Assistance
http://en.wikipedia.org/wiki/William_S._Burroughs,This liaison,has entity,Becoming
http://en.wikipedia.org/wiki/William_S._Burroughs,primary figure of the Beat Generation and a major postmodern author who influenced both underground and popular culture and literature,has category,Categorization
http://en.wikipedia.org/wiki/William_S._Burroughs,1942,has time,Temporal_collocation
http://en.wikipedia.org/wiki/William_S._Burroughs,http://en.wikipedia.org/wiki/New_York_City,has location,Forming_relationships
http://en.wikipedia.org/wiki/William_S._Burroughs,projects and recordings,has theme,Collaboration
