Source,Target,Label,Frame
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),world,has theme,Locative_relation
http://en.wikipedia.org/wiki/Joseph_Stalin,organisations,has organization,Organization
http://en.wikipedia.org/wiki/Albert_Camus,left that opposed Joseph Stalin and the Soviet Union because of their totalitarianism,has group,Membership
http://en.wikipedia.org/wiki/France,Camus disambiguation,has theme,Reference_text
http://en.wikipedia.org/wiki/Joseph_Stalin,left,has theme,People_along_political_spectrum
http://en.wikipedia.org/wiki/Combat,"French Resistance where he served as editor-in-chief at Combat, an outlawed newspaper",has group,Becoming_a_member
http://en.wikipedia.org/wiki/Albert_Camus,be an existentialist,has category,Categorization
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),their totalitarianism,has cause,Causation
http://en.wikipedia.org/wiki/Paris,when the Germans invaded France during World War II in 1940,has time,Interior_profile_relation
http://en.wikipedia.org/wiki/Paris,during World War II in 1940,has time,Invading
http://en.wikipedia.org/wiki/Albert_Camus,7 November 1913,has time,Being_born
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),war,has theme,Time_vector
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),philosophy,has entity,Being_named
http://en.wikipedia.org/wiki/Albert_Camus,flee,has goal,Attempt
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),Sintès,has theme,Being_named
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),many lectures,has theme,Locative_relation
http://en.wikipedia.org/wiki/Albert_Camus,many organisations seeking European integration,has group,Membership
http://en.wikipedia.org/wiki/Albert_Camus,Literature,has location,Age
http://en.wikipedia.org/wiki/Joseph_Stalin,firmly,has theme,Respond_to_proposal
http://en.wikipedia.org/wiki/Albert_Camus,childhood,has theme,Kinship
http://en.wikipedia.org/wiki/Albert_Camus,Camus's work,has item,Categorization
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),as absurdism,has theme,Being_named
http://en.wikipedia.org/wiki/Joseph_Stalin,he himself,has speaker,Respond_to_proposal
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),"Stranger, The Plague, The Myth of Sisyphus, The Fall and The Rebel",has theme,Inclusion
http://en.wikipedia.org/wiki/Albert_Camus,twice,has degree,Personal_relationship
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),studied philosophy at the University of Algiers,has event,Time_vector
http://en.wikipedia.org/wiki/Joseph_Stalin,that,has theme,Taking_sides
http://en.wikipedia.org/wiki/Albert_Camus,Some,has theme,Categorization
http://en.wikipedia.org/wiki/Albert_Camus,politically,has activity,Being_active
http://en.wikipedia.org/wiki/Combat,finally,has time,Becoming_a_member
http://en.wikipedia.org/wiki/Algiers_1_University,later,has time,Studying
http://en.wikipedia.org/wiki/Paris,http://en.wikipedia.org/wiki/Albert_Camus,has theme,Interior_profile_relation
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),neighbourhood,has theme,Desirability
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),Catherine Hélène Camus,has entity,Being_named
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,age of 44,has time,Receiving
http://en.wikipedia.org/wiki/Algiers_1_University,http://en.wikipedia.org/wiki/Albert_Camus,has student,Studying
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),he was a celebrity figure and gave many lectures around the world,has event,Time_vector
http://en.wikipedia.org/wiki/Combat,http://en.wikipedia.org/wiki/Albert_Camus,has theme,Becoming_a_member
http://en.wikipedia.org/wiki/Albert_Camus,towards anarcho-syndicalism,has theme,Change_posture
http://en.wikipedia.org/wiki/Joseph_Stalin,term,has theme,Respond_to_proposal
http://en.wikipedia.org/wiki/Joseph_Stalin,Joseph Stalin and the Soviet Union,has theme,Taking_sides
http://en.wikipedia.org/wiki/Albert_Camus,1957,has time,Age
http://en.wikipedia.org/wiki/Albert_Camus,Camus's,has theme,Opinion
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Nobel Prize in Literature,has theme,Receiving
http://en.wikipedia.org/wiki/Paris,1940,has time,Temporal_collocation
http://en.wikipedia.org/wiki/Albert_Camus,mother,has theme,Kinship
http://en.wikipedia.org/wiki/Germany,1940,has time,People_by_origin
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,1957 Nobel Prize in Literature,has theme,Receiving
http://en.wikipedia.org/wiki/French_Algeria,parents,has theme,Kinship
http://en.wikipedia.org/wiki/Albert_Camus,http://en.wikipedia.org/wiki/French_Algeria,has location,Being_born
http://en.wikipedia.org/wiki/Combat,outlawed,has theme,Text
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),His works,has theme,Inclusion
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),many,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/Paris,Germans invaded France during World War II in 1940,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Albert_Camus,44,has age,Age
http://en.wikipedia.org/wiki/Paris,He was in Paris,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Joseph_Stalin,European integration,has theme,Seeking_to_achieve
http://en.wikipedia.org/wiki/Albert_Camus,http://en.wikipedia.org/wiki/Combat,has location,Attempt
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Literature,has location,Receiving
http://en.wikipedia.org/wiki/Albert_Camus,neutral,has theme,Posture
http://en.wikipedia.org/wiki/Algiers_1_University,philosophy,has theme,Studying
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),he was part of the left that opposed Joseph Stalin and the Soviet Union,has effect,Causation
http://en.wikipedia.org/wiki/Paris,http://en.wikipedia.org/wiki/France,has theme,Invading
