Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Langston_Hughes,Crisis,has location,Judgment
http://en.wikipedia.org/wiki/Demographics_of_Africa,Both of Hughes's paternal great-grandmothers,has student,Education_teaching
http://en.wikipedia.org/wiki/Lincoln_University_(Pennsylvania),eventually,has time,Education_teaching
http://en.wikipedia.org/wiki/Harlem_Renaissance,1926,has time,Publishing
http://en.wikipedia.org/wiki/Harlem_Renaissance,nonfiction,has theme,Text
http://en.wikipedia.org/wiki/Harlem_Renaissance,owners,has owner,Possession
http://en.wikipedia.org/wiki/Harlem_Renaissance,1926,has time,Text
http://en.wikipedia.org/wiki/Harlem_Renaissance,"His first poetry collection, The Weary Blues",has work,Publishing
http://en.wikipedia.org/wiki/Harlem_Renaissance,age,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Langston_Hughes,be Jewish,has message,Statement
http://en.wikipedia.org/wiki/Harlem_Renaissance,College,has theme,Political_locales
http://en.wikipedia.org/wiki/Henry_Clay,statesman Henry Clay,has theme,Kinship
http://en.wikipedia.org/wiki/Harlem_Renaissance,before her studies,has time,Becoming_a_member
http://en.wikipedia.org/wiki/Langston_Hughes,Hughes's,has theme,Kinship
http://en.wikipedia.org/wiki/Harlem_Renaissance,leader,has leader,Leadership
http://en.wikipedia.org/wiki/Harlem_Renaissance,black,has theme,Text
http://en.wikipedia.org/wiki/United_States,1901,has time,Increment
http://en.wikipedia.org/wiki/New_York_City,http://en.wikipedia.org/wiki/Langston_Hughes,has student,Studying
http://en.wikipedia.org/wiki/United_States,1901,has time,Text
http://en.wikipedia.org/wiki/Harlem_Renaissance,novels,has text,Text
http://en.wikipedia.org/wiki/Harlem_Renaissance,http://en.wikipedia.org/wiki/Midwestern_United_States,has theme,Interior_profile_relation
http://en.wikipedia.org/wiki/Harlem_Renaissance,Growing up,has theme,Interior_profile_relation
http://en.wikipedia.org/wiki/Harlem_Renaissance,University,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Lincoln_University_(Pennsylvania),http://en.wikipedia.org/wiki/Langston_Hughes,has student,Education_teaching
http://en.wikipedia.org/wiki/Harlem_Renaissance,story,has text,Text
http://en.wikipedia.org/wiki/Harlem_Renaissance,her studies,has theme,Time_vector
http://en.wikipedia.org/wiki/Langston_Hughes,Growing up in the Midwest,has theme,Becoming
http://en.wikipedia.org/wiki/The_Weary_Blues,other putative paternal ancestor whom,has entity,Being_named
http://en.wikipedia.org/wiki/Harlem_Renaissance,man,has person,People
http://en.wikipedia.org/wiki/Harlem_Renaissance,jazz,has theme,Text
http://en.wikipedia.org/wiki/Harlem_Renaissance,poetry,has theme,Aggregate
http://en.wikipedia.org/wiki/Oberlin_College,attend Oberlin College,has theme,Ordinal_numbers
