Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Don_Quixote,poem,has theme,Duration_description
http://en.wikipedia.org/wiki/Miguel_de_Cervantes,after five years in captivity,has time,Arriving
http://en.wikipedia.org/wiki/Spanish_language,"as "" the language of Cervantes",has theme,Referring_by_name
http://en.wikipedia.org/wiki/Miguel_de_Cervantes,Cervantes disambiguation,has theme,Reference_text
http://en.wikipedia.org/wiki/Don_Quixote,http://en.wikipedia.org/wiki/Miguel_de_Cervantes,has theme,Becoming_a_member
http://en.wikipedia.org/wiki/Miguel_de_Cervantes,"his novel Don Quixote, a work considered as the first modern novel",has reason,Fame
http://en.wikipedia.org/wiki/Don_Quixote,novel,has text,Text
http://en.wikipedia.org/wiki/Don_Quixote,works,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Don_Quixote,government,has organization,Organization
http://en.wikipedia.org/wiki/Don_Quixote,"as a purchasing agent, and later as a government tax collector",has position,Being_employed
http://en.wikipedia.org/wiki/Don_Quixote,1605,has time,Publishing
http://en.wikipedia.org/wiki/Don_Quixote,works,has class,Increment
http://en.wikipedia.org/wiki/Don_Quixote,literature,has theme,Fields
http://en.wikipedia.org/wiki/Don_Quixote,his early works,has theme,Quantified_mass
http://en.wikipedia.org/wiki/Miguel_de_Cervantes,Barbary pirates,has theme,Conquering
http://en.wikipedia.org/wiki/Don_Quixote,http://en.wikipedia.org/wiki/Miguel_de_Cervantes,has theme,Earnings_and_losses
http://en.wikipedia.org/wiki/Don_Quixote,after five years in captivity,has time,Kidnapping
http://en.wikipedia.org/wiki/Don_Quixote,early,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Miguel_de_Cervantes,"work as a purchasing agent, and later as a government tax collector",has activity,Activity_ongoing
http://en.wikipedia.org/wiki/Don_Quixote,novel,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Don_Quixote,book,has text,Text
http://en.wikipedia.org/wiki/La_Galatea,La Galatea,has document,Documents
http://en.wikipedia.org/wiki/Don_Quixote,literary,has theme,Fields
http://en.wikipedia.org/wiki/Don_Quixote,household of a cardinal,has position,Being_employed
http://en.wikipedia.org/wiki/Spanish_language,uses,has class,Increment
http://en.wikipedia.org/wiki/Don_Quixote,http://en.wikipedia.org/wiki/Robert_Alexander_Hillingford,has event,Event
http://en.wikipedia.org/wiki/Miguel_de_Cervantes,http://en.wikipedia.org/wiki/Spain,has theme,Departing
http://en.wikipedia.org/wiki/Don_Quixote,1585,has time,Publishing
http://en.wikipedia.org/wiki/Miguel_de_Cervantes,"Rome, where he worked in the household of a cardinal",has goal,Motion
http://en.wikipedia.org/wiki/Don_Quixote,October,has location,Earnings_and_losses
http://en.wikipedia.org/wiki/Miguel_de_Cervantes,http://en.wikipedia.org/wiki/Don_Quixote,has text,Text
http://en.wikipedia.org/wiki/Don_Quixote,use of his left arm and hand,has theme,Earnings_and_losses
http://en.wikipedia.org/wiki/Don_Quixote,authors,has author,Text_creation
http://en.wikipedia.org/wiki/Don_Quixote,story of Don Quixote 1870 ,has location,Event
http://en.wikipedia.org/wiki/Don_Quixote,significant novel,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Miguel_de_Cervantes,novel,has text,Text
http://en.wikipedia.org/wiki/Don_Quixote,Part One of Don Quixote,has work,Publishing
http://en.wikipedia.org/wiki/Don_Quixote,http://en.wikipedia.org/wiki/Miguel_de_Cervantes,has theme,Cause_harm
http://en.wikipedia.org/wiki/Don_Quixote,many well-known authors,has speaker,Labeling
http://en.wikipedia.org/wiki/Don_Quixote,world,has theme,Political_locales
http://en.wikipedia.org/wiki/Don_Quixote,work in world literature,has theme,Desirability
http://en.wikipedia.org/wiki/Don_Quixote,October 1571,has time,Cause_harm
http://en.wikipedia.org/wiki/Don_Quixote,years,has theme,Measure_duration
http://en.wikipedia.org/wiki/United_States,singer,has person,People_by_vocation
http://en.wikipedia.org/wiki/United_States,actor and singer,has entity,Origin
http://en.wikipedia.org/wiki/Don_Quixote,Battle of Lepanto,has location,Cause_harm
http://en.wikipedia.org/wiki/Don_Quixote,"12 Novelas ejemplares  Exemplary Novels ; a long poem, the Viaje del Parnaso  Journey to Parnassus  ; and Ocho comedias y ocho entremeses  Eight Plays and Eight Interludes ",has theme,Inclusion
http://en.wikipedia.org/wiki/Spanish_language,writer,has text,Text
http://en.wikipedia.org/wiki/Don_Quixote,book,has entity,Usefulness
http://en.wikipedia.org/wiki/Don_Quixote,left,has theme,Body_parts
http://en.wikipedia.org/wiki/Don_Quixote,poem,has text,Text
http://en.wikipedia.org/wiki/Don_Quixote,http://en.wikipedia.org/wiki/Miguel_de_Cervantes,has employee,Being_employed
http://en.wikipedia.org/wiki/Don_Quixote,Spanish Navy infantry regiment,has group,Becoming_a_member
http://en.wikipedia.org/wiki/Don_Quixote,many of his early works being lost,has effect,Causation
http://en.wikipedia.org/wiki/Don_Quixote,http://en.wikipedia.org/wiki/Miguel_de_Cervantes,has theme,Objective_influence
http://en.wikipedia.org/wiki/Miguel_de_Cervantes,"leave Spain and move to Rome, where he worked in the household of a cardinal",has effect,Causation
http://en.wikipedia.org/wiki/Don_Quixote,October,has location,Body_parts
http://en.wikipedia.org/wiki/Don_Quixote,October,has location,Becoming_a_member
http://en.wikipedia.org/wiki/Don_Quixote,http://en.wikipedia.org/wiki/Miguel_de_Cervantes,has possessor,Body_parts
http://en.wikipedia.org/wiki/Don_Quixote,"referred to as "" the language of Cervantes",has event,Frequency
http://en.wikipedia.org/wiki/Don_Quixote,"His first significant novel, titled La Galatea",has work,Publishing
