Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Fernando_Pessoa,family,has entity,Being_named
http://en.wikipedia.org/wiki/Fernando_Pessoa,He did not define these as pseudonyms,has effect,Causation
http://en.wikipedia.org/wiki/Fernando_Pessoa,sources,has information,Trust
http://en.wikipedia.org/wiki/Fernando_Pessoa,names,has class,Increment
http://en.wikipedia.org/wiki/Fernando_Pessoa,that this did not capture their true independent intellectual life,has opinion,Opinion
http://en.wikipedia.org/wiki/Fernando_Pessoa,flat,has entity,Size
http://en.wikipedia.org/wiki/Fernando_Pessoa,article,has text,Text
http://en.wikipedia.org/wiki/Fernando_Pessoa,2022,has time,Source_of_getting
http://en.wikipedia.org/wiki/Fernando_Pessoa,reliable,has theme,Source_of_getting
http://en.wikipedia.org/wiki/Fernando_Pessoa,http://en.wikipedia.org/wiki/Lisbon,has location,Being_born
http://en.wikipedia.org/wiki/Fernando_Pessoa,writer,has theme,Expertise
http://en.wikipedia.org/wiki/Portuguese_language,literary figures,has theme,Importance
http://en.wikipedia.org/wiki/Fernando_Pessoa,approximately seventy-five,has theme,Increment
http://en.wikipedia.org/wiki/Fernando_Pessoa,family name,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Fernando_Pessoa,So Carlos Square,has theme,Locative_relation
http://en.wikipedia.org/wiki/Portuguese_language,band,has theme,Aggregate
http://en.wikipedia.org/wiki/Fernando_Pessoa,father,has theme,Kinship
http://en.wikipedia.org/wiki/Fernando_Pessoa,how and when to remove this message,has skill,Education_teaching
http://en.wikipedia.org/wiki/Fernando_Pessoa,So Carlos Square,has location,Building_subparts
http://en.wikipedia.org/wiki/Fernando_Pessoa,sources,has theme,Source_of_getting
http://en.wikipedia.org/wiki/Lisbon,Lisbon's,has location,Businesses
http://en.wikipedia.org/wiki/Fernando_Pessoa,his own name,has text,Text_creation
http://en.wikipedia.org/wiki/Fernando_Pessoa,sources,has theme,Locating
http://en.wikipedia.org/wiki/Fernando_Pessoa,younger,has age,Age
http://en.wikipedia.org/wiki/Fernando_Pessoa,this message,has theme,Removing
http://en.wikipedia.org/wiki/Portuguese_language,family name,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Fernando_Pessoa,2022,has time,Removing
http://en.wikipedia.org/wiki/Fernando_Pessoa,brother,has entity,Age
http://en.wikipedia.org/wiki/Fernando_Pessoa,These imaginary figures,has theme,Opinion
http://en.wikipedia.org/wiki/Fernando_Pessoa,as pseudonyms,has category,Communicate_categorization
http://en.wikipedia.org/wiki/Fernando_Pessoa,as one of the most significant literary figures of the 20th century and one of the greatest poets in the Portuguese language,has category,Categorization
http://en.wikipedia.org/wiki/Fernando_Pessoa,citations,has class,Increment
http://en.wikipedia.org/wiki/Fernando_Pessoa,flat,has theme,Building_subparts
http://en.wikipedia.org/wiki/Fernando_Pessoa,improve this article by adding citations to reliable sources in this section,has goal,Assistance
http://en.wikipedia.org/wiki/Fernando_Pessoa,one,has age,Age
http://en.wikipedia.org/wiki/Fernando_Pessoa,large flat,has theme,Locative_relation
http://en.wikipedia.org/wiki/Fernando_Pessoa,large,has theme,Building_subparts
http://en.wikipedia.org/wiki/Fernando_Pessoa,2022,has time,Building_subparts
http://en.wikipedia.org/wiki/Fernando_Pessoa,heteronyms,has theme,Labeling
http://en.wikipedia.org/wiki/Lisbon,opera,has business,Businesses
http://en.wikipedia.org/wiki/Fernando_Pessoa,2022,has time,Locative_relation
http://en.wikipedia.org/wiki/Fernando_Pessoa,"he felt that this did not capture their true independent intellectual life and instead called them heteronyms, a term he invented",has cause,Causation
http://en.wikipedia.org/wiki/Fernando_Pessoa,2022,has time,Size
http://en.wikipedia.org/wiki/Portuguese_language,20th,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Fernando_Pessoa,tuberculosis,has theme,Death
http://en.wikipedia.org/wiki/Fernando_Pessoa,less than seven months later,has time,Death
http://en.wikipedia.org/wiki/Fernando_Pessoa,less than seven months,has theme,Time_vector
http://en.wikipedia.org/wiki/Lisbon,2022,has time,Businesses
http://en.wikipedia.org/wiki/Fernando_Pessoa,2022,has time,Locating
http://en.wikipedia.org/wiki/Fernando_Pessoa,views,has opinion,Opinion
http://en.wikipedia.org/wiki/Fernando_Pessoa,This section,has theme,Verification
http://en.wikipedia.org/wiki/Fernando_Pessoa,material,has theme,Substance
http://en.wikipedia.org/wiki/Fernando_Pessoa,Unsourced,has theme,Substance
http://en.wikipedia.org/wiki/Fernando_Pessoa,his own name,has entity,Being_named
http://en.wikipedia.org/wiki/Portuguese_language,century,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Fernando_Pessoa,maternal,has entity,Being_named
http://en.wikipedia.org/wiki/Fernando_Pessoa,brother,has theme,Kinship
http://en.wikipedia.org/wiki/Portuguese_language,poet,has text,Text
http://en.wikipedia.org/wiki/Fernando_Pessoa,2022,has time,Education_teaching
http://en.wikipedia.org/wiki/Portuguese_language,1935,has time,Text
http://en.wikipedia.org/wiki/Fernando_Pessoa,http://en.wikipedia.org/wiki/English_language,has text,Text_creation
http://en.wikipedia.org/wiki/Fernando_Pessoa,younger brother Jorge,has entity,Age
http://en.wikipedia.org/wiki/Fernando_Pessoa,second or paternal family,has entity,Being_named
http://en.wikipedia.org/wiki/Fernando_Pessoa,13 June 1888,has time,Being_born
http://en.wikipedia.org/wiki/Fernando_Pessoa,"his younger brother Jorge, aged one,",has theme,Death
http://en.wikipedia.org/wiki/Fernando_Pessoa,"his younger brother Jorge, aged one, also died 2 January 1889",has event,Time_vector
http://en.wikipedia.org/wiki/Fernando_Pessoa,January,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Fernando_Pessoa,2022,has time,Calendric_unit
http://en.wikipedia.org/wiki/Fernando_Pessoa,"his father, Joaquim de Seabra Pessôa",has theme,Death
http://en.wikipedia.org/wiki/Fernando_Pessoa,names,has theme,Being_named
http://en.wikipedia.org/wiki/Fernando_Pessoa,verification,has theme,Have_as_requirement
http://en.wikipedia.org/wiki/Fernando_Pessoa,This section,has theme,Have_as_requirement
http://en.wikipedia.org/wiki/Fernando_Pessoa,additional citations,has theme,Have_as_requirement
http://en.wikipedia.org/wiki/Fernando_Pessoa,these,has item,Communicate_categorization
http://en.wikipedia.org/wiki/Portuguese_language,20th century,has degree,Importance
http://en.wikipedia.org/wiki/Portuguese_language,name,has theme,Being_named
http://en.wikipedia.org/wiki/Fernando_Pessoa,term,has theme,Achieving_first
http://en.wikipedia.org/wiki/Fernando_Pessoa,paternal,has entity,Being_named
http://en.wikipedia.org/wiki/Fernando_Pessoa,Unsourced material,has theme,Removing
