Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Spanish_language,island,has theme,Natural_features
http://en.wikipedia.org/wiki/Portugal,1922,has time,Being_named
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,most gifted novelist alive in the world,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/José_Saramago,paternal,has entity,Being_named
http://en.wikipedia.org/wiki/Jesus,1992,has time,Attributed_information
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,http://en.wikipedia.org/wiki/José_Saramago,has theme,Expressing_publicly
http://en.wikipedia.org/wiki/Government_of_Portugal,Government of Portugal under Prime Minister Anbal Cavaco Silva,has speaker,Statement
http://en.wikipedia.org/wiki/Portugal,Saramago's books,has theme,Duplication
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,tone,has feature,Distinctiveness
http://en.wikipedia.org/wiki/James_Wood_(critic),he narrates his novels as if he were someone both wise and ignorant,has cause,Causation
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,as allegories,has category,Grasp
http://en.wikipedia.org/wiki/Harold_Bloom,"as "" the most gifted novelist alive in the world today ",has category,Communicate_categorization
http://en.wikipedia.org/wiki/Harold_Bloom,2010,has time,Statement
http://en.wikipedia.org/wiki/Portugal,languages,has entity,Cardinal_numbers
http://en.wikipedia.org/wiki/José_Saramago,Literature,has location,Preventing_or_letting
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,most gifted novelist,has theme,Dead_or_alive
http://en.wikipedia.org/wiki/Portugal,25,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/Catholic_Church,http://en.wikipedia.org/wiki/José_Saramago,has theme,Defending
http://en.wikipedia.org/wiki/Harold_Bloom,"he considers Saramago to be "" a permanent part of the Western canon ",has message,Statement
http://en.wikipedia.org/wiki/Portugal,1922,has time,Ordinal_numbers
http://en.wikipedia.org/wiki/José_Saramago,founding,has theme,Membership
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,1998,has time,Receiving
http://en.wikipedia.org/wiki/Jesus,"one of his works, The Gospel",has theme,Attributed_information
http://en.wikipedia.org/wiki/James_Wood_(critic),2003,has time,Causation
http://en.wikipedia.org/wiki/José_Saramago,2003,has time,Part_whole
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,events,has event,Event
http://en.wikipedia.org/wiki/Catholic_Church,one,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/Catholic_Church,as political censorship of his work,has category,Categorization
http://en.wikipedia.org/wiki/Catholic_Church,alongside his Spanish wife Pilar del Ro,has theme,Residence
