subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Naguib_Pasha_Mahfouz,Being_named:has_entity,http://en.wikipedia.org/wiki/Naguib_Mahfouz,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arabian_Peninsula,Cardinal_numbers:has_theme,one,0.9,Unknown,True
http://en.wikipedia.org/wiki/Naguib_Mahfouz,Categorization:has_category,"as one of the first contemporary writers in Arabic literature, along with Taha Hussein, to explore themes of existentialism",0.9,Unknown,True
http://en.wikipedia.org/wiki/Arabian_Peninsula,Part_whole:has_theme,his compound,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arabian_Peninsula,Fields:has_activity,art,0.9,Unknown,True
http://en.wikipedia.org/wiki/Naguib_Mahfouz,People_by_age:has_theme,youngest,0.9,Unknown,True
http://en.wikipedia.org/wiki/Naguib_Mahfouz,Accompaniment:has_purpose,explore themes of existentialism,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arabian_Peninsula,Quantified_mass:has_time,2004,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arabian_Peninsula,Age:has_entity,Cairo,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arabian_Peninsula,Text:has_time,2004,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arabian_Peninsula,Cardinal_numbers:has_theme,seven,0.9,Unknown,True
http://en.wikipedia.org/wiki/Egypt,Text:has_text,newspapers,0.9,Unknown,True
http://en.wikipedia.org/wiki/Islam,Kinship:has_time,1911,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arabian_Peninsula,Cardinal_numbers:has_theme,two,0.9,Unknown,True
http://en.wikipedia.org/wiki/Naguib_Mahfouz,Text:has_text,works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Naguib_Pasha_Mahfouz,Transition_to_state:has_theme, only child,0.9,Unknown,True
http://en.wikipedia.org/wiki/Naguib_Mahfouz,Accompaniment:has_location,http://en.wikipedia.org/wiki/Arabic,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arabic,Text_creation:has_text,texts,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arabian_Peninsula,Age:has_location,Old Cairo,0.9,Unknown,True
http://en.wikipedia.org/wiki/Islam,Kinship:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Naguib_Mahfouz,Medical_professionals:has_theme,doctor,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sweden,Communicate_categorization:has_item,http://en.wikipedia.org/wiki/Naguib_Mahfouz,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arabian_Peninsula,Coming_to_be:has_entity,who,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arabian_Peninsula,Cardinal_numbers:has_time,2004,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arabian_Peninsula,Achieving_first:has_theme,widely,0.9,Unknown,True
http://en.wikipedia.org/wiki/Naguib_Pasha_Mahfouz,Labor_product:has_theme,works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arabian_Peninsula,Cardinal_numbers:has_entity,plays,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sweden,Communicate_categorization:has_category,"as a writer "" who, through works rich in nuance – now clear-sightedly realistic, now evocatively ambiguous – has formed an Arabian narrative art that applies to all mankind",0.9,Unknown,True
http://en.wikipedia.org/wiki/Naguib_Mahfouz,Text:has_author,Mahfouz's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Naguib_Mahfouz,Categorization:has_category,as realist literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arabian_Peninsula,Duration_description:has_theme,stories,0.9,Unknown,True
http://en.wikipedia.org/wiki/Egypt,Publishing:has_time,"over a 70-year career, from the 1930s until 2004",0.9,Unknown,True
http://en.wikipedia.org/wiki/Egypt,Text:has_time,1911,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arabian_Peninsula,Inclusion:has_theme,Cairo Trilogy and Children of Gebelawi,0.9,Unknown,True
http://en.wikipedia.org/wiki/Naguib_Pasha_Mahfouz,Personal_relationship:has_theme, only child,0.9,Unknown,True
