subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/James_Joyce,People:has_person,people,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Joyce,Make_acquaintance:has_time,1904,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Joyce,Text:has_time,1922,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Joyce,Fields:has_time,1922,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Joyce,Time_vector:has_time,1920,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Joyce,Aggregate:has_time,1922,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Joyce,Time_vector:has_theme,war,0.9,Unknown,True
http://en.wikipedia.org/wiki/Rome,Being_employed:has_time,1915,0.9,Unknown,True
http://en.wikipedia.org/wiki/Zürich,Being_employed:has_employee,http://en.wikipedia.org/wiki/James_Joyce,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Joyce,Aggregate:has_theme,short-story,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Joyce,Being_born:has_location,http://en.wikipedia.org/wiki/Dublin,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Joyce,Expertise:has_time,1902,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dublin,Locale_by_use:has_theme,O'Connell,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Joyce,Subjective_influence:has_time,20th century,0.9,Unknown,True
http://en.wikipedia.org/wiki/1995_in_music,Age:has_entity,Man,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Joyce,Motion:has_goal,Trieste in Austria-Hungary,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Joyce,Text:has_theme,poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Joyce,Motion:has_time,1920,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Joyce,Personal_relationship:has_time,1904,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Joyce,Motion:has_goal,"Paris, which was his primary residence until 1940",0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Joyce,Residence:has_location,which,0.9,Unknown,True
http://en.wikipedia.org/wiki/Zürich,Being_employed:has_time,During most of World War I,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Joyce,Arriving:has_goal,http://en.wikipedia.org/wiki/Dublin,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nora_Barnacle,Motion:has_time,1904,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Joyce,Text:has_time,1914,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Joyce,Personal_relationship:has_theme,wife,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Joyce,Residence:has_time,until 1915,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Joyce,Aggregate:has_time,1914,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Joyce,Publishing:has_work,his book of poems Chamber Music and his short-story collection Dubliners,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Joyce,Aggregate:has_theme,collection,0.9,Unknown,True
