Source,Target,Label,Frame
http://en.wikipedia.org/wiki/France,family,has theme,Kinship
http://en.wikipedia.org/wiki/United_States,detective,has theme,Text
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,films,has theme,Behind_the_scenes
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,de Chiel,has theme,Being_named
http://en.wikipedia.org/wiki/The_New_York_Times,younger,has age,Age
http://en.wikipedia.org/wiki/Philadelphia,http://en.wikipedia.org/wiki/Catholic_Church,has theme,Rite
http://en.wikipedia.org/wiki/Dashiell_Hammett,http://en.wikipedia.org/wiki/United_States,has location,Text_creation
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,1929,has time,Desirability
http://en.wikipedia.org/wiki/The_New_York_Times,his obituary in The New York Times,has theme,Categorization
http://en.wikipedia.org/wiki/Dashiell_Hammett,Philadelphia and Baltimore,has location,Growing_food
http://en.wikipedia.org/wiki/United_States,novels,has text,Text
http://en.wikipedia.org/wiki/The_New_York_Times,http://en.wikipedia.org/wiki/Dashiell_Hammett,has item,Categorization
http://en.wikipedia.org/wiki/Dashiell_Hammett,Richard Thomas Hammett and his wife Anne Bond Dashiell,has theme,Being_born
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,where,has location,Residence
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,that,has entity,Being_named
http://en.wikipedia.org/wiki/The_Thin_Man_(film),http://en.wikipedia.org/wiki/Dashiell_Hammett,has item,Categorization
http://en.wikipedia.org/wiki/Dashiell_Hammett,26 years,has age,Age
http://en.wikipedia.org/wiki/Dashiell_Hammett,characters,has theme,Intentionally_create
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,noir,has type,Behind_the_scenes
http://en.wikipedia.org/wiki/Dashiell_Hammett,sister,has theme,Kinship
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,novels,has text,Text
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,its list of the 100 best English-language novels published between 1923 and 2005,has theme,Inclusion
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,English-language,has theme,Text
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,sister,has entity,Age
http://en.wikipedia.org/wiki/Dashiell_Hammett,http://en.wikipedia.org/wiki/Philadelphia,has location,Being_named
http://en.wikipedia.org/wiki/Dashiell_Hammett,Red Harvest,has text,Text
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,four,has theme,Measure_duration
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,whose,has entity,Being_named
http://en.wikipedia.org/wiki/Dashiell_Hammett,1920,has time,Age
http://en.wikipedia.org/wiki/United_States,hard-boiled,has theme,Text
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,mystery,has type,Behind_the_scenes
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,style that came to be known as film noir,has theme,Inclusion
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,1929,has time,Inclusion
http://en.wikipedia.org/wiki/Dashiell_Hammett,hard-boiled detective novels and short stories,has text,Text_creation
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,writers,has text,Text
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,http://en.wikipedia.org/wiki/Dashiell_Hammett,has theme,Residence
http://en.wikipedia.org/wiki/The_New_York_Times,brother,has entity,Age
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,that,has theme,Arriving
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,26,has theme,Measure_duration
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,mystery films,has theme,Inclusion
http://en.wikipedia.org/wiki/Dashiell_Hammett,Anne Bond Dashiell,has theme,Personal_relationship
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Maltese Falcon placed second on The Top 100 Mystery Novels of All Time as selected by the Mystery Writers of America,has event,Time_vector
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Hammett's,has theme,Kinship
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Five,has theme,Measure_duration
http://en.wikipedia.org/wiki/The_New_York_Times,New York Times,has location,Categorization
http://en.wikipedia.org/wiki/Dashiell_Hammett,1961,has time,Text_creation
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,city,has theme,Political_locales
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,1920,has time,Locative_relation
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,be known as film noir,has goal,Arriving
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,"mystery films, including the style that came to be known as film noir",has theme,Objective_influence
http://en.wikipedia.org/wiki/Dashiell_Hammett,Saint Mary,has location,Personal_relationship
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,1920,has time,Kinship
http://en.wikipedia.org/wiki/The_New_York_Times,Mystery Writers of America,has theme,Choosing
http://en.wikipedia.org/wiki/Dashiell_Hammett,novels,has text,Text
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,mystery writers,has theme,Desirability
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,English-language novels published between 1923 and 2005,has theme,Desirability
http://en.wikipedia.org/wiki/Dashiell_Hammett,as Sam,has theme,Being_named
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,characters he created,has theme,Be_subset_of
http://en.wikipedia.org/wiki/United_States,1961,has time,Duration_description
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Five years,has theme,Time_vector
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,1920,has time,Political_locales
http://en.wikipedia.org/wiki/The_Maltese_Falcon_(1941_film),Top 100 Mystery Novels of All Time,has theme,Ordinal_numbers
http://en.wikipedia.org/wiki/Dashiell_Hammett,1990,has time,Text
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,very,has degree,Desirability
http://en.wikipedia.org/wiki/Dashiell_Hammett,Hammett's,has author,Text
http://en.wikipedia.org/wiki/United_States,stories,has theme,Duration_description
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,significant,has degree,Objective_influence
http://en.wikipedia.org/wiki/The_Maltese_Falcon_(1941_film),Maltese Falcon,has item,Ordinal_numbers
http://en.wikipedia.org/wiki/United_States,1961,has time,Text
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,1929,has time,Text
http://en.wikipedia.org/wiki/Dashiell_Hammett,four years,has age,Age
http://en.wikipedia.org/wiki/Dashiell_Hammett,"American writer 1894–1961  Samuel Dashiell Hammett  / d l h m t / DASH -l HAM -it ; May 27, 1894 – January 10, 1961",has author,Text_creation
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,1920,has time,Measure_duration
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,mystery,has theme,Text
http://en.wikipedia.org/wiki/Dashiell_Hammett,http://en.wikipedia.org/wiki/France,has location,Kinship
http://en.wikipedia.org/wiki/Maryland,Maryland family,has entity,Age
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,where,has theme,Locative_relation
http://en.wikipedia.org/wiki/Dashiell_Hammett,1929,has time,Text
http://en.wikipedia.org/wiki/Dashiell_Hammett,1929,has theme,Text
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,years,has theme,Measure_duration
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,between 1923 and 2005,has time,Publishing
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,100 best English-language novels,has work,Publishing
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,http://en.wikipedia.org/wiki/Dashiell_Hammett,has theme,Locative_relation
http://en.wikipedia.org/wiki/Dashiell_Hammett,mother,has theme,Kinship
http://en.wikipedia.org/wiki/United_States,1961,has time,Origin
http://en.wikipedia.org/wiki/Dashiell_Hammett,"near Great Mills on the ""Hopewell and Aim"" farm in Saint Mary's County, Maryland",has location,Being_born
http://en.wikipedia.org/wiki/The_New_York_Times,"as "" the dean of the...'hard-boiled'school of detective fiction",has category,Categorization
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,"Sam Spade  The Maltese Falcon , Nick and Nora Charles  The Thin Man , The Continental Op  Red Harvest and The Dain Curse  and the comic strip character Secret Agent X-9",has theme,Be_subset_of
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,1920,has time,Residence
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,His novels and stories,has theme,Objective_influence
http://en.wikipedia.org/wiki/Dashiell_Hammett,Philadelphia and Baltimore,has location,Personal_relationship
http://en.wikipedia.org/wiki/Dashiell_Hammett,New York Times,has location,Text
http://en.wikipedia.org/wiki/Maryland,http://en.wikipedia.org/wiki/France,has location,Age
http://en.wikipedia.org/wiki/United_States,writer,has entity,Origin
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,as film noir,has theme,Being_named
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Hammett's 1929 novel Red Harvest,has theme,Inclusion
http://en.wikipedia.org/wiki/Dashiell_Hammett,brother,has theme,Kinship
http://en.wikipedia.org/wiki/The_Thin_Man_(film),as one of the very best mystery writers,has category,Categorization
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,http://en.wikipedia.org/wiki/France,has location,Being_named
http://en.wikipedia.org/wiki/Dashiell_Hammett,New York Times,has theme,Text
