Source,Target,Label,Frame
http://en.wikipedia.org/wiki/United_States_Customs_Service,founder,has creator,Intentionally_create
"http://en.wikipedia.org/wiki/Boulder,_Colorado",teachers,has teacher,Education_teaching
http://en.wikipedia.org/wiki/Allen_Ginsberg,"friendships with Lucien Carr, William S. Burroughs and Jack Kerouac",has activity,Activity_start
http://en.wikipedia.org/wiki/Columbia_University,Columbia University,has institution,Education_teaching
http://en.wikipedia.org/wiki/New_York_City,modestly,has theme,Residence
http://en.wikipedia.org/wiki/United_States_Customs_Service,acts,has theme,Offenses
http://en.wikipedia.org/wiki/United_States_Customs_Service,1956,has time,Trial
http://en.wikipedia.org/wiki/United_States,as the destructive forces of capitalism and conformity in the United States,has category,Categorization
http://en.wikipedia.org/wiki/United_States_Customs_Service,religious,has type,Artifact
http://en.wikipedia.org/wiki/United_States,http://en.wikipedia.org/wiki/Allen_Ginsberg,has theme,Categorization
http://en.wikipedia.org/wiki/United_States_Customs_Service,crime in every state,has effect,Causation
http://en.wikipedia.org/wiki/Columbia_University,Columbia University,has location,Education_teaching
http://en.wikipedia.org/wiki/United_States_Customs_Service,One,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/United_States_Customs_Service,1956,has time,Offenses
http://en.wikipedia.org/wiki/Columbia_University,Columbia University,has location,Political_locales
http://en.wikipedia.org/wiki/Allen_Ginsberg,"militarism, economic materialism and sexual repression",has issue,Taking_sides
http://en.wikipedia.org/wiki/United_States_Customs_Service,vapid innocuous euphemisms,has theme,Cause_change_of_position_on_a_scale
http://en.wikipedia.org/wiki/Anne_Waldman,there,has location,Activity_start
http://en.wikipedia.org/wiki/United_States_Customs_Service,Judge Clayton W. Horn,has theme,Legal_rulings
http://en.wikipedia.org/wiki/United_States_Customs_Service,"Naropa Institute in Boulder, Colorado",has theme,Intentionally_create
http://en.wikipedia.org/wiki/United_States_Customs_Service,1956,has time,Cause_motion
http://en.wikipedia.org/wiki/United_States,what,has item,Categorization
http://en.wikipedia.org/wiki/United_States_Customs_Service,widespread publicity,has theme,Cause_motion
http://en.wikipedia.org/wiki/United_States_Customs_Service,1956,has time,Relative_time
http://en.wikipedia.org/wiki/New_York_City,http://en.wikipedia.org/wiki/Allen_Ginsberg,has theme,Residence
http://en.wikipedia.org/wiki/Columbia_University,Columbia,has theme,Political_locales
http://en.wikipedia.org/wiki/William_MacDonald_(Christian_author),William MacDonald serial killer ,has theme,Grasp
http://en.wikipedia.org/wiki/United_States_Customs_Service,"that "" Howl "" was not obscene",has theme,Legal_rulings
http://en.wikipedia.org/wiki/United_States_Customs_Service,one,has agent,Cause_change_of_position_on_a_scale
http://en.wikipedia.org/wiki/United_States_Customs_Service,his vocabulary,has attribute,Cause_change_of_position_on_a_scale
http://en.wikipedia.org/wiki/New_York_City,his clothing,has goods,Commerce_buy
http://en.wikipedia.org/wiki/Allen_Ginsberg,http://en.wikipedia.org/wiki/Buddhism,has religion,People_by_religion
http://en.wikipedia.org/wiki/Americans,1926,has time,Text
http://en.wikipedia.org/wiki/Allen_Ginsberg,vigorously,has degree,Taking_sides
http://en.wikipedia.org/wiki/New_York_City,apartments in New York City's East Village,has location,Residence
http://en.wikipedia.org/wiki/United_States_Customs_Service,number,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/Peter_Orlovsky,http://en.wikipedia.org/wiki/Allen_Ginsberg,has type,Medical_professionals
http://en.wikipedia.org/wiki/Anne_Waldman,Jack Kerouac School of Disembodied Poetics,has activity,Activity_start
http://en.wikipedia.org/wiki/Allen_Ginsberg,core of the Beat Generation,has theme,Creating
http://en.wikipedia.org/wiki/Columbia_University,1940s,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/United_States_Customs_Service,laws,has law,Law
http://en.wikipedia.org/wiki/William_MacDonald_(Christian_author),poet and writer,has entity,Origin
http://en.wikipedia.org/wiki/United_States_Customs_Service,men,has theme,Quantified_mass
http://en.wikipedia.org/wiki/United_States,forces of capitalism and conformity in the United States,has cause,Destroying
http://en.wikipedia.org/wiki/Allen_Ginsberg,1926,has time,Text
http://en.wikipedia.org/wiki/United_States_Customs_Service,heterosexual and homosexual sex,has theme,Text
http://en.wikipedia.org/wiki/Buddhism,extensively,has degree,Scrutiny
http://en.wikipedia.org/wiki/United_States_Customs_Service,"http://en.wikipedia.org/wiki/Boulder,_Colorado",has location,Subjective_influence
http://en.wikipedia.org/wiki/William_MacDonald_(Christian_author),http://en.wikipedia.org/wiki/Americans,has theme,Origin
http://en.wikipedia.org/wiki/Anne_Waldman,Ginsberg and poet Anne Waldman,has agent,Activity_start
http://en.wikipedia.org/wiki/Americans,businessman,has entity,Origin
http://en.wikipedia.org/wiki/United_States_Customs_Service,sodomy,has type,Law
http://en.wikipedia.org/wiki/United_States_Customs_Service,Howl,has theme,Duplication
http://en.wikipedia.org/wiki/United_States_Customs_Service,disciplines,has theme,Artifact
http://en.wikipedia.org/wiki/Allen_Ginsberg,"his poem "" Howl ",has reason,Fame
http://en.wikipedia.org/wiki/New_York_City,New York City's East Village,has location,Building_subparts
http://en.wikipedia.org/wiki/Allen_Ginsberg,drugs,has theme,Opinion
http://en.wikipedia.org/wiki/United_States_Customs_Service,obscenity trial,has theme,Relative_time
http://en.wikipedia.org/wiki/United_States_Customs_Service,male homosexual,has theme,Offenses
http://en.wikipedia.org/wiki/United_States_Customs_Service,men,has theme,Inclusion
http://en.wikipedia.org/wiki/Americans,poet and writer,has entity,Origin
