Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Argentina,uses,has class,Increment
http://en.wikipedia.org/wiki/Cape_Verde,politician,has person,People_by_vocation
http://en.wikipedia.org/wiki/Jorge_Luis_Borges,1921,has time,Publishing
http://en.wikipedia.org/wiki/Buenos_Aires,1914,has time,Relative_time
http://en.wikipedia.org/wiki/The_Aleph_(short_story_collection),Scholars,has speaker,Statement
http://en.wikipedia.org/wiki/Jorge_Luis_Borges,publishing his poems and essays in surrealist literary journals,has activity,Activity_start
http://en.wikipedia.org/wiki/The_Aleph_(short_story_collection),several,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/English_studies,1955,has time,Education_teaching
http://en.wikipedia.org/wiki/The_Aleph_(short_story_collection),http://en.wikipedia.org/wiki/Jorge_Luis_Borges,has theme,Assistance
http://en.wikipedia.org/wiki/Jorge_Luis_Borges,1921,has time,Arriving
http://en.wikipedia.org/wiki/Jorge_Luis_Borges,Borges himself,has theme,Expertise
http://en.wikipedia.org/wiki/Jorge_Luis_Borges,his poems and essays,has work,Publishing
http://en.wikipedia.org/wiki/English_studies,University of Buenos Aires,has institution,Education_teaching
http://en.wikipedia.org/wiki/The_Aleph_(short_story_collection),international,has theme,Attention
http://en.wikipedia.org/wiki/The_Aleph_(short_story_collection),Borges's works,has theme,Objective_influence
http://en.wikipedia.org/wiki/English_studies,http://en.wikipedia.org/wiki/Jorge_Luis_Borges,has teacher,Education_teaching
http://en.wikipedia.org/wiki/The_Aleph_(short_story_collection),stories,has theme,Duration_description
http://en.wikipedia.org/wiki/New_York_Public_Library,1961,has time,Receiving
http://en.wikipedia.org/wiki/The_Aleph_(short_story_collection),Latin,has theme,Origin
http://en.wikipedia.org/wiki/The_Aleph_(short_story_collection),1955,has time,Appointing
http://en.wikipedia.org/wiki/The_Aleph_(short_story_collection),http://en.wikipedia.org/wiki/The_Aleph_(short_story),has text,Text
http://en.wikipedia.org/wiki/Buenos_Aires,moved with his family to Switzerland in 1914,has theme,Relative_time
