Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Emily_Brontë,Their house,has theme,Openness
http://en.wikipedia.org/wiki/West_Riding_of_Yorkshire,"http://en.wikipedia.org/wiki/Thornton,_West_Yorkshire",has location,Political_locales
"http://en.wikipedia.org/wiki/Charlotte,_North_Carolina",book of poetry with her sisters Charlotte and Anne,has entity,Being_named
http://en.wikipedia.org/wiki/Elizabeth_Branwell,children,has theme,Abandonment
http://en.wikipedia.org/wiki/Emily_Brontë,sister,has theme,Kinship
http://en.wikipedia.org/wiki/Brussels,teacher,has teacher,Education_teaching
http://en.wikipedia.org/wiki/Brussels,chores,has goal,Assistance
http://en.wikipedia.org/wiki/Haworth,intervals,has theme,Frequency
http://en.wikipedia.org/wiki/Haworth,home,has location,Education_teaching
http://en.wikipedia.org/wiki/Brussels,school,has event,Frequency
http://en.wikipedia.org/wiki/Emily_Brontë,1847,has theme,Text
http://en.wikipedia.org/wiki/Emily_Brontë,Emily Bront,has theme,Death
http://en.wikipedia.org/wiki/Emily_Brontë,aged 30,has theme,Death
http://en.wikipedia.org/wiki/Irish_people,family,has theme,Kinship
http://en.wikipedia.org/wiki/Wuthering_Heights,into adulthood,has time,Surviving
http://en.wikipedia.org/wiki/Wuthering_Heights,fifth,has theme,Partitive
http://en.wikipedia.org/wiki/Emily_Brontë,Emily Bront,has person,Being_born
http://en.wikipedia.org/wiki/Wuthering_Heights,four,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/Haworth,http://en.wikipedia.org/wiki/Emily_Brontë,has theme,Experiencer_focus
http://en.wikipedia.org/wiki/Brussels,books,has theme,Education_teaching
http://en.wikipedia.org/wiki/Anne_Brontë,Poems,has text,Text
http://en.wikipedia.org/wiki/Wuthering_Heights,Her mother,has theme,Death
http://en.wikipedia.org/wiki/Emily_Brontë,Bront,has theme,Kinship
http://en.wikipedia.org/wiki/West_Riding_of_Yorkshire,"outskirts of Bradford, in the West Riding of Yorkshire",has theme,Political_locales
http://en.wikipedia.org/wiki/Haworth,books,has text,Text
http://en.wikipedia.org/wiki/Penzance,wealthy Penzance merchant and property owner,has theme,Kinship
http://en.wikipedia.org/wiki/Brussels,herself,has student,Education_teaching
http://en.wikipedia.org/wiki/Elizabeth_Branwell,sister,has theme,Kinship
http://en.wikipedia.org/wiki/Emily_Brontë,owner,has owner,Possession
http://en.wikipedia.org/wiki/Haworth,her siblings,has theme,Social_connection
http://en.wikipedia.org/wiki/Wuthering_Heights,that the characters in Wuthering Heights were coarse and immoral,has opinion,Opinion
http://en.wikipedia.org/wiki/Emily_Brontë,http://en.wikipedia.org/wiki/Charlotte_Brontë,has theme,Kinship
http://en.wikipedia.org/wiki/Brussels,family,has theme,People_by_vocation
http://en.wikipedia.org/wiki/Haworth,home,has theme,Buildings
http://en.wikipedia.org/wiki/England,now,has time,Categorization
http://en.wikipedia.org/wiki/Brussels,chores,has task,Being_employed
"http://en.wikipedia.org/wiki/Thornton,_West_Yorkshire",Riding of Yorkshire,has theme,Part_orientational
http://en.wikipedia.org/wiki/Emily_Brontë,"http://en.wikipedia.org/wiki/Thornton,_West_Yorkshire",has location,Kinship
http://en.wikipedia.org/wiki/West_Riding_of_Yorkshire,Bront family,has theme,Residence
http://en.wikipedia.org/wiki/Emily_Brontë,house,has theme,Buildings
http://en.wikipedia.org/wiki/Brussels,period,has theme,Duration_description
http://en.wikipedia.org/wiki/Emily_Brontë,30 July 1818,has time,Being_born
http://en.wikipedia.org/wiki/Wuthering_Heights,adulthood,has person,People_by_age
http://en.wikipedia.org/wiki/Haworth,children,has theme,Kinship
http://en.wikipedia.org/wiki/Brussels,period,has theme,Frequency
http://en.wikipedia.org/wiki/Emily_Brontë,"six Bront siblings, four of whom survived into adulthood",has theme,Part_whole
http://en.wikipedia.org/wiki/Emily_Brontë,Her work,has work,Publishing
http://en.wikipedia.org/wiki/Emily_Brontë,"Emily Bront died in 1848, aged 30,",has event,Time_vector
"http://en.wikipedia.org/wiki/Charlotte,_North_Carolina","Poems by Currer, Ellis and Acton Bell",has theme,Being_named
http://en.wikipedia.org/wiki/Emily_Brontë,piano,has theme,Performers_and_roles
"http://en.wikipedia.org/wiki/Thornton,_West_Yorkshire",outskirts of Bradford,has theme,Spatial_contact
http://en.wikipedia.org/wiki/Wuthering_Heights,Bront siblings,has entity,Cardinal_numbers
http://en.wikipedia.org/wiki/Emily_Brontë,public,has theme,Openness
http://en.wikipedia.org/wiki/Haworth,three,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/Emily_Brontë,http://en.wikipedia.org/wiki/Brussels,has location,Performers_and_roles
http://en.wikipedia.org/wiki/Emily_Brontë,under the pen name Ellis Bell,has theme,Publishing
http://en.wikipedia.org/wiki/Brussels,books,has text,Text
http://en.wikipedia.org/wiki/Penzance,Penzance merchant and property owner,has person,Wealthiness
http://en.wikipedia.org/wiki/Brussels,student,has student,Education_teaching
"http://en.wikipedia.org/wiki/Thornton,_West_Yorkshire",Street,has theme,Roadways
http://en.wikipedia.org/wiki/Emily_Brontë,property,has theme,Possession
"http://en.wikipedia.org/wiki/Charlotte,_North_Carolina","as solitary, strong-willed and nonconforming, with a keen love of nature and animals",has message,Statement
http://en.wikipedia.org/wiki/Haworth,classic,has theme,Type
http://en.wikipedia.org/wiki/Anne_Brontë,"Currer, Ellis and Acton Bell",has author,Text
http://en.wikipedia.org/wiki/England,be a classic of English literature,has category,Categorization
http://en.wikipedia.org/wiki/Wuthering_Heights,book,has text,Text
http://en.wikipedia.org/wiki/Emily_Brontë,sisters,has theme,Kinship
http://en.wikipedia.org/wiki/Haworth,considered to be a classic of English literature,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Wuthering_Heights,four of whom,has theme,Surviving
http://en.wikipedia.org/wiki/Emily_Brontë,now,has time,Openness
http://en.wikipedia.org/wiki/Emily_Brontë,as the Bront Birthplace,has theme,Being_named
http://en.wikipedia.org/wiki/Haworth,keen,has degree,Experiencer_focus
http://en.wikipedia.org/wiki/Emily_Brontë,originally,has time,Publishing
http://en.wikipedia.org/wiki/West_Riding_of_Yorkshire,"http://en.wikipedia.org/wiki/Thornton,_West_Yorkshire",has location,Interior_profile_relation
http://en.wikipedia.org/wiki/Haworth,novel,has text,Text
http://en.wikipedia.org/wiki/West_Riding_of_Yorkshire,village,has theme,Political_locales
http://en.wikipedia.org/wiki/Emily_Brontë,open to the public,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Emily_Brontë,year,has theme,Time_vector
http://en.wikipedia.org/wiki/Haworth,http://en.wikipedia.org/wiki/Emily_Brontë,has theme,Social_connection
http://en.wikipedia.org/wiki/England,literature,has entity,Origin
http://en.wikipedia.org/wiki/Wuthering_Heights,many critics,has theme,Opinion
http://en.wikipedia.org/wiki/Haworth,http://en.wikipedia.org/wiki/Emily_Brontë,has student,Education_teaching
http://en.wikipedia.org/wiki/Wuthering_Heights,whom,has entity,Cardinal_numbers
http://en.wikipedia.org/wiki/Brussels,family,has theme,Kinship
http://en.wikipedia.org/wiki/Market_Street_(San_Francisco),"http://en.wikipedia.org/wiki/Thornton,_West_Yorkshire",has location,Interior_profile_relation
http://en.wikipedia.org/wiki/Emily_Brontë,siblings,has theme,Kinship
http://en.wikipedia.org/wiki/Emily_Brontë,Their house,has entity,Being_named
http://en.wikipedia.org/wiki/Brussels,servant,has person,People_by_vocation
http://en.wikipedia.org/wiki/Elizabeth_Branwell,"care of their aunt, Elizabeth Branwell",has theme,Abandonment
http://en.wikipedia.org/wiki/Wuthering_Heights,generally,has degree,Judgment
http://en.wikipedia.org/wiki/Emily_Brontë,family,has theme,Kinship
http://en.wikipedia.org/wiki/Haworth,nature and animals,has theme,Experiencer_focus
http://en.wikipedia.org/wiki/England,novel,has item,Categorization
http://en.wikipedia.org/wiki/Emily_Brontë,http://en.wikipedia.org/wiki/Wuthering_Heights,has text,Text
http://en.wikipedia.org/wiki/Haworth,school,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Haworth,school,has event,Frequency
http://en.wikipedia.org/wiki/Emily_Brontë,"Maria Branwell, the daughter of a wealthy Penzance merchant and property owner, and Patrick Bront, a curate from an impoverished Irish family",has theme,Being_born
http://en.wikipedia.org/wiki/Tim_Green,http://en.wikipedia.org/wiki/Haworth,has theme,Create_representation
http://en.wikipedia.org/wiki/Wuthering_Heights,poetry,has theme,Text
http://en.wikipedia.org/wiki/Emily_Brontë,Emily Bront,has entity,Age
http://en.wikipedia.org/wiki/Emily_Brontë,30,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Haworth,"her father, Patrick Bront, who was the curate of Haworth",has teacher,Education_teaching
http://en.wikipedia.org/wiki/Haworth,sister,has entity,Age
http://en.wikipedia.org/wiki/Market_Street_(San_Francisco),Bront family lived,has theme,Spatial_contact
http://en.wikipedia.org/wiki/Emily_Brontë,mother,has theme,Kinship
http://en.wikipedia.org/wiki/Emily_Brontë,year,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Brussels,school,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Emily_Brontë,http://en.wikipedia.org/wiki/Brussels,has location,Kinship
http://en.wikipedia.org/wiki/Market_Street_(San_Francisco),"http://en.wikipedia.org/wiki/Thornton,_West_Yorkshire",has location,Spatial_contact
http://en.wikipedia.org/wiki/Wuthering_Heights,"six Bront siblings, four of whom survived into adulthood",has group,Partitive
http://en.wikipedia.org/wiki/Haworth,English literature,has category,Type
http://en.wikipedia.org/wiki/England,literature,has theme,Fields
http://en.wikipedia.org/wiki/West_Riding_of_Yorkshire,village on the outskirts of Bradford,has theme,Interior_profile_relation
http://en.wikipedia.org/wiki/Wuthering_Heights,poetry,has text,Text
http://en.wikipedia.org/wiki/Anne_Brontë,little books and journals depicting imaginary worlds,has text,Text_creation
"http://en.wikipedia.org/wiki/Charlotte,_North_Carolina",her sister Charlotte,has speaker,Statement
http://en.wikipedia.org/wiki/Market_Street_(San_Francisco),"Thornton, a village on the outskirts of Bradford, in the West Riding of Yorkshire",has theme,Interior_profile_relation
"http://en.wikipedia.org/wiki/Thornton,_West_Yorkshire",Market,has theme,Roadways
http://en.wikipedia.org/wiki/Brussels,http://en.wikipedia.org/wiki/Emily_Brontë,has theme,Assistance
