subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/World_War_I,Text:has_text,poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/Elijah_Cummings,Text:has_author,http://en.wikipedia.org/wiki/E._E._Cummings,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Cardinal_numbers:has_entity,plays,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Publishing:has_time,as i—six nonlectures (1953,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Duration_description:has_time,1965,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Categorization:has_category,as various ways of stripping the film of familiarity from language to strip the film of familiarity from the world,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Enormous_Room,Cause_motion:has_theme,"avant-garde, experimental poems",0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Publishing:has_work,Charles Eliot Norton Lectures in poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/Elijah_Cummings,Reference_text:has_time,1962,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Being_employed:has_time,During World War I,0.9,Unknown,True
http://en.wikipedia.org/wiki/E._E._Cummings,Text:has_location,http://en.wikipedia.org/wiki/United_States,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Calendric_unit:has_theme,20th,0.9,Unknown,True
http://en.wikipedia.org/wiki/Elijah_Cummings,Text_creation:has_time,1933,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Origin:has_entity,poets,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Means:has_means,ways,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Text:has_text,poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Text:has_author,author,0.9,Unknown,True
http://en.wikipedia.org/wiki/Elijah_Cummings,Text_creation:has_author,"Edward Estlin Cummings (October 14, 1894 – September 3, 1962 )",0.9,Unknown,True
http://en.wikipedia.org/wiki/Randall_Jarrell,Statement:has_speaker,poet Randall Jarrell,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Enormous_Room,Removing:has_theme,film of familiarity,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Using:has_purpose,poetic expression,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Aggregate:has_theme,short stories,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Enormous_Room,Delivery:has_theme,"Charles Eliot Norton Lectures in poetry, published as i—six nonlectures (1953",0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Publishing:has_time,posthumously,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Text:has_time,1933,0.9,Unknown,True
http://en.wikipedia.org/wiki/Elijah_Cummings,Being_named:has_theme,as e e cummings or E. E. Cummings,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Success_or_failure:has_time,1927,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Enormous_Room,Removing:has_theme,world,0.9,Unknown,True
http://en.wikipedia.org/wiki/Elijah_Cummings,Labor_product:has_agent,http://en.wikipedia.org/wiki/E._E._Cummings,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Calendric_unit:has_theme,following,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Give_impression:has_theme,"have felt,",0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Political_locales:has_theme,world,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Temporal_collocation:has_theme,experiments with grammar and typography,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Cause_change:has_entity,world,0.9,Unknown,True
http://en.wikipedia.org/wiki/Elijah_Cummings,Text_creation:has_author,http://en.wikipedia.org/wiki/E._E._Cummings,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Categorization:has_item,Cummings's inventions,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Success_or_failure:has_agent,four plays,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Means:has_purpose,stripping the film of familiarity from language to strip the film of familiarity from the world,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Origin:has_entity,author,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Publishing:has_time,following year,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Being_employed:has_position,as an ambulance driver,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Aggregate:has_theme,poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Intentionally_create:has_theme,"avant-garde, experimental poems so attractive to the general and the special reader",0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Origin:has_time,1962,0.9,Unknown,True
http://en.wikipedia.org/wiki/Elijah_Cummings,Text_creation:has_text,"four plays, the most successful of which were HIM (1927) and Santa Claus : A Morality (1946",0.9,Unknown,True
http://en.wikipedia.org/wiki/E._E._Cummings,Text:has_time,1962,0.9,Unknown,True
http://en.wikipedia.org/wiki/Elijah_Cummings,Labor_product:has_theme,work,0.9,Unknown,True
http://en.wikipedia.org/wiki/Elijah_Cummings,Separating:has_agent,http://en.wikipedia.org/wiki/E._E._Cummings,0.9,Unknown,True
http://en.wikipedia.org/wiki/Randall_Jarrell,Statement:has_message,"No one else has ever made avant-garde, experimental poems so attractive to the general and the special reader",0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Publishing:has_theme,http://en.wikipedia.org/wiki/E._E._Cummings,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Enormous_Room,Delivery:has_theme,http://en.wikipedia.org/wiki/E._E._Cummings,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Cognitive_connection:has_theme,http://en.wikipedia.org/wiki/E._E._Cummings,0.9,Unknown,True
http://en.wikipedia.org/wiki/Randall_Jarrell,Text:has_text,poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Text:has_time,1962,0.9,Unknown,True
http://en.wikipedia.org/wiki/Elijah_Cummings,Text_creation:has_time,1962,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Text:has_theme,modernist,0.9,Unknown,True
http://en.wikipedia.org/wiki/Elijah_Cummings,Being_named:has_time,1962,0.9,Unknown,True
http://en.wikipedia.org/wiki/Elijah_Cummings,Being_named:has_entity,"Edward Estlin Cummings (October 14, 1894 – September 3, 1962)",0.9,Unknown,True
http://en.wikipedia.org/wiki/Elijah_Cummings,Text_creation:has_time,1927,0.9,Unknown,True
http://en.wikipedia.org/wiki/E._E._Cummings,Text_creation:has_text,"approximately 2,900 poems",0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Cardinal_numbers:has_theme,four,0.9,Unknown,True
http://en.wikipedia.org/wiki/E._E._Cummings,Text:has_text,poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Political_locales:has_theme,poetic,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Intentionally_create:has_creator,No one else,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Relative_time:has_theme,year,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Cognitive_connection:has_theme,modernist free-form poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Text:has_theme,"avant-garde, experimental",0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Aggregate:has_time,1965,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Publishing:has_work,"his first collection of poetry, Tulips and Chimneys, which showed his early experiments with grammar and typography",0.9,Unknown,True
http://en.wikipedia.org/wiki/Elijah_Cummings,Separating:has_theme,atom of the cute commonplace,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Encoding:has_message,poetic,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Using:has_theme,conventional,0.9,Unknown,True
http://en.wikipedia.org/wiki/Elijah_Cummings,Successful_action:has_theme,http://en.wikipedia.org/wiki/E._E._Cummings,0.9,Unknown,True
