subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Amnesty_International,Text:has_time,1997,0.9,Unknown,True
http://en.wikipedia.org/wiki/J._K._Rowling,Being_named:has_theme,J. K. Rowling,0.9,Unknown,True
http://en.wikipedia.org/wiki/Amnesty_International,Text:has_text,novel,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harry_Potter,Text:has_text,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Amnesty_International,Aggregate:has_theme,imitators,0.9,Unknown,True
http://en.wikipedia.org/wiki/J._K._Rowling,Categorization:has_category,as conventional,0.9,Unknown,True
http://en.wikipedia.org/wiki/Amnesty_International,Ordinal_numbers:has_type,novel,0.9,Unknown,True
http://en.wikipedia.org/wiki/Amnesty_International,Publishing:has_time,1997,0.9,Unknown,True
http://en.wikipedia.org/wiki/J._K._Rowling,Personal_relationship:has_time,1997,0.9,Unknown,True
http://en.wikipedia.org/wiki/Amnesty_International,Ordinal_numbers:has_time,1997,0.9,Unknown,True
http://en.wikipedia.org/wiki/Amnesty_International,Cause_to_resume:has_process,fantasy as a genre in the children's market,0.9,Unknown,True
http://en.wikipedia.org/wiki/J._K._Rowling,Being_born:has_location,"Yate, Gloucestershire",0.9,Unknown,True
http://en.wikipedia.org/wiki/Harry_Potter,Text:has_author,"British author and philanthropist (born 1965 ) Joanne Rowling ( / r o l / i ROH -ling ; born 31 July 1965 ), better known by her pen name J. K. Rowling",0.9,Unknown,True
http://en.wikipedia.org/wiki/J._K._Rowling,Being_named:has_time,1965,0.9,Unknown,True
http://en.wikipedia.org/wiki/Calluna,Translating:has_theme,into 84 languages,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harry_Potter,Text_creation:has_text,"Harry Potter, a seven-volume series about a young wizard",0.9,Unknown,True
http://en.wikipedia.org/wiki/Amnesty_International,Part_inner_outer:has_theme,themes,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harry_Potter,Frequency:has_theme,languages,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harry_Potter,Inclusion:has_theme,films and video games,0.9,Unknown,True
http://en.wikipedia.org/wiki/Amnesty_International,Quantified_mass:has_quantity,many,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harry_Potter,Publishing:has_work,fantasy novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Amnesty_International,Forming_relationships:has_time,1997,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harry_Potter,Text_creation:has_time,1965,0.9,Unknown,True
http://en.wikipedia.org/wiki/Amnesty_International,Part_inner_outer:has_theme,series,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harry_Potter,Text_creation:has_author,"British author and philanthropist (born 1965) Joanne Rowling ( / r o l / i ROH -ling ; born 31 July 1965 ), better known by her pen name J. K. Rowling",0.9,Unknown,True
http://en.wikipedia.org/wiki/J._K._Rowling,Text:has_text,writing,0.9,Unknown,True
http://en.wikipedia.org/wiki/Amnesty_International,Locale_by_use:has_theme,school,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harry_Potter,Text:has_time,1965,0.9,Unknown,True
http://en.wikipedia.org/wiki/Amnesty_International,Relative_time:has_theme,that,0.9,Unknown,True
http://en.wikipedia.org/wiki/Amnesty_International,Relative_time:has_theme,Six sequels,0.9,Unknown,True
http://en.wikipedia.org/wiki/J._K._Rowling,Categorization:has_item,Rowling's writing,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harry_Potter,Text:has_location,http://en.wikipedia.org/wiki/United_Kingdom,0.9,Unknown,True
http://en.wikipedia.org/wiki/Amnesty_International,Cause_to_resume:has_cause,series,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harry_Potter,Inclusion:has_theme,global media franchise,0.9,Unknown,True
http://en.wikipedia.org/wiki/Amnesty_International,Frequency:has_theme,period,0.9,Unknown,True
http://en.wikipedia.org/wiki/J._K._Rowling,Text_creation:has_time,1965,0.9,Unknown,True
http://en.wikipedia.org/wiki/J._K._Rowling,Kinship:has_theme,mother,0.9,Unknown,True
http://en.wikipedia.org/wiki/J._K._Rowling,Categorization:has_theme,Many reviewers,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harry_Potter,Individual_history:has_theme,history,0.9,Unknown,True
http://en.wikipedia.org/wiki/Amnesty_International,Categorization:has_category,as regressive,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harry_Potter,Discussion:has_theme,over the Harry Potter series,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harry_Potter,Publishing:has_time,1997 to 2007,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harry_Potter,Text:has_text,novelist,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harry_Potter,Causation:has_effect,"death of her mother, the birth of her first child, divorce from her first husband, and relative poverty until the first novel in the series, Harry Potter and the Philosopher's Stone, was published in 1997",0.9,Unknown,True
