Source,Target,Label,Frame
http://en.wikipedia.org/wiki/The_Lord_of_the_Rings,his wartime radio broadcasts on the subject of Christianity,has cause,Causation
http://en.wikipedia.org/wiki/University_of_Oxford,English faculty at the University of Oxford,has theme,Being_incarcerated
http://en.wikipedia.org/wiki/University_of_Oxford,four years,has theme,Time_vector
http://en.wikipedia.org/wiki/Isle_of_Lewis,Lewis's,has author,Text
http://en.wikipedia.org/wiki/The_Lord_of_the_Rings,age of 45,has time,Death
http://en.wikipedia.org/wiki/Isle_of_Lewis,memoir Surprised by Joy,has text,Text
http://en.wikipedia.org/wiki/University_of_Oxford,his work,has theme,Objective_influence
http://en.wikipedia.org/wiki/Theology,http://en.wikipedia.org/wiki/Church_of_England,has knowledge,Expertise
http://en.wikipedia.org/wiki/University_of_Oxford,45,has age,Age
"http://en.wikipedia.org/wiki/Magdalen_College,_Oxford",Oxford literary group,has theme,Social_event
http://en.wikipedia.org/wiki/University_of_Oxford,she died of cancer,has event,Time_vector
"http://en.wikipedia.org/wiki/Magdalen_College,_Oxford",his non-fiction Christian apologetics,has theme,Inclusion
"http://en.wikipedia.org/wiki/Magdalen_College,_Oxford",works of fiction,has class,Increment
http://en.wikipedia.org/wiki/Coolock_parish_(Church_of_Ireland),"he was baptized in the Church of Ireland, but fell away from his faith during adolescence",has theme,Attributed_information
http://en.wikipedia.org/wiki/Isle_of_Lewis,1955,has theme,Text
http://en.wikipedia.org/wiki/C._S._Lewis,as the author of The Chronicles of Narnia,has reason,Fame
http://en.wikipedia.org/wiki/University_of_Oxford,1956,has time,Time_vector
http://en.wikipedia.org/wiki/University_of_Oxford,years,has theme,Measure_duration
http://en.wikipedia.org/wiki/C._S._Lewis,"his other works of fiction, such as The Screwtape Letters and The Space Trilogy, and for his non-fiction Christian apologetics, including Mere Christianity, Miracles and The Problem of Pain",has reason,Fame
http://en.wikipedia.org/wiki/University_of_Oxford,which,has theme,Translating
http://en.wikipedia.org/wiki/University_of_Oxford,1956,has time,Age
http://en.wikipedia.org/wiki/Isle_of_Lewis,http://en.wikipedia.org/wiki/Anglicanism,has goal,Arriving
http://en.wikipedia.org/wiki/Cecil_Day-Lewis,1963,has time,Reference_text
http://en.wikipedia.org/wiki/J._R._R._Tolkien,Lord of the Rings,has text,Text_creation
http://en.wikipedia.org/wiki/University_of_Oxford,friends,has class,Increment
http://en.wikipedia.org/wiki/Oxford,group,has theme,Aggregate
http://en.wikipedia.org/wiki/University_of_Oxford,64,has age,Age
http://en.wikipedia.org/wiki/University_of_Oxford,1963,has time,Age
http://en.wikipedia.org/wiki/The_Lord_of_the_Rings,http://en.wikipedia.org/wiki/C._S._Lewis,has theme,Causation
http://en.wikipedia.org/wiki/Isle_of_Lewis,friend,has theme,Social_connection
http://en.wikipedia.org/wiki/University_of_Oxford,copies,has theme,Duplication
http://en.wikipedia.org/wiki/University_of_Oxford,acclaim,has item,Cause_expansion
http://en.wikipedia.org/wiki/Isle_of_Lewis,close,has degree,Social_connection
http://en.wikipedia.org/wiki/Isle_of_Lewis,"J. R. R. Tolkien, the author of The Lord of the Rings",has theme,Personal_relationship
http://en.wikipedia.org/wiki/University_of_Oxford,Both men,has theme,Being_incarcerated
http://en.wikipedia.org/wiki/University_of_Oxford,32,has age,Age
http://en.wikipedia.org/wiki/Isle_of_Lewis,American writer Joy Davidman,has theme,Personal_relationship
http://en.wikipedia.org/wiki/University_of_Oxford,men,has person,People
http://en.wikipedia.org/wiki/University_of_Oxford,books,has text,Text
http://en.wikipedia.org/wiki/University_of_Oxford,1956,has time,Medical_conditions
http://en.wikipedia.org/wiki/University_of_Oxford,30,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/Theology,layman,has theme,Expertise
http://en.wikipedia.org/wiki/University_of_Oxford,Tolkien and other friends,has theme,Objective_influence
http://en.wikipedia.org/wiki/University_of_Oxford,1955,has time,People_by_age
http://en.wikipedia.org/wiki/J._R._R._Tolkien,J. R. R. Tolkien,has author,Text_creation
http://en.wikipedia.org/wiki/University_of_Oxford,millions of copies,has theme,Commerce_sell
http://en.wikipedia.org/wiki/Coolock_parish_(Church_of_Ireland),Lewis's 1955 memoir Surprised by Joy,has text,Attributed_information
http://en.wikipedia.org/wiki/The_Lord_of_the_Rings,wide acclaim,has effect,Causation
http://en.wikipedia.org/wiki/University_of_Oxford,http://en.wikipedia.org/wiki/Joy_Davidman,has patient,Medical_conditions
http://en.wikipedia.org/wiki/United_Kingdom,British writer,has author,Text_creation
