Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Three_Kingdoms,"Romance of the Three Kingdoms, another of the Four Great Classical Novels",has text,Text_creation
http://en.wikipedia.org/wiki/Lu_Xun,"name ""Shi Nai'an ",has theme,Achieving_first
http://en.wikipedia.org/wiki/Gé_Korsten,"that the debate over the existence of Shi will "" never lead to a conclusive end",has theme,Coming_to_believe
"http://en.wikipedia.org/wiki/Xinghua,_Jiangsu",investigate,has purpose,Sending
http://en.wikipedia.org/wiki/Shi_Nai'an,reliable,has theme,Source_of_getting
http://en.wikipedia.org/wiki/Shi_Nai'an,debate over the existence of Shi,has cause,Causation
http://en.wikipedia.org/wiki/Chinese_language,writer,has entity,Origin
http://en.wikipedia.org/wiki/Three_Kingdoms,that Shi lived near the end of the Yuan dynasty and that he was a native of Hangzhou,has message,Statement
http://en.wikipedia.org/wiki/Lu_Xun,20th century,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Shi_Nai'an,"http://en.wikipedia.org/wiki/Xinghua,_Jiangsu",has location,Being_named
http://en.wikipedia.org/wiki/Chinese_language,name,has theme,Being_named
http://en.wikipedia.org/wiki/Lu_Xun,novel,has text,Text
http://en.wikipedia.org/wiki/Gé_Korsten,Ge Liangyan,has theme,Coming_to_believe
http://en.wikipedia.org/wiki/Shi_Nai'an,"http://en.wikipedia.org/wiki/Xinghua,_Jiangsu",has location,Being_born
http://en.wikipedia.org/wiki/Classic_Chinese_Novels,Four Great Classical Novels,has class,Increment
http://en.wikipedia.org/wiki/World_War_II,"Xinghua county, Jiangsu",has location,Locating
http://en.wikipedia.org/wiki/Lu_Xun,scholar,has person,People_by_vocation
"http://en.wikipedia.org/wiki/Xinghua,_Jiangsu",team,has theme,Aggregate
http://en.wikipedia.org/wiki/World_War_II,Not even the faintest vestige of Shi Nai'an,has theme,Becoming_aware
http://en.wikipedia.org/wiki/World_War_II,be there,has state,Becoming_aware
http://en.wikipedia.org/wiki/Lu_Xun,early 20th century scholar Lu Xun,has theme,Opinion
http://en.wikipedia.org/wiki/Shi_Nai'an,http://en.wikipedia.org/wiki/Hangzhou,has theme,Indigenous_origin
http://en.wikipedia.org/wiki/World_War_II,World War II,has theme,Time_vector
http://en.wikipedia.org/wiki/World_War_II,memorial tablet bearing Shi's name,has theme,Locating
http://en.wikipedia.org/wiki/Shi_Nai'an,sources for his biography,has information,Trust
http://en.wikipedia.org/wiki/World_War_II,investigator,has item,First_rank
http://en.wikipedia.org/wiki/Three_Kingdoms,Late Ming and early Qing scholars,has speaker,Statement
http://en.wikipedia.org/wiki/Three_Kingdoms,that,has issue,Taking_sides
http://en.wikipedia.org/wiki/World_War_II,chief investigator,has speaker,Statement
http://en.wikipedia.org/wiki/World_War_II,debate over the existence of Shi,has process,Process_end
http://en.wikipedia.org/wiki/Chinese_language,recent Chinese scholar Ge Liangyan,has speaker,Statement
http://en.wikipedia.org/wiki/Lu_Xun,"that the name ""Shi Nai'an "" might have been invented by composers of a later edition of the novel",has opinion,Opinion
http://en.wikipedia.org/wiki/Lu_Xun,novel,has theme,Text
http://en.wikipedia.org/wiki/Three_Kingdoms,http://en.wikipedia.org/wiki/Shi_Nai'an,has teacher,Education_teaching
http://en.wikipedia.org/wiki/Shi_Nai'an,Shi's,has entity,Being_named
http://en.wikipedia.org/wiki/Lu_(state),Lu,has entity,Existence
http://en.wikipedia.org/wiki/World_War_II,Evidence in a family genealogy,has theme,Give_impression
"http://en.wikipedia.org/wiki/Xinghua,_Jiangsu",team of researches,has theme,Sending
http://en.wikipedia.org/wiki/Shi_Nai'an,family,has entity,Being_named
http://en.wikipedia.org/wiki/Classic_Chinese_Novels,"Shuihu zhuan  Water Margin , one of the Four Great Classical Novels of Chinese literature",has evaluee,Judgment
http://en.wikipedia.org/wiki/Three_Kingdoms,http://en.wikipedia.org/wiki/Luo_Guanzhong,has theme,Awareness
http://en.wikipedia.org/wiki/Chinese_language,"that little is known about Luo, and about Shi even less",has message,Statement
http://en.wikipedia.org/wiki/Shi_Nai'an,Shi's name,has person,Being_born
http://en.wikipedia.org/wiki/Shi_Nai'an,"few reliable sources for his biography, much less his literary activity",has entity,Existence
http://en.wikipedia.org/wiki/Lu_Xun,composers of a later edition of the novel,has theme,Achieving_first
http://en.wikipedia.org/wiki/World_War_II,his honour,has theme,Being_named
http://en.wikipedia.org/wiki/Shi_Nai'an,sources,has theme,Source_of_getting
http://en.wikipedia.org/wiki/Classic_Chinese_Novels,Four Great Classical Novels,has entity,Cardinal_numbers
http://en.wikipedia.org/wiki/Shi_Nai'an,few,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/Shi_Nai'an,literary,has theme,Intentionally_act
http://en.wikipedia.org/wiki/World_War_II,affirm his identity,has theme,Give_impression
http://en.wikipedia.org/wiki/Three_Kingdoms,end,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Shi_Nai'an,conclusive end,has effect,Causation
http://en.wikipedia.org/wiki/Lu_Xun,early 20th century,has theme,People_by_vocation
http://en.wikipedia.org/wiki/Lu_Xun,edition,has text,Text
http://en.wikipedia.org/wiki/World_War_II,Not even the faintest vestige of Shi Nai'an was found to be there,has message,Statement
