Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Alexander_Pushkin,era,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Alexander_Pushkin,literature,has theme,Fields
http://en.wikipedia.org/wiki/Africa,15,has age,Age
http://en.wikipedia.org/wiki/Russia,Russian nobility,has theme,Kinship
http://en.wikipedia.org/wiki/Eugene_Onegin,lover,has theme,Unattributed_information
http://en.wikipedia.org/wiki/Russia,poet,has text,Text
http://en.wikipedia.org/wiki/Alexander_Pushkin,Pushkin's,has theme,Kinship
http://en.wikipedia.org/wiki/Alexander_Pushkin,http://en.wikipedia.org/wiki/Russia,has theme,People_by_vocation
http://en.wikipedia.org/wiki/Russia,literature,has entity,Origin
http://en.wikipedia.org/wiki/Africa,poem,has text,Text
http://en.wikipedia.org/wiki/Abram_Petrovich_Gannibal,homeland,has theme,Foreign_or_domestic_country
http://en.wikipedia.org/wiki/Alexander_Pushkin,father,has theme,Kinship
http://en.wikipedia.org/wiki/Alexander_Pushkin,many,has theme,Categorization
http://en.wikipedia.org/wiki/Alexander_Pushkin,modern Russian literature,has theme,Increment
http://en.wikipedia.org/wiki/Eugene_Onegin,husband,has theme,Personal_relationship
http://en.wikipedia.org/wiki/Alexander_Pushkin,publish,has event,Capability
http://en.wikipedia.org/wiki/Africa,maternal,has theme,Kinship
http://en.wikipedia.org/wiki/Alexander_Pushkin,http://en.wikipedia.org/wiki/Russia,has theme,Leadership
http://en.wikipedia.org/wiki/Alexander_Pushkin,family,has theme,Kinship
http://en.wikipedia.org/wiki/Russia,poet,has entity,Origin
http://en.wikipedia.org/wiki/Alexander_Pushkin,his exile by Emperor Alexander I,has effect,Causation
http://en.wikipedia.org/wiki/Alexander_Pushkin,"his controversial poem "" Ode to Liberty ",has text,Text_creation
http://en.wikipedia.org/wiki/Africa,Emperor's court household,has location,Growing_food
http://en.wikipedia.org/wiki/Alexander_Pushkin,into the Russian nobility,has theme,Being_born
http://en.wikipedia.org/wiki/Eugene_Onegin,her sister's,has theme,Personal_relationship
http://en.wikipedia.org/wiki/Russia,family,has theme,Kinship
http://en.wikipedia.org/wiki/Alexander_Pushkin,"his most famous play, Boris Godunov",has text,Text_creation
http://en.wikipedia.org/wiki/Africa,http://en.wikipedia.org/wiki/Alexander_Pushkin,has theme,Publishing
http://en.wikipedia.org/wiki/Alexander_Pushkin,Sergey Lvovich Pushkin,has theme,Kinship
http://en.wikipedia.org/wiki/Alexander_Pushkin,"be the greatest Russian poet, as well as the founder of modern Russian literature",has category,Categorization
http://en.wikipedia.org/wiki/Alexander_Pushkin,verse Eugene Onegin,has theme,Text
http://en.wikipedia.org/wiki/Chevalier_Guard_Regiment,French officer,has theme,Being_incarcerated
http://en.wikipedia.org/wiki/Alexander_Pushkin,mother,has theme,Kinship
http://en.wikipedia.org/wiki/Alexander_Pushkin,ancestry,has theme,Origin
http://en.wikipedia.org/wiki/Alexander_Pushkin,wife,has theme,Personal_relationship
http://en.wikipedia.org/wiki/Alexander_Pushkin,"duel with his wife's alleged lover her sister's husband , Georges-Charles de Heeckeren d'Anthès, also known as Dantes-Gekkern, a French officer serving with the Chevalier Guard Regiment",has theme,Cause_harm
http://en.wikipedia.org/wiki/Abram_Petrovich_Gannibal,Nadezhda Nadya Ossipovna Gannibal,has theme,Kinship
http://en.wikipedia.org/wiki/Alexander_Pushkin,Pushkin disambiguation and Alexander Pushkin disambiguation,has theme,Reference_text
http://en.wikipedia.org/wiki/Alexander_Pushkin,that,has cause,Causation
http://en.wikipedia.org/wiki/Alexander_Pushkin,Ode to Liberty,has text,Text
http://en.wikipedia.org/wiki/Alexander_Pushkin,old noble family,has theme,Possession
http://en.wikipedia.org/wiki/Alexander_Pushkin,fatally,has result,Cause_harm
http://en.wikipedia.org/wiki/Alexander_Pushkin,http://en.wikipedia.org/wiki/Moscow,has location,Being_born
http://en.wikipedia.org/wiki/Eugene_Onegin,"his wife's alleged lover her sister's husband , Georges-Charles de Heeckeren d'Anthès, also known as Dantes-Gekkern, a French officer serving with the Chevalier Guard Regiment",has theme,Hostile_encounter
http://en.wikipedia.org/wiki/Abram_Petrovich_Gannibal,grandmother,has theme,Kinship
http://en.wikipedia.org/wiki/Eugene_Onegin,lover,has theme,Personal_relationship
http://en.wikipedia.org/wiki/Alexander_Pushkin,uses,has class,Increment
http://en.wikipedia.org/wiki/Russia,Russian literature,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Alexander_Pushkin,novel,has text,Text
http://en.wikipedia.org/wiki/Africa,origin,has theme,Origin
http://en.wikipedia.org/wiki/Alexander_Pushkin,noble family,has entity,Age
http://en.wikipedia.org/wiki/Africa,poem,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Alexander_Pushkin,"His father, Sergey Lvovich Pushkin",has owner,Possession
http://en.wikipedia.org/wiki/Eugene_Onegin,his wife's,has theme,Personal_relationship
http://en.wikipedia.org/wiki/Alexander_Pushkin,Romantic,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Alexander_Pushkin,Emperor,has leader,Leadership
http://en.wikipedia.org/wiki/Africa,age of 15,has time,Publishing
http://en.wikipedia.org/wiki/Africa,as his godson,has purpose,Growing_food
http://en.wikipedia.org/wiki/Africa,who,has theme,Growing_food
http://en.wikipedia.org/wiki/Georges-Charles_de_Heeckeren_d'Anthès,as Dantes-Gekkern,has theme,Being_named
http://en.wikipedia.org/wiki/Africa,his first poem,has work,Publishing
http://en.wikipedia.org/wiki/Alexander_Pushkin,Alexander I,has leader,Leadership
http://en.wikipedia.org/wiki/Africa,http://en.wikipedia.org/wiki/Secondary_education_in_France,has institution,Education_teaching
