subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Building_subparts:has_theme,figures,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Quantified_mass:has_theme,books,0.9,Unknown,True
http://en.wikipedia.org/wiki/Isaac_Asimov,Travel:has_theme,space,0.9,Unknown,True
http://en.wikipedia.org/wiki/Isaac_Asimov,System:has_theme,satellite communication,0.9,Unknown,True
http://en.wikipedia.org/wiki/Koneswaram_Temple,Age:has_location,http://en.wikipedia.org/wiki/Trincomalee,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sri_Lanka,Residence:has_theme,http://en.wikipedia.org/wiki/Arthur_C._Clarke,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sri_Lanka,Appointing:has_role,Commander of the Order of the British Empire (CBE),0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_A._Heinlein,Being_named:has_theme,"as the "" Big Three "" of science fiction",0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_C._Clarke,People_by_age:has_time,1934,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_C._Clarke,People_by_age:has_age,teenager,0.9,Unknown,True
http://en.wikipedia.org/wiki/Isaac_Asimov,Temporal_collocation:has_theme,1934,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sri_Lanka,Death:has_theme,http://en.wikipedia.org/wiki/Arthur_C._Clarke,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Type:has_theme,genre,0.9,Unknown,True
http://en.wikipedia.org/wiki/Isaac_Asimov,Emotion_directed:has_theme,scuba diving,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Causation:has_effect,one of the towering figures of the genre,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_C._Clarke,Becoming_aware:has_theme,underwater ruins of the ancient original Koneswaram Temple,0.9,Unknown,True
http://en.wikipedia.org/wiki/Isaac_Asimov,System:has_theme,system,0.9,Unknown,True
http://en.wikipedia.org/wiki/Space_Odyssey,Categorization:has_category,as one of the most influential films of all time,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sri_Lanka,Assistance:has_theme,British cultural interests in Sri Lanka,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Earnings_and_losses:has_theme,"number of Hugo and Nebula awards, which along with a large readership, made him one of the towering figures of the genre",0.9,Unknown,True
http://en.wikipedia.org/wiki/Isaac_Asimov,Continued_state_of_affairs:has_theme,teenager,0.9,Unknown,True
http://en.wikipedia.org/wiki/Space_Odyssey,Categorization:has_time,1968,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Cardinal_numbers:has_entity,towering figures of the genre,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nebula_Award,Quantified_mass:has_theme,Hugo and Nebula awards,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_C._Clarke,Attempt:has_goal,space travel,0.9,Unknown,True
http://en.wikipedia.org/wiki/Isaac_Asimov,Continued_state_of_affairs:has_time,1934,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_C._Clarke,Quitting_a_place:has_time,1956,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_C._Clarke,Quitting_a_place:has_theme,Ceylon (now Sri Lanka),0.9,Unknown,True
http://en.wikipedia.org/wiki/Kalinga_Prize,Receiving:has_theme,"Kalinga Prize, a UNESCO award for popularising science",0.9,Unknown,True
http://en.wikipedia.org/wiki/Isaac_Asimov,Becoming_a_member:has_theme,http://en.wikipedia.org/wiki/Arthur_C._Clarke,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_C._Clarke,Text_creation:has_text,science fiction,0.9,Unknown,True
http://en.wikipedia.org/wiki/Isaac_Asimov,Temporal_collocation:has_time,1934,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Capability:has_entity,futurist,0.9,Unknown,True
http://en.wikipedia.org/wiki/Space_Odyssey,Behind_the_scenes:has_time,1968,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_C._Clarke,Becoming_aware:has_theme,http://en.wikipedia.org/wiki/Trincomalee,0.9,Unknown,True
http://en.wikipedia.org/wiki/Koneswaram_Temple,Age:has_age,ancient,0.9,Unknown,True
http://en.wikipedia.org/wiki/Isaac_Asimov,Measure_duration:has_theme,years,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_C._Clarke,Leadership:has_time,1946,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Desirability:has_theme,magazines,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nebula_Award,Quantified_mass:has_quantity,number,0.9,Unknown,True
http://en.wikipedia.org/wiki/Isaac_Asimov,Emotion_directed:has_theme,http://en.wikipedia.org/wiki/Arthur_C._Clarke,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_C._Clarke,Becoming_aware:has_time,That year,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_A._Heinlein,Being_named:has_entity,"Clarke, Robert Heinlein, and Isaac Asimov",0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_C._Clarke,Reference_text:has_theme,Arthur Clarke (disambiguation),0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Grasp:has_theme,populariser of space travel,0.9,Unknown,True
http://en.wikipedia.org/wiki/Space_Odyssey,Categorization:has_item,2001 : A Space Odyssey,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sri_Lanka,Appointing:has_function,services to British cultural interests in Sri Lanka,0.9,Unknown,True
