subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Mark_Twain,Hearsay:has_message,that,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Becoming:has_theme,much sought-after speaker,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Origin:has_entity,"writer, humorist, and essayist",0.9,Unknown,True
"http://en.wikipedia.org/wiki/Angels_Camp,_California",Proportional_quantity:has_theme,time,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Being_named:has_theme,pen name Mark Twain,0.9,Unknown,True
http://en.wikipedia.org/wiki/Adventures_of_Huckleberry_Finn,Supply:has_theme,which,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nevada,Time_vector:has_theme,Soon,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Kinship:has_theme,American literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Growing_food:has_location,"Hannibal, Missouri",0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Success_or_failure:has_role,as a writer,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Becoming:has_theme,riverboat pilot on the Mississippi River,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Origin:has_entity,author and humorist,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Angels_Camp,_California",First_experience:has_theme,"achieved success as a writer with the humorous story "" The Celebrated Jumping Frog of Calaveras County "" which was published in 1865",0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Hearsay:has_location,"Angels Hotel in Angels Camp, California",0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Political_locales:has_theme,international,0.9,Unknown,True
"http://en.wikipedia.org/wiki/The_Adventures_of_Brisco_County,_Jr.",Age:has_attribute,older,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Creating:has_theme, greatest humorist,0.9,Unknown,True
http://en.wikipedia.org/wiki/Adventures_of_Huckleberry_Finn,Supply:has_theme,setting for both Tom Sawyer and Huckleberry Finn,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Duration_description:has_theme,story,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mississippi_River,Natural_features:has_theme,River,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Being_named:has_time,1910,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Angels_Camp,_California",Proportional_quantity:has_theme,some,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Becoming:has_time,As his fame grew,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nevada,Time_vector:has_event,Twain headed west to join Orion in Nevada,0.9,Unknown,True
"http://en.wikipedia.org/wiki/The_Adventures_of_Brisco_County,_Jr.",Bringing:has_theme,international attention,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nevada,Self_motion:has_theme,http://en.wikipedia.org/wiki/Mark_Twain,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Angels_Camp,_California",Being_employed:has_position,as a miner,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Text:has_author,Twain's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nevada,Self_motion:has_purpose,join Orion in Nevada,0.9,Unknown,True
"http://en.wikipedia.org/wiki/The_Adventures_of_Brisco_County,_Jr.",Referring_by_name:has_theme,Great American Novel,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Topic:has_theme,his lack of success at mining,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Text:has_text,fiction,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Angels_Camp,_California",Being_employed:has_employee,http://en.wikipedia.org/wiki/Mark_Twain,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Expansion:has_item,his fame,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Kinship:has_theme,brother,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nevada,Self_motion:has_theme,west,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Faulkner,Labeling:has_entity,http://en.wikipedia.org/wiki/Mark_Twain,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Angels_Camp,_California",Publishing:has_work,which,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Kinship:has_theme,father,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Reference_text:has_time,1910,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Text:has_text,book,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mississippi_River,Supply:has_recipient,http://en.wikipedia.org/wiki/Mark_Twain,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Possession:has_theme,success at mining,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mississippi_River,Supply:has_theme,material for Life on the Mississippi,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Statement:has_speaker,novelist Ernest Hemingway,0.9,Unknown,True
http://en.wikipedia.org/wiki/Adventures_of_Huckleberry_Finn,Time_vector:has_event,provided the setting for both Tom Sawyer and Huckleberry Finn,0.9,Unknown,True
http://en.wikipedia.org/wiki/Adventures_of_Huckleberry_Finn,Supply:has_location,Hannibal,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Text_creation:has_time,1910,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nevada,Becoming_a_member:has_theme,http://en.wikipedia.org/wiki/Mark_Twain,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Statement:has_message,"that "" All modern American literature comes from one book by Mark Twain called Huckleberry Finn",0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Text_creation:has_text,Connecticut Yankee in King Arthur's Court (1889) and Pudd'nhead Wilson (1894),0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Being_named:has_entity,"Samuel Langhorne Clemens (November 30, 1835 – April 21, 1910)",0.9,Unknown,True
http://en.wikipedia.org/wiki/Nevada,Becoming_a_member:has_group,Orion in Nevada,0.9,Unknown,True
"http://en.wikipedia.org/wiki/The_Adventures_of_Brisco_County,_Jr.",Age:has_entity,brother,0.9,Unknown,True
"http://en.wikipedia.org/wiki/The_Adventures_of_Brisco_County,_Jr.",Bringing:has_goal,http://en.wikipedia.org/wiki/Mark_Twain,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Origin:has_time,1910,0.9,Unknown,True
http://en.wikipedia.org/wiki/Adventures_of_Huckleberry_Finn,Time_vector:has_location,Hannibal,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Text_creation:has_author,author,0.9,Unknown,True
http://en.wikipedia.org/wiki/Adventures_of_Huckleberry_Finn,Time_vector:has_theme,later,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mississippi_River,Supply:has_theme,which,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Text_creation:has_location,"http://en.wikipedia.org/wiki/Angels_Camp,_California",0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Increment:has_class,uses,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Referring_by_name:has_entity,one book by Mark Twain,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nevada,Self_motion:has_time,Soon after,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Success_or_failure:has_goal,mining,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Faulkner,Labeling:has_theme,the father of American literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Text_creation:has_location,http://en.wikipedia.org/wiki/United_States,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Referring_by_name:has_theme,http://en.wikipedia.org/wiki/Adventures_of_Huckleberry_Finn,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Reference_text:has_theme,Mark Twain (disambiguation),0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Becoming:has_time,then,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Inclusion:has_theme,"Adventures of Tom Sawyer (1876) and its sequel, Adventures of Huckleberry Finn (1884 )",0.9,Unknown,True
"http://en.wikipedia.org/wiki/The_Adventures_of_Brisco_County,_Jr.",Bringing:has_agent,short story,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Text:has_text,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Topic:has_theme,humorously,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Inclusion:has_theme,Twain's novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Judgment_communication:has_reason,"as the "" greatest humorist the United States has produced ",0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Text_creation:has_text,both fiction and non-fiction,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Success_or_failure:has_location,"http://en.wikipedia.org/wiki/Angels_Camp,_California",0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Origin:has_entity,literature,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Angels_Camp,_California",Publishing:has_time,1865,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Increment:has_time,1910,0.9,Unknown,True
"http://en.wikipedia.org/wiki/The_Adventures_of_Brisco_County,_Jr.",Referring_by_name:has_entity,latter,0.9,Unknown,True
http://en.wikipedia.org/wiki/Adventures_of_Huckleberry_Finn,Supply:has_time,later,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Text:has_text,articles,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mark_Twain,Text_creation:has_location,King Arthur,0.9,Unknown,True
