subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/George_Orwell,Text:has_text,Nineteen Eighty-Four,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Text_creation:has_time,1903,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Increment:has_class,uses,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Text_creation:has_author,author,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Judgment:has_evaluee,"His non-fiction works, including The Road to Wigan Pier (1937 ), documenting his experience of working-class life in industrial Northern England, and Homage to Catalonia (1938 ), an account of his experiences soldiering for the Republican faction of the Spanish Civil War (1936–1939 )",0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Text_creation:has_theme,under the pen name of George Orwell,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Text_creation:has_time,1903,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Text:has_text,poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Being_born:has_location,"Motihari, Bengal Presidency (now Bihar ), British India",0.9,Unknown,True
http://en.wikipedia.org/wiki/Spanish_Civil_War,Perception_experience:has_time,1937,0.9,Unknown,True
http://en.wikipedia.org/wiki/Motihari,Kinship:has_theme,lower-upper-middle class,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Part_whole:has_theme,part,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Similarity:has_theme,"adjective "" Orwellian ""—describing totalitarian and authoritarian social practices",0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Inclusion:has_theme,Road to Wigan Pier (1937 ),0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Reference_text:has_theme,Orwell (disambiguation),0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Text_creation:has_author,who,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Text:has_text,account,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Practice:has_agent,totalitarian and authoritarian,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Text:has_text,essays,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Text:has_theme,his experiences soldiering for the Republican faction of the Spanish Civil War (1936–1939,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Judgment:has_degree,"as his essays on politics, literature, language and culture",0.9,Unknown,True
http://en.wikipedia.org/wiki/Motihari,Communicate_categorization:has_item,what,0.9,Unknown,True
http://en.wikipedia.org/wiki/Spanish_Civil_War,Perception_experience:has_theme,http://en.wikipedia.org/wiki/George_Orwell,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Text:has_time,1937,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,State_continue:has_entity,Orwell's work,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Times,Appointing:has_theme,Times,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Being_named:has_time,1903,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Locative_relation:has_theme,"Eric Blair "" redirects",0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Objective_influence:has_location,popular culture and in political culture,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Times,Appointing:has_role,second-greatest British writer since 1945,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Manufacturing:has_location,Northern England,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Manufacturing:has_time,1937,0.9,Unknown,True
http://en.wikipedia.org/wiki/Motihari,Kinship:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Text:has_theme,"politics, literature, language and culture",0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Text:has_text,novella Animal Farm (1945),0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Fame:has_reason,his allegorical novella Animal Farm (1945) and the dystopian novel Nineteen Eighty-Four (1949 ),0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Perception_experience:has_theme,working-class life in industrial Northern England,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Taking_sides:has_issue,all totalitarianism (both authoritarian communism and fascism ),0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Practice:has_theme,social,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Locative_relation:has_theme,here,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Objective_influence:has_theme,Orwell's work,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Similarity:has_theme,"many of his neologisms, such as "" Big Brother "", "" Thought Police "", "" Room 101 "", "" Newspeak "", "" memory hole "", "" doublethink "", and "" thoughtcrime ",0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Times,Appointing:has_time,2008,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Fame:has_time,1945,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Inclusion:has_time,1937,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ontario,People_by_vocation:has_person,politician,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Text:has_theme,dystopian,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,State_continue:has_state,influential in popular culture and in political culture,0.9,Unknown,True
http://en.wikipedia.org/wiki/Spanish_Civil_War,Perception_experience:has_theme,soldiering for the Republican faction of the Spanish Civil War,0.9,Unknown,True
http://en.wikipedia.org/wiki/Motihari,Communicate_categorization:has_category,"as a "" lower-upper-middle class",0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Orwell,Desirability:has_theme,culture,0.9,Unknown,True
http://en.wikipedia.org/wiki/Motihari,Kinship:has_time,1903,0.9,Unknown,True
