Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Jude_the_Obscure,best-loved novels,has theme,Scrutiny
http://en.wikipedia.org/wiki/South_West_England,Victorian,has location,Change_position_on_a_scale
http://en.wikipedia.org/wiki/William_Wordsworth,his death,has theme,Relative_time
http://en.wikipedia.org/wiki/William_Wordsworth,Victorian,has location,Locale_by_use
http://en.wikipedia.org/wiki/Jude_the_Obscure,tree,has theme,Motion_directional
http://en.wikipedia.org/wiki/South_West_England,status of rural people in Britain such as those from his native South West England,has theme,Change_position_on_a_scale
http://en.wikipedia.org/wiki/Thomas_Hardy,primarily as a poet,has status,Topic
http://en.wikipedia.org/wiki/Thomas_Hardy,as a mentor,has category,Categorization
http://en.wikipedia.org/wiki/William_Wordsworth,"Two of his novels, Tess of the d'Urbervilles and Far from the Madding Crowd",has theme,Perception_active
http://en.wikipedia.org/wiki/William_Wordsworth,until 1898,has time,Publishing
http://en.wikipedia.org/wiki/Thomas_Hardy,Thomas Hardy disambiguation,has theme,Reference_text
http://en.wikipedia.org/wiki/William_Wordsworth,poets,has entity,Age
http://en.wikipedia.org/wiki/William_Wordsworth,his novels,has entity,Cardinal_numbers
http://en.wikipedia.org/wiki/Thomas_Hardy,1928,has time,Reference_text
http://en.wikipedia.org/wiki/William_Wordsworth,Romanticism,has theme,Inclusion
http://en.wikipedia.org/wiki/William_Wordsworth,his lifetime,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/South_West_England,http://en.wikipedia.org/wiki/Thomas_Hardy,has theme,Judgment
http://en.wikipedia.org/wiki/William_Wordsworth,http://en.wikipedia.org/wiki/Thomas_Hardy,has recipient,Getting
http://en.wikipedia.org/wiki/St_Pancras_Old_Church,gravestones,has goal,Motion
http://en.wikipedia.org/wiki/Thomas_Hardy,uses,has goal,Purpose
http://en.wikipedia.org/wiki/William_Wordsworth,poetry,has text,Text
http://en.wikipedia.org/wiki/Thomas_Hardy,poetry,has text,Text
http://en.wikipedia.org/wiki/St_Pancras_Old_Church,there,has theme,Being_employed
http://en.wikipedia.org/wiki/William_Wordsworth,region,has theme,Locale
http://en.wikipedia.org/wiki/St_Pancras_Old_Church,while Hardy was working there,has time,Motion
http://en.wikipedia.org/wiki/Thomas_Hardy,poems,has text,Text
http://en.wikipedia.org/wiki/Thomas_Hardy,"both in his novels and in his poetry by Romanticism, including the poetry of William Wordsworth",has entity,Subjective_influence
http://en.wikipedia.org/wiki/Ezra_Pound,his poems,has theme,Judgment_communication
http://en.wikipedia.org/wiki/William_Wordsworth,rural,has theme,People
http://en.wikipedia.org/wiki/South_West_England,highly,has degree,Judgment
