subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Alexander_Pushkin,Calendric_unit:has_theme,era,0.9,Unknown,True
http://en.wikipedia.org/wiki/Alexander_Pushkin,Fields:has_theme,literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Africa,Age:has_age,15,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Kinship:has_theme,Russian nobility,0.9,Unknown,True
http://en.wikipedia.org/wiki/Eugene_Onegin,Unattributed_information:has_theme,lover,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Text:has_text,poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/Alexander_Pushkin,Kinship:has_theme,Pushkin's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Alexander_Pushkin,People_by_vocation:has_theme,http://en.wikipedia.org/wiki/Russia,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Origin:has_entity,literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Africa,Text:has_text,poem,0.9,Unknown,True
http://en.wikipedia.org/wiki/Abram_Petrovich_Gannibal,Foreign_or_domestic_country:has_theme,homeland,0.9,Unknown,True
http://en.wikipedia.org/wiki/Alexander_Pushkin,Kinship:has_theme,father,0.9,Unknown,True
http://en.wikipedia.org/wiki/Alexander_Pushkin,Categorization:has_theme,many,0.9,Unknown,True
http://en.wikipedia.org/wiki/Alexander_Pushkin,Increment:has_theme,modern Russian literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Eugene_Onegin,Personal_relationship:has_theme,husband,0.9,Unknown,True
http://en.wikipedia.org/wiki/Alexander_Pushkin,Capability:has_event,publish,0.9,Unknown,True
http://en.wikipedia.org/wiki/Africa,Kinship:has_theme,maternal,0.9,Unknown,True
http://en.wikipedia.org/wiki/Alexander_Pushkin,Leadership:has_theme,http://en.wikipedia.org/wiki/Russia,0.9,Unknown,True
http://en.wikipedia.org/wiki/Alexander_Pushkin,Kinship:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Origin:has_entity,poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/Alexander_Pushkin,Causation:has_effect,his exile by Emperor Alexander I,0.9,Unknown,True
http://en.wikipedia.org/wiki/Alexander_Pushkin,Text_creation:has_text,"his controversial poem "" Ode to Liberty ",0.9,Unknown,True
http://en.wikipedia.org/wiki/Africa,Growing_food:has_location,Emperor's court household,0.9,Unknown,True
http://en.wikipedia.org/wiki/Alexander_Pushkin,Being_born:has_theme,into the Russian nobility,0.9,Unknown,True
http://en.wikipedia.org/wiki/Eugene_Onegin,Personal_relationship:has_theme,her sister's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Kinship:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Alexander_Pushkin,Text_creation:has_text,"his most famous play, Boris Godunov",0.9,Unknown,True
http://en.wikipedia.org/wiki/Africa,Publishing:has_theme,http://en.wikipedia.org/wiki/Alexander_Pushkin,0.9,Unknown,True
