Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Moscow,foreign,has theme,Foreign_or_domestic_country
http://en.wikipedia.org/wiki/Saint_Petersburg,critical of Tsarist Russia,has theme,Text
http://en.wikipedia.org/wiki/Moscow,age,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/The_Raw_Youth,tuberculosis,has theme,Death
http://en.wikipedia.org/wiki/Fyodor_Dostoevsky,around the same time,has time,Departing
http://en.wikipedia.org/wiki/Fyodor_Dostoevsky,as one of the greatest novelists in both Russian and world literature,has category,Categorization
http://en.wikipedia.org/wiki/Fyodor_Dostoevsky,literature,has text,Text
http://en.wikipedia.org/wiki/The_Raw_Youth,"His Notes from Underground, a novella published in 1864",has item,Categorization
http://en.wikipedia.org/wiki/Saint_Petersburg,compulsory military service in exile,has process,Measure_duration
http://en.wikipedia.org/wiki/Saint_Petersburg,books,has text,Text
http://en.wikipedia.org/wiki/Fyodor_Dostoevsky,mid-1840s,has time,Text_creation
http://en.wikipedia.org/wiki/Fyodor_Dostoevsky,His most acclaimed novels,has theme,Inclusion
http://en.wikipedia.org/wiki/Saint_Petersburg,literary,has theme,Aggregate
http://en.wikipedia.org/wiki/Fyodor_Dostoevsky,highly influential masterpieces,has category,Categorization
http://en.wikipedia.org/wiki/Saint_Petersburg,"belonging to a literary group, the Petrashevsky Circle, that discussed banned books critical of Tsarist Russia",has theme,Arrest
http://en.wikipedia.org/wiki/Saint_Petersburg,novel,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Fyodor_Dostoevsky,school,has theme,Departing
http://en.wikipedia.org/wiki/Military_Engineering-Technical_University,later,has time,Name_conferral
http://en.wikipedia.org/wiki/Saint_Petersburg,six,has theme,Measure_duration
http://en.wikipedia.org/wiki/Fyodor_Dostoevsky,http://en.wikipedia.org/wiki/Moscow,has location,Text_creation
http://en.wikipedia.org/wiki/Fyodor_Dostoevsky,authors,has author,Text_creation
http://en.wikipedia.org/wiki/Saint_Petersburg,circles,has theme,Aggregate
http://en.wikipedia.org/wiki/Fyodor_Dostoevsky,"Crime and Punishment 1866 , The Idiot 1869, Demons 1872 , The Adolescent 1875 and The Brothers Karamazov 1880",has theme,Inclusion
http://en.wikipedia.org/wiki/Fyodor_Dostoevsky,Nikolayev Military Engineering Institute later renamed the Military Engineering-Technical University,has group,Becoming_a_member
http://en.wikipedia.org/wiki/Fyodor_Dostoevsky,as an engineer,has position,Being_employed
http://en.wikipedia.org/wiki/Crime_and_Punishment,books,has text,Text
http://en.wikipedia.org/wiki/Fyodor_Dostoevsky,highly,has degree,Subjective_influence
http://en.wikipedia.org/wiki/Fyodor_Dostoevsky,"His Notes from Underground, a novella",has work,Publishing
http://en.wikipedia.org/wiki/Saint_Petersburg,group,has theme,Aggregate
http://en.wikipedia.org/wiki/Fyodor_Dostoevsky,graduating,has theme,Time_vector
