subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Leaves_of_Grass,Frequency:has_event,focused on both loss and healing,0.9,Unknown,True
http://en.wikipedia.org/wiki/Leaves_of_Grass,Emphasizing:has_theme,often,0.9,Unknown,True
http://en.wikipedia.org/wiki/Leaves_of_Grass,Aggregate:has_theme,collection,0.9,Unknown,True
http://en.wikipedia.org/wiki/Walt_Whitman,Residence:has_location,http://en.wikipedia.org/wiki/Brooklyn,0.9,Unknown,True
http://en.wikipedia.org/wiki/Walt_Whitman,Activity_ongoing:has_activity,expanding and revising Leaves of Grass until his death in 1892,0.9,Unknown,True
http://en.wikipedia.org/wiki/Walt_Whitman,Categorization:has_item,which,0.9,Unknown,True
http://en.wikipedia.org/wiki/Walt_Whitman,Judgment:has_degree,greatly,0.9,Unknown,True
http://en.wikipedia.org/wiki/Walt_Whitman,Kinship:has_theme,free verse,0.9,Unknown,True
http://en.wikipedia.org/wiki/Leaves_of_Grass,Education_teaching:has_level,formal,0.9,Unknown,True
http://en.wikipedia.org/wiki/Leaves_of_Grass,Education_teaching:has_teacher,teacher,0.9,Unknown,True
http://en.wikipedia.org/wiki/Leaves_of_Grass,Money:has_theme,money,0.9,Unknown,True
http://en.wikipedia.org/wiki/Leaves_of_Grass,Being_employed:has_employee,http://en.wikipedia.org/wiki/Walt_Whitman,0.9,Unknown,True
http://en.wikipedia.org/wiki/Walt_Whitman,Categorization:has_category,as obscene,0.9,Unknown,True
http://en.wikipedia.org/wiki/Leaves_of_Grass,Improvement_or_decline:has_degree,further,0.9,Unknown,True
http://en.wikipedia.org/wiki/Walt_Whitman,Cardinal_numbers:has_theme,two,0.9,Unknown,True
http://en.wikipedia.org/wiki/Leaves_of_Grass,Cause_harm:has_theme,wounded,0.9,Unknown,True
http://en.wikipedia.org/wiki/Leaves_of_Grass,Time_vector:has_theme,suffering a stroke towards the end of his life,0.9,Unknown,True
