Source,Target,Label,Frame
http://en.wikipedia.org/wiki/The_Hollow_Men,http://en.wikipedia.org/wiki/T._S._Eliot,has recipient,Receiving
http://en.wikipedia.org/wiki/Saint_Petersburg,http://en.wikipedia.org/wiki/T._S._Eliot,has employee,Being_employed
http://en.wikipedia.org/wiki/Henry_Ware_Eliot,Hydraulic-Press Brick Company in St. Louis,has theme,Leadership
http://en.wikipedia.org/wiki/Saint_Petersburg,there,has theme,Being_employed
http://en.wikipedia.org/wiki/Ash_Wednesday,children,has theme,Surviving
http://en.wikipedia.org/wiki/Saint_Petersburg,St,has location,Roadways
http://en.wikipedia.org/wiki/Ash_Wednesday,Literature,has location,Text
http://en.wikipedia.org/wiki/T._S._Eliot,"his critical essays, which often re-evaluated long-held cultural beliefs",has reason,Fame
http://en.wikipedia.org/wiki/T._S._Eliot,cultural,has theme,Opinion
http://en.wikipedia.org/wiki/Saint_Petersburg,1914,has time,Kinship
http://en.wikipedia.org/wiki/T._S._Eliot,Thomas Eliot disambiguation,has theme,Reference_text
http://en.wikipedia.org/wiki/T._S._Eliot,"seven plays, including Murder in the Cathedral 1935 and The Cocktail Party 1949",has text,Text_creation
http://en.wikipedia.org/wiki/William_Greenleaf_Eliot,"Eliot's paternal grandfather, William Greenleaf Eliot",has theme,Motion
http://en.wikipedia.org/wiki/T._S._Eliot,other people,has entity,Being_named
http://en.wikipedia.org/wiki/Ash_Wednesday,1935,has time,Inclusion
http://en.wikipedia.org/wiki/Saint_Petersburg,his life,has process,Measure_duration
http://en.wikipedia.org/wiki/The_Love_Song_of_J._Alfred_Prufrock," The Love Song of J. Alfred Prufrock "" 1915 , which",has item,Categorization
http://en.wikipedia.org/wiki/T._S._Eliot,poetry,has text,Text
http://en.wikipedia.org/wiki/U.S._Route_52_in_Iowa,St,has location,Locative_relation
http://en.wikipedia.org/wiki/T._S._Eliot,English,has location,First_rank
http://en.wikipedia.org/wiki/The_Love_Song_of_J._Alfred_Prufrock,1915,has time,Text
http://en.wikipedia.org/wiki/Saint_Petersburg,"His father, Henry Ware Eliot,",has employee,Employing
http://en.wikipedia.org/wiki/Ash_Wednesday,Literature,has location,Giving
http://en.wikipedia.org/wiki/Saint_Petersburg,years,has theme,Measure_duration
http://en.wikipedia.org/wiki/The_Love_Song_of_J._Alfred_Prufrock, The Love Song of J. Alfred Prufrock,has theme,Attention
http://en.wikipedia.org/wiki/Boston_Brahmin,http://en.wikipedia.org/wiki/England,has location,Kinship
http://en.wikipedia.org/wiki/Saint_Petersburg,"Waste Land 1922 , "" The Hollow Men "" 1925 , "" Ash Wednesday "" 1930 , and Four Quartets 1943",has theme,Relative_time
http://en.wikipedia.org/wiki/Boston_Brahmin,Eliots,has theme,Kinship
http://en.wikipedia.org/wiki/T._S._Eliot,people,has class,Increment
http://en.wikipedia.org/wiki/T._S._Eliot,English,has location,Craft
http://en.wikipedia.org/wiki/Unitarianism,Unitarian Christian,has type,Buildings
http://en.wikipedia.org/wiki/Saint_Petersburg,St,has location,Age
http://en.wikipedia.org/wiki/T._S._Eliot,his American citizenship,has theme,Renunciation
http://en.wikipedia.org/wiki/The_Hollow_Men,1948 Nobel Prize in Literature,has theme,Receiving
http://en.wikipedia.org/wiki/Missouri,"attracted widespread attention for "" The Love Song of J. Alfred Prufrock "" 1915",has theme,First_experience
http://en.wikipedia.org/wiki/Ash_Wednesday,Murder in the Cathedral 1935 and The Cocktail Party 1949,has theme,Inclusion
http://en.wikipedia.org/wiki/Saint_Petersburg,1914,has time,Being_employed
http://en.wikipedia.org/wiki/Saint_Petersburg,St,has location,Kinship
http://en.wikipedia.org/wiki/T._S._Eliot,house on Locust Street where he was born,has theme,Residence
http://en.wikipedia.org/wiki/T._S._Eliot,English-language Modernist,has theme,Text
http://en.wikipedia.org/wiki/T._S._Eliot,art,has activity,Craft
http://en.wikipedia.org/wiki/Saint_Petersburg,St,has location,Employing
http://en.wikipedia.org/wiki/The_Hollow_Men,"his outstanding, pioneer contribution to present-day poetry",has theme,Receiving
http://en.wikipedia.org/wiki/United_States,businessman,has person,Personal_success
http://en.wikipedia.org/wiki/T._S._Eliot,1927,has time,Renunciation
http://en.wikipedia.org/wiki/T._S._Eliot,age of 25,has time,Motion
http://en.wikipedia.org/wiki/T._S._Eliot,essays,has theme,Judgment_communication
http://en.wikipedia.org/wiki/Missouri,39,has age,Age
http://en.wikipedia.org/wiki/The_Hollow_Men,Literature,has location,Receiving
http://en.wikipedia.org/wiki/T._S._Eliot,1965,has time,Reference_text
http://en.wikipedia.org/wiki/Ash_Wednesday,who,has author,Text_creation
http://en.wikipedia.org/wiki/Unitarianism,church,has theme,Buildings
http://en.wikipedia.org/wiki/Saint_Petersburg,16,has theme,Measure_duration
http://en.wikipedia.org/wiki/Ash_Wednesday,children,has theme,Kinship
http://en.wikipedia.org/wiki/The_Love_Song_of_J._Alfred_Prufrock,1915,has time,Attention
http://en.wikipedia.org/wiki/Saint_Petersburg,St,has location,Ordinal_numbers
http://en.wikipedia.org/wiki/U.S._Route_52_in_Iowa,http://en.wikipedia.org/wiki/T._S._Eliot,has theme,Locative_relation
http://en.wikipedia.org/wiki/Saint_Petersburg,25,has age,Age
http://en.wikipedia.org/wiki/Saint_Petersburg,Boston Brahmin,has theme,Kinship
http://en.wikipedia.org/wiki/William_Greenleaf_Eliot,"St. Louis, Missouri",has goal,Motion
http://en.wikipedia.org/wiki/T._S._Eliot,1965,has time,People
http://en.wikipedia.org/wiki/Missouri,1927,has time,Age
http://en.wikipedia.org/wiki/Saint_Petersburg,St,has location,Measure_duration
http://en.wikipedia.org/wiki/T._S._Eliot,1965,has time,Text
http://en.wikipedia.org/wiki/Ash_Wednesday,1948,has time,Giving
http://en.wikipedia.org/wiki/T._S._Eliot,figure,has item,First_rank
http://en.wikipedia.org/wiki/T._S._Eliot,English,has location,Using
http://en.wikipedia.org/wiki/Ash_Wednesday,friends,has theme,Personal_relationship
http://en.wikipedia.org/wiki/Ash_Wednesday,new,has age,Age
http://en.wikipedia.org/wiki/T._S._Eliot,maternal,has theme,Kinship
http://en.wikipedia.org/wiki/T._S._Eliot,1915,has time,Cause_motion
http://en.wikipedia.org/wiki/Boston_Brahmin,Boston Brahmin,has theme,Kinship
http://en.wikipedia.org/wiki/Saint_Petersburg,St,has location,Being_employed
http://en.wikipedia.org/wiki/Ash_Wednesday,family,has theme,Kinship
http://en.wikipedia.org/wiki/Saint_Petersburg,Street,has theme,Roadways
http://en.wikipedia.org/wiki/T._S._Eliot,mother,has theme,Kinship
http://en.wikipedia.org/wiki/T._S._Eliot,1965,has time,Increment
http://en.wikipedia.org/wiki/T._S._Eliot,as Tom,has theme,Being_named
http://en.wikipedia.org/wiki/T._S._Eliot,"St. Louis, Missouri, United States",has location,Being_born
http://en.wikipedia.org/wiki/T._S._Eliot,St,has location,Personal_relationship
http://en.wikipedia.org/wiki/T._S._Eliot,British subject,has theme,Becoming
http://en.wikipedia.org/wiki/T._S._Eliot,people,has person,People
http://en.wikipedia.org/wiki/T._S._Eliot,there,has theme,Personal_relationship
http://en.wikipedia.org/wiki/Ash_Wednesday,1948,has time,Text
http://en.wikipedia.org/wiki/The_Hollow_Men,1948,has time,Receiving
http://en.wikipedia.org/wiki/Ash_Wednesday,present-day poetry,has recipient,Giving
http://en.wikipedia.org/wiki/T._S._Eliot,English,has location,Text
http://en.wikipedia.org/wiki/T._S._Eliot,1914,has time,Personal_relationship
http://en.wikipedia.org/wiki/T._S._Eliot,St,has location,Motion
http://en.wikipedia.org/wiki/T._S._Eliot,language,has instrument,Using
