subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Thomas_Hardy,Ordinal_numbers:has_type,child,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Text_creation:has_text,few English novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Age:has_entity,man,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Personal_relationship:has_theme,http://en.wikipedia.org/wiki/George_Eliot,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Eliot,Increment:has_class,uses,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Temporal_collocation:has_theme,"George Eliot married her long-time friend John Cross, a man much younger than she, and changed her name to Mary Ann Cross",0.9,Unknown,True
http://en.wikipedia.org/wiki/Middlemarch,Death:has_theme,who,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Mill_on_the_Floss,Kinship:has_location,March,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Eliot,Personal_relationship:has_theme,husband,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jake_Jervis,Kinship:has_theme,children,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Increment:has_theme,another,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Time_vector:has_event,"George Eliot married her long-time friend John Cross, a man much younger than she, and changed her name to Mary Ann Cross",0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Mill_on_the_Floss,Kinship:has_theme,local mill-owner,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jake_Jervis,Abandonment:has_theme,live with another man and have children with him,0.9,Unknown,True
http://en.wikipedia.org/wiki/Freetown_Christiania,Being_named:has_theme,Pearson,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middlemarch,Death:has_location,March,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Eliot,Cause_change:has_entity,her name,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Text:has_author,English,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Completeness:has_location,March,0.9,Unknown,True
http://en.wikipedia.org/wiki/Daniel_Deronda,Text:has_text,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,People:has_age,much younger than she,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Text_creation:has_theme,grown-up people,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jake_Jervis,Personal_relationship:has_theme,"his wife, Agnes Jervis",0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Eliot,Reference_text:has_theme,George Eliot (disambiguation,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Increment:has_class,man,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Completeness:has_theme,siblings,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Eliot,Kinship:has_theme,siblings,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Temporal_collocation:has_theme,May 1880,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Personal_relationship:has_theme,long-time,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Residence:has_theme,http://en.wikipedia.org/wiki/George_Eliot,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Eliot,Being_named:has_theme,name,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Quantified_mass:has_location,March,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Eliot,Departing:has_theme,provincial England,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Eliot,Kinship:has_location,March,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Mill_on_the_Floss,Kinship:has_theme,brothers,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Eliot,Kinship:has_theme,brothers,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Age:has_degree,much,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Measure_duration:has_theme,few,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Mill_on_the_Floss,Kinship:has_theme,daughter,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Eliot,Simple_naming:has_theme,her husband,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jake_Jervis,State_continue:has_state,"married to his wife, Agnes Jervis",0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Relative_time:has_theme,Jervis left him to live with another man and have children with him,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Eliot,Text:has_text,writers,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Woolf,Statement:has_speaker,novelist Virginia Woolf,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Quantified_mass:has_quantity,few,0.9,Unknown,True
http://en.wikipedia.org/wiki/Charles_Dickens,Similarity:has_theme,http://en.wikipedia.org/wiki/George_Eliot,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Eliot,Purpose:has_goal,uses,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Fame:has_reason,"their realism, psychological insight, sense of place, and detailed depiction of the countryside",0.9,Unknown,True
http://en.wikipedia.org/wiki/Freetown_Christiania,Being_named:has_location,March,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Eliot,People_by_age:has_age,third,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Eliot,Forming_relationships:has_theme,her long-time friend John Cross,0.9,Unknown,True
http://en.wikipedia.org/wiki/Daniel_Deronda,Cardinal_numbers:has_theme,seven,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Eliot,Forming_relationships:has_time,eighteen months after Lewes's death,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Text:has_text,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Eliot,Text:has_theme,Victorian era,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Woolf,Statement:has_theme,http://en.wikipedia.org/wiki/Middlemarch,0.9,Unknown,True
http://en.wikipedia.org/wiki/Freetown_Christiania,Being_named:has_entity,Christiana Evans,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Death:has_theme,Lewes's,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Eliot,Cause_change:has_theme,Mary Ann Cross,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Eliot,Labor_product:has_theme,works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Residence:has_theme,married George Henry Lewes,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Eliot,People_by_age:has_theme,"Robert Evans (1773–1849), manager of the Arbury Hall estate, and Christiana Evans ( née Pearson, 1788–1836), daughter of a local mill-owner",0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Eliot,Being_named:has_theme,her pen name George Eliot,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Evans,People_by_vocation:has_theme,Arbury Hall estate,0.9,Unknown,True
http://en.wikipedia.org/wiki/Charles_Dickens,Similarity:has_theme,Charles Dickens and Thomas Hardy,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Eliot,Simple_naming:has_entity,http://en.wikipedia.org/wiki/George_Henry_Lewes,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Mill_on_the_Floss,Kinship:has_theme,twin,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,People:has_person,man,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Quantified_mass:has_theme,days,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Age:has_age,younger,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jake_Jervis,Personal_relationship:has_theme,Agnes Jervis,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Woolf,Text:has_author,Virginia Woolf,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Placing:has_theme,most of her works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Daniel_Deronda,Cardinal_numbers:has_entity,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Fame:has_entity,Her works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Relative_time:has_theme,"He remained married to his wife, Agnes Jervis, and supported their children",0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Placing:has_goal,there,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Evans,People_by_vocation:has_person,Robert Evans (1773–1849),0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Residence:has_theme,another man,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Eliot,Text_creation:has_text,"seven novels : Adam Bede (1859 ), The Mill on the Floss (1860 ), Silas Marner (1861 ), Romola (1862–1863), Felix Holt, the Radical (1866 ), Middlemarch (1871–1872) and Daniel Deronda (1876",0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Measure_duration:has_theme,days,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Calendric_unit:has_theme,era,0.9,Unknown,True
http://en.wikipedia.org/wiki/George_Eliot,Being_born:has_location,South Farm on the Arbury Hall estate,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Ordinal_numbers:has_theme,"Robert Evans (1773–1849), manager of the Arbury Hall estate, and Christiana Evans ( née Pearson, 1788–1836), daughter of a local mill-owner",0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Hardy,Measure_duration:has_location,March,0.9,Unknown,True
http://en.wikipedia.org/wiki/Freetown_Christiania,Being_named:has_theme,as Chrissey (1814–1859),0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Woolf,Statement:has_message,as the greatest novel in the English language,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middlemarch,Death:has_time,few days after birth in March 1821,0.9,Unknown,True
