subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/The_Hollow_Men,Receiving:has_recipient,http://en.wikipedia.org/wiki/T._S._Eliot,0.9,Unknown,True
http://en.wikipedia.org/wiki/Saint_Petersburg,Being_employed:has_employee,http://en.wikipedia.org/wiki/T._S._Eliot,0.9,Unknown,True
http://en.wikipedia.org/wiki/Henry_Ware_Eliot,Leadership:has_theme,Hydraulic-Press Brick Company in St. Louis,0.9,Unknown,True
http://en.wikipedia.org/wiki/Saint_Petersburg,Being_employed:has_theme,there,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ash_Wednesday,Surviving:has_theme,children,0.9,Unknown,True
http://en.wikipedia.org/wiki/Saint_Petersburg,Roadways:has_location,St,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ash_Wednesday,Text:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/T._S._Eliot,Fame:has_reason,"his critical essays, which often re-evaluated long-held cultural beliefs",0.9,Unknown,True
http://en.wikipedia.org/wiki/T._S._Eliot,Opinion:has_theme,cultural,0.9,Unknown,True
http://en.wikipedia.org/wiki/Saint_Petersburg,Kinship:has_time,1914,0.9,Unknown,True
http://en.wikipedia.org/wiki/T._S._Eliot,Reference_text:has_theme,Thomas Eliot (disambiguation),0.9,Unknown,True
http://en.wikipedia.org/wiki/T._S._Eliot,Text_creation:has_text,"seven plays, including Murder in the Cathedral (1935) and The Cocktail Party (1949",0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Greenleaf_Eliot,Motion:has_theme,"Eliot's paternal grandfather, William Greenleaf Eliot",0.9,Unknown,True
http://en.wikipedia.org/wiki/T._S._Eliot,Being_named:has_entity,other people,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ash_Wednesday,Inclusion:has_time,1935,0.9,Unknown,True
http://en.wikipedia.org/wiki/Saint_Petersburg,Measure_duration:has_process,his life,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Love_Song_of_J._Alfred_Prufrock,Categorization:has_item," The Love Song of J. Alfred Prufrock "" (1915 ), which",0.9,Unknown,True
http://en.wikipedia.org/wiki/T._S._Eliot,Text:has_text,poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/U.S._Route_52_in_Iowa,Locative_relation:has_location,St,0.9,Unknown,True
http://en.wikipedia.org/wiki/T._S._Eliot,First_rank:has_location,English,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Love_Song_of_J._Alfred_Prufrock,Text:has_time,1915,0.9,Unknown,True
http://en.wikipedia.org/wiki/Saint_Petersburg,Employing:has_employee,"His father, Henry Ware Eliot,",0.9,Unknown,True
http://en.wikipedia.org/wiki/Ash_Wednesday,Giving:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Saint_Petersburg,Measure_duration:has_theme,years,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Love_Song_of_J._Alfred_Prufrock,Attention:has_theme, The Love Song of J. Alfred Prufrock,0.9,Unknown,True
http://en.wikipedia.org/wiki/Boston_Brahmin,Kinship:has_location,http://en.wikipedia.org/wiki/England,0.9,Unknown,True
http://en.wikipedia.org/wiki/Saint_Petersburg,Relative_time:has_theme,"Waste Land (1922 ), "" The Hollow Men "" (1925 ), "" Ash Wednesday "" (1930 ), and Four Quartets (1943",0.9,Unknown,True
http://en.wikipedia.org/wiki/Boston_Brahmin,Kinship:has_theme,Eliots,0.9,Unknown,True
http://en.wikipedia.org/wiki/T._S._Eliot,Increment:has_class,people,0.9,Unknown,True
http://en.wikipedia.org/wiki/T._S._Eliot,Craft:has_location,English,0.9,Unknown,True
http://en.wikipedia.org/wiki/Unitarianism,Buildings:has_type,Unitarian Christian,0.9,Unknown,True
http://en.wikipedia.org/wiki/Saint_Petersburg,Age:has_location,St,0.9,Unknown,True
http://en.wikipedia.org/wiki/T._S._Eliot,Renunciation:has_theme,his American citizenship,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Hollow_Men,Receiving:has_theme,1948 Nobel Prize in Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Missouri,First_experience:has_theme,"attracted widespread attention for "" The Love Song of J. Alfred Prufrock "" (1915",0.9,Unknown,True
http://en.wikipedia.org/wiki/Ash_Wednesday,Inclusion:has_theme,Murder in the Cathedral (1935) and The Cocktail Party (1949,0.9,Unknown,True
http://en.wikipedia.org/wiki/Saint_Petersburg,Being_employed:has_time,1914,0.9,Unknown,True
http://en.wikipedia.org/wiki/Saint_Petersburg,Kinship:has_location,St,0.9,Unknown,True
http://en.wikipedia.org/wiki/T._S._Eliot,Residence:has_theme,house on Locust Street where he was born,0.9,Unknown,True
