Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,his home,has purpose,Alternatives
http://en.wikipedia.org/wiki/Luo_Guanzhong,people's lives in Shandong,has theme,Awareness
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,http://en.wikipedia.org/wiki/Shandong,has location,Certainty
http://en.wikipedia.org/wiki/Luo_Guanzhong,during the Ming dynasty,has time,Residence
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,some people,has theme,Certainty
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,citation,has theme,Being_necessary
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,1364,has time,Make_acquaintance
http://en.wikipedia.org/wiki/China,citations,has role,Adducing
http://en.wikipedia.org/wiki/Luo_Guanzhong,sources,has theme,Source_of_getting
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,"other possibilities for his home, also including Hangzhou and Jiangnan",has theme,Statement
http://en.wikipedia.org/wiki/China,This article,has theme,Verification
http://en.wikipedia.org/wiki/China,2017,has time,Being_named
http://en.wikipedia.org/wiki/China,sources,has information,Trust
http://en.wikipedia.org/wiki/China,name,has theme,Being_named
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,Yuan,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/China,This article,has theme,Have_as_requirement
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,"Dongyuan, the province of Shandong",has location,Being_born
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,"that If Luo Ben came from Taiyuan, why he had intimate knowledge of people's lives in Shandong, and he had taken all his time and energy to write about them, and not about people in Taiyuan",has theme,Certainty
http://en.wikipedia.org/wiki/Luo_Guanzhong,his courtesy name Guanzhong,has theme,Being_named
http://en.wikipedia.org/wiki/Luo_Guanzhong,http://en.wikipedia.org/wiki/Shandong,has location,Statement
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,http://en.wikipedia.org/wiki/Luo_Guanzhong,has theme,Make_acquaintance
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,possibility,has class,Increment
http://en.wikipedia.org/wiki/Luo_Guanzhong,sources,has theme,Locating
http://en.wikipedia.org/wiki/Luo_Guanzhong,name,has theme,Being_named
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,possibilities,has theme,Alternatives
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,late Yuan dynasty and early Ming dynasty,has location,Residence
http://en.wikipedia.org/wiki/Dongping_County,location,has theme,Locale
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,late,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/China,Unsourced,has theme,Substance
http://en.wikipedia.org/wiki/Luo_Guanzhong,2017,has time,Source_of_getting
http://en.wikipedia.org/wiki/Luo_Guanzhong,Luo Ben,has theme,Arriving
http://en.wikipedia.org/wiki/Luo_Guanzhong,family,has entity,Being_named
http://en.wikipedia.org/wiki/Luo_Guanzhong,how and when to remove this message,has skill,Education_teaching
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,that Luo Guanzhong is the author of Three Kingdoms,has theme,Evidence
http://en.wikipedia.org/wiki/Luo_Guanzhong,hometown,has theme,Being_named
http://en.wikipedia.org/wiki/China,literature,has theme,Fields
http://en.wikipedia.org/wiki/Luo_Guanzhong,"Romance of the Three Kingdoms, one of the Four Great Classical Novels of Chinese literature",has text,Text_creation
http://en.wikipedia.org/wiki/China,additional citations,has theme,Have_as_requirement
http://en.wikipedia.org/wiki/Luo_Guanzhong,Luo Ben,has entity,Being_named
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,Literary historians,has speaker,Statement
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,province,has theme,Political_locales
http://en.wikipedia.org/wiki/Luo_Guanzhong,who,has theme,Residence
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,possibilities for his home,has class,Increment
http://en.wikipedia.org/wiki/Luo_Guanzhong,pedigree of the Luo family,has means,Verification
http://en.wikipedia.org/wiki/Luo_Guanzhong,Guanzhong,has theme,Being_named
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,that he had met him in 1364,has message,Statement
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,Dongyuan,has location,Increment
http://en.wikipedia.org/wiki/Luo_Guanzhong,his pseudonym Huhai Sanren,has theme,Being_named
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,Meng Fanren  citation needed   ,has speaker,Attributed_information
http://en.wikipedia.org/wiki/Luo_Guanzhong,http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,has theme,Leadership
