Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Elizabeth_II,http://en.wikipedia.org/wiki/Agatha_Christie,has theme,Causation
http://en.wikipedia.org/wiki/Agatha_Christie,Styles,has location,Success_or_failure
http://en.wikipedia.org/wiki/Agatha_Christie,"poisons that featured in many of her novels, short stories, and plays",has theme,Awareness
http://en.wikipedia.org/wiki/Agatha_Christie,literature,has recipient,Giving
http://en.wikipedia.org/wiki/Agatha_Christie,West End of London,has location,Intentionally_act
http://en.wikipedia.org/wiki/Agatha_Christie,days,has theme,Measure_duration
http://en.wikipedia.org/wiki/Agatha_Christie,Christie,has person,Being_born
http://en.wikipedia.org/wiki/England,English author,has entity,Fame
http://en.wikipedia.org/wiki/Agatha_Christie,"Mysterious Affair at Styles, featuring detective Hercule Poirot",has work,Publishing
http://en.wikipedia.org/wiki/Agatha_Christie,story,has theme,Duration_description
http://en.wikipedia.org/wiki/Agatha_Christie,husband,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Agatha_Christie,1926,has time,Transition_to_state
http://en.wikipedia.org/wiki/Agatha_Christie,1976,has time,Being_named
http://en.wikipedia.org/wiki/Agatha_Christie,Styles,has location,Undergo_change
http://en.wikipedia.org/wiki/Agatha_Christie,world,has theme,Political_locales
http://en.wikipedia.org/wiki/Agatha_Christie,short story,has theme,Aggregate
http://en.wikipedia.org/wiki/Agatha_Christie,1976,has time,Aggregate
http://en.wikipedia.org/wiki/Agatha_Christie,1926,has time,Measure_duration
http://en.wikipedia.org/wiki/Agatha_Christie,1920,has time,Compatibility
http://en.wikipedia.org/wiki/Agatha_Christie,1976,has time,Text
http://en.wikipedia.org/wiki/Agatha_Christie,mother,has theme,Kinship
http://en.wikipedia.org/wiki/Agatha_Christie,more than two billion copies,has theme,Commerce_sell
http://en.wikipedia.org/wiki/England,article,has text,Text
http://en.wikipedia.org/wiki/Agatha_Christie,fiction,has text,Text
http://en.wikipedia.org/wiki/Agatha_Christie,Styles,has location,Text_creation
http://en.wikipedia.org/wiki/England,"her 66 detective novels and 14 short story collections, particularly those revolving around fictional detectives Hercule Poirot and Miss Marple",has reason,Fame
http://en.wikipedia.org/wiki/Elizabeth_II,Dame DBE,has effect,Causation
http://en.wikipedia.org/wiki/Agatha_Christie,hospital,has theme,Buildings
http://en.wikipedia.org/wiki/Agatha_Christie,two,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/Agatha_Christie,1914,has time,Ordinal_numbers
http://en.wikipedia.org/wiki/Agatha_Christie,Agatha Christie disambiguation,has theme,Reference_text
http://en.wikipedia.org/wiki/Agatha_Christie,her novels,has theme,Quantified_mass
http://en.wikipedia.org/wiki/Agatha_Christie,since 1952,has theme,Intentionally_act
http://en.wikipedia.org/wiki/Agatha_Christie,world,has theme,Hostile_encounter
http://en.wikipedia.org/wiki/Archie_Christie,child,has theme,Kinship
http://en.wikipedia.org/wiki/England,1976,has time,Text
http://en.wikipedia.org/wiki/Agatha_Christie,six novels,has text,Text_creation
http://en.wikipedia.org/wiki/Agatha_Christie,detective,has theme,Text
http://en.wikipedia.org/wiki/Agatha_Christie,1952,has time,Text_creation
http://en.wikipedia.org/wiki/Agatha_Christie,"1920 when The Mysterious Affair at Styles, featuring detective Hercule Poirot, was published",has time,Undergo_change
http://en.wikipedia.org/wiki/Agatha_Christie,novels,has text,Text
http://en.wikipedia.org/wiki/Elizabeth_II,Queen Elizabeth II,has cause,Causation
http://en.wikipedia.org/wiki/Agatha_Christie,poisons,has theme,Toxic_substance
