Source,Target,Label,Frame
http://en.wikipedia.org/wiki/William_Faulkner,Yoknapatawpha County,has location,Text_creation
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,two Nobel laureates,has theme,Giving
http://en.wikipedia.org/wiki/Southern_United_States_literature,http://en.wikipedia.org/wiki/United_States,has theme,Origin
http://en.wikipedia.org/wiki/University_of_Mississippi,year,has theme,Relative_time
http://en.wikipedia.org/wiki/Southern_United_States_literature,literature,has theme,Part_orientational
http://en.wikipedia.org/wiki/The_Sound_and_the_Fury,http://en.wikipedia.org/wiki/Pulitzer_Prize_for_Fiction,has prize,Win_prize
http://en.wikipedia.org/wiki/Ernest_Hemingway,Ernest Hemingway's,has author,Text
http://en.wikipedia.org/wiki/Southern_United_States_literature,American literature,has text,Text_creation
http://en.wikipedia.org/wiki/William_Faulkner,Faulkner's,has entity,Fame
http://en.wikipedia.org/wiki/University_of_Mississippi,following publication of Malcolm Cowley's The Portable Faulkner,has time,Change_position_on_a_scale
http://en.wikipedia.org/wiki/University_of_Mississippi,1927,has time,Ordinal_numbers
http://en.wikipedia.org/wiki/University_of_Mississippi,only Mississippi-born,has theme,Education_teaching
http://en.wikipedia.org/wiki/William_Faulkner,Sound and the Fury,has text,Text
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,laureates,has leader,Leadership
http://en.wikipedia.org/wiki/World_War_I,Royal Canadian Air Force,has group,Becoming_a_member
http://en.wikipedia.org/wiki/William_Faulkner,his first novel Soldiers'Pay 1925,has text,Text_creation
http://en.wikipedia.org/wiki/University_of_Mississippi,Yoknapatawpha County,has location,Ordinal_numbers
http://en.wikipedia.org/wiki/Southern_United_States_literature,1949 Nobel Prize in Literature,has theme,Receiving
http://en.wikipedia.org/wiki/University_of_Mississippi,Literature,has location,Text
http://en.wikipedia.org/wiki/William_Faulkner,uses,has class,Increment
http://en.wikipedia.org/wiki/The_Sound_and_the_Fury,former film,has theme,Removing
http://en.wikipedia.org/wiki/William_Faulkner,best,has degree,Fame
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Nobel,has theme,Leadership
http://en.wikipedia.org/wiki/University_of_Mississippi,former,has time,Behind_the_scenes
http://en.wikipedia.org/wiki/Southern_United_States_literature,greatest writer of Southern literature,has category,Categorization
http://en.wikipedia.org/wiki/World_War_I,During World War I,has time,Becoming_a_member
http://en.wikipedia.org/wiki/William_Faulkner,1927,has time,Motion
http://en.wikipedia.org/wiki/United_States,1962,has time,Origin
http://en.wikipedia.org/wiki/William_Faulkner,As I Lay Dying,has text,Text_creation
http://en.wikipedia.org/wiki/University_of_Mississippi,Two,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/University_of_Mississippi,1949,has time,Relative_time
http://en.wikipedia.org/wiki/University_of_Mississippi,Nobel,has level,Education_teaching
http://en.wikipedia.org/wiki/William_Faulkner,1954,has time,Labor_product
http://en.wikipedia.org/wiki/Southern_United_States_literature,writers,has entity,Subjective_influence
http://en.wikipedia.org/wiki/The_Sound_and_the_Fury,Ernest Hemingway's novel,has theme,Removing
http://en.wikipedia.org/wiki/Southern_United_States_literature,"Nobel laureate, Faulkner",has item,Categorization
http://en.wikipedia.org/wiki/William_Faulkner,Sartoris 1927 ,has text,Text_creation
http://en.wikipedia.org/wiki/William_Faulkner,1927,has time,Text_creation
http://en.wikipedia.org/wiki/Ernest_Hemingway,contributions by two Nobel laureates,has type,Behind_the_scenes
http://en.wikipedia.org/wiki/Southern_United_States_literature,literature,has theme,Fields
http://en.wikipedia.org/wiki/The_Sound_and_the_Fury,1954,has time,Win_prize
http://en.wikipedia.org/wiki/William_Faulkner,works,has theme,Labor_product
http://en.wikipedia.org/wiki/Southern_United_States_literature,Southern,has theme,Part_orientational
http://en.wikipedia.org/wiki/Southern_United_States_literature,http://en.wikipedia.org/wiki/William_Faulkner,has recipient,Receiving
http://en.wikipedia.org/wiki/William_Faulkner,"Oxford, Mississippi",has location,Growing_food
http://en.wikipedia.org/wiki/University_of_Mississippi,"Howard Hawks's To Have and Have Not and The Big Sleep, adapted from Raymond Chandler's novel",has recipient,Giving
http://en.wikipedia.org/wiki/Southern_United_States_literature,literature,has entity,Origin
http://en.wikipedia.org/wiki/University_of_Mississippi,as a screenwriter,has position,Being_employed
http://en.wikipedia.org/wiki/William_Faulkner,as one of the most influential and important writers of the 20th century,has category,Categorization
http://en.wikipedia.org/wiki/United_States,Literature,has location,Origin
http://en.wikipedia.org/wiki/Southern_United_States_literature,20th,has theme,Calendric_unit
http://en.wikipedia.org/wiki/United_States,Literature,has location,Text
http://en.wikipedia.org/wiki/William_Faulkner,1949,has time,Fame
http://en.wikipedia.org/wiki/William_Faulkner,his novels and short stories set in the fictional Yoknapatawpha County,has reason,Fame
http://en.wikipedia.org/wiki/William_Faulkner,back to Oxford,has goal,Motion
http://en.wikipedia.org/wiki/United_States,1949,has time,Origin
http://en.wikipedia.org/wiki/William_Faulkner,August,has location,Text_creation
http://en.wikipedia.org/wiki/Ernest_Hemingway,novel,has text,Text
http://en.wikipedia.org/wiki/University_of_Mississippi,publication of Malcolm Cowley's The Portable Faulkner,has theme,Relative_time
