Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Wole_Soyinka,"university's magazine, The Eagle",has theme,People_by_vocation
http://en.wikipedia.org/wiki/Abu_Dhabi,New York University Abu Dhabi,has location,Time_vector
http://en.wikipedia.org/wiki/Government_College_Umuahia,works,has theme,Labor_product
http://en.wikipedia.org/wiki/Government_College_Umuahia,Ak,has location,Kinship
http://en.wikipedia.org/wiki/Eagle_(British_comics),magazine,has text,Text
http://en.wikipedia.org/wiki/Nigerians,stories,has theme,Duration_description
http://en.wikipedia.org/wiki/Government_College_Umuahia,collections,has theme,Aggregate
http://en.wikipedia.org/wiki/Wole_Soyinka,name,has theme,Being_named
http://en.wikipedia.org/wiki/Nigerians,many,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/Wole_Soyinka,novels,has text,Text
http://en.wikipedia.org/wiki/Wole_Soyinka,Since 1 September 2022,has time,Defending
http://en.wikipedia.org/wiki/Wole_Soyinka,as one of Africa's greatest writers and one of the world's most important dramatists,has category,Categorization
http://en.wikipedia.org/wiki/Wole_Soyinka,into an Anglican Yoruba family,has theme,Being_born
http://en.wikipedia.org/wiki/Nigerians,author,has text,Text_creation
http://en.wikipedia.org/wiki/Government_College_Umuahia,period,has theme,Frequency
http://en.wikipedia.org/wiki/Nigeria,country ’s,has participant,Individual_history
http://en.wikipedia.org/wiki/Government_College_Umuahia,numerous,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/Nigerians,Soyinka surname ,has theme,Reference_text
http://en.wikipedia.org/wiki/Government_College_Umuahia,"Government College, Ibadan",has institution,Education_teaching
http://en.wikipedia.org/wiki/Government_College_Umuahia,http://en.wikipedia.org/wiki/Wole_Soyinka,has artist,Behind_the_scenes
http://en.wikipedia.org/wiki/Nigerians,works,has theme,Translating
http://en.wikipedia.org/wiki/Government_College_Umuahia,Nigeria and the UK,has location,Buildings
http://en.wikipedia.org/wiki/Wole_Soyinka,http://en.wikipedia.org/wiki/Nigeria,has location,Text
http://en.wikipedia.org/wiki/Nigeria,plays,has theme,Quantified_mass
http://en.wikipedia.org/wiki/Wole_Soyinka,short stories,has text,Text_creation
http://en.wikipedia.org/wiki/Government_College_Umuahia,poems,has text,Text
http://en.wikipedia.org/wiki/Government_College_Umuahia,range,has object,Dimension
http://en.wikipedia.org/wiki/Nigerians,1934,has time,Fame
http://en.wikipedia.org/wiki/Abu_Dhabi,Soyinka has held the position of Arts Professor of Theatre at New York University Abu Dhabi,has event,Time_vector
http://en.wikipedia.org/wiki/Wole_Soyinka,"three novels, ten collections of short stories, seven poetry collections, twenty-five plays and five memoirs",has text,Text_creation
http://en.wikipedia.org/wiki/Wole_Soyinka,http://en.wikipedia.org/wiki/University_of_Leeds,has institution,Studying
http://en.wikipedia.org/wiki/Africa,dramatists,has theme,Importance
http://en.wikipedia.org/wiki/Government_College_Umuahia,published collections,has theme,Quantified_mass
http://en.wikipedia.org/wiki/Abu_Dhabi,2022,has time,Education_teaching
http://en.wikipedia.org/wiki/Wole_Soyinka,Arts Professor of Theatre,has position,Being_employed
http://en.wikipedia.org/wiki/Eagle_(British_comics),http://en.wikipedia.org/wiki/Wole_Soyinka,has entity,Becoming
http://en.wikipedia.org/wiki/Nigerians,novels,has text,Text
http://en.wikipedia.org/wiki/Government_College_Umuahia,BBC Lecture series,has purpose,Cooking_creation
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,http://en.wikipedia.org/wiki/Wole_Soyinka,has recipient,Receiving
http://en.wikipedia.org/wiki/Wole_Soyinka,New York University Abu Dhabi,has theme,Being_employed
http://en.wikipedia.org/wiki/Abu_Dhabi,New York University Abu Dhabi,has location,Education_teaching
http://en.wikipedia.org/wiki/Abu_Dhabi,University,has theme,Political_locales
http://en.wikipedia.org/wiki/Wole_Soyinka,two translated works and many articles and short stories for many newspapers and periodicals,has text,Text_creation
http://en.wikipedia.org/wiki/Government_College_Umuahia,1989,has time,Ordinal_numbers
http://en.wikipedia.org/wiki/Government_College_Umuahia,http://en.wikipedia.org/wiki/Wole_Soyinka,has student,Education_teaching
http://en.wikipedia.org/wiki/Wole_Soyinka,http://en.wikipedia.org/wiki/Nigeria,has theme,Departing
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,1986,has time,Receiving
http://en.wikipedia.org/wiki/Nigerians,best,has degree,Fame
http://en.wikipedia.org/wiki/Government_College_Umuahia,theatres,has theme,Buildings
http://en.wikipedia.org/wiki/Government_College_Umuahia,published,has theme,Aggregate
http://en.wikipedia.org/wiki/Wole_Soyinka,2022,has time,Being_employed
http://en.wikipedia.org/wiki/Wole_Soyinka,Oluwole Babatunde Soyinka GCON,has person,Being_born
http://en.wikipedia.org/wiki/Wole_Soyinka,writing short stories and making records for the BBC Lecture series,has activity,Activity_start
http://en.wikipedia.org/wiki/Abu_Dhabi,New York,has theme,Political_locales
http://en.wikipedia.org/wiki/Africa,writers,has author,Text_creation
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Literature,has location,Receiving
http://en.wikipedia.org/wiki/Government_College_Umuahia,which,has act,Intentionally_act
http://en.wikipedia.org/wiki/Abu_Dhabi,2022,has time,Time_vector
http://en.wikipedia.org/wiki/Wole_Soyinka,Since 1 September 2022,has theme,Being_employed
http://en.wikipedia.org/wiki/Abu_Dhabi,2022,has time,Political_locales
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,1986 Nobel Prize in Literature,has theme,Receiving
http://en.wikipedia.org/wiki/Nigerians,1934,has time,Text_creation
http://en.wikipedia.org/wiki/Nigerians,as a playwright and poet,has role,Fame
http://en.wikipedia.org/wiki/Wole_Soyinka,Ak,has location,Self_motion
http://en.wikipedia.org/wiki/Eagle_(British_comics),university's,has author,Text
http://en.wikipedia.org/wiki/Government_College_Umuahia,stories,has theme,Duration_description
http://en.wikipedia.org/wiki/Wole_Soyinka,"many plays which were performed on radios and in theatres in Nigeria and the UK, especially the Royal Court Theatre",has text,Text_creation
http://en.wikipedia.org/wiki/Government_College_Umuahia,that,has theme,Arriving
http://en.wikipedia.org/wiki/Government_College_Umuahia,these works,has theme,Adjacency
http://en.wikipedia.org/wiki/Wole_Soyinka,his third wife Folake Doherty,has theme,Personal_relationship
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,"his "" wide cultural perspective and poetic overtones fashioning the drama of existence",has theme,Receiving
http://en.wikipedia.org/wiki/Abu_Dhabi,Since,has theme,Time_vector
http://en.wikipedia.org/wiki/Nigerians,memoirs,has text,Text
http://en.wikipedia.org/wiki/Government_College_Umuahia,audience,has group,Diversity
http://en.wikipedia.org/wiki/Government_College_Umuahia,stories,has text,Text
http://en.wikipedia.org/wiki/Wole_Soyinka,UK,has location,Activity_start
http://en.wikipedia.org/wiki/Nigerians,poet,has author,Text
http://en.wikipedia.org/wiki/Nigerians,works,has theme,Labor_product
http://en.wikipedia.org/wiki/Wole_Soyinka,"Aké, Abeokuta",has location,Being_born
http://en.wikipedia.org/wiki/Government_College_Umuahia,http://en.wikipedia.org/wiki/Wole_Soyinka,has theme,Cooking_creation
http://en.wikipedia.org/wiki/Government_College_Umuahia,that,has theme,Desirability
http://en.wikipedia.org/wiki/Nigerians,plays,has text,Text
http://en.wikipedia.org/wiki/Government_College_Umuahia,he produced a wide range of satirical writings that reached a broad audience and enjoyed considerable popularity,has theme,Adjacency
http://en.wikipedia.org/wiki/Wole_Soyinka,"Born into an Anglican Yoruba family in Aké, Abeokuta",has theme,Self_motion
http://en.wikipedia.org/wiki/Nigerians,short stories,has theme,Aggregate
http://en.wikipedia.org/wiki/Nigerians,poetry,has theme,Aggregate
http://en.wikipedia.org/wiki/Government_College_Umuahia,"radios and in theatres in Nigeria and the UK, especially the Royal Court Theatre",has location,Intentionally_act
http://en.wikipedia.org/wiki/Government_College_Umuahia,Anglican Yoruba,has theme,Kinship
http://en.wikipedia.org/wiki/Government_College_Umuahia,broad audience,has goal,Arriving
http://en.wikipedia.org/wiki/Eagle_(British_comics),1950s,has time,Becoming
http://en.wikipedia.org/wiki/Nigeria,plays,has theme,Performing_arts
http://en.wikipedia.org/wiki/Eagle_(British_comics),full-time author,has theme,Becoming
http://en.wikipedia.org/wiki/Wole_Soyinka,1989,has time,Personal_relationship
http://en.wikipedia.org/wiki/Government_College_Umuahia,records,has theme,Cooking_creation
http://en.wikipedia.org/wiki/Wole_Soyinka,New York University Abu Dhabi,has location,Defending
http://en.wikipedia.org/wiki/Abu_Dhabi,Arts,has theme,Education_teaching
http://en.wikipedia.org/wiki/Government_College_Umuahia,that period,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Government_College_Umuahia,individual poems,has theme,Quantified_mass
http://en.wikipedia.org/wiki/Government_College_Umuahia,wide range of satirical writings that reached a broad audience and enjoyed considerable popularity,has theme,Behind_the_scenes
http://en.wikipedia.org/wiki/Government_College_Umuahia,"he was the editor of the university's magazine, The Eagle, before becoming a full-time author in the 1950s",has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Government_College_Umuahia,wife,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Abu_Dhabi,New York University Abu Dhabi,has location,Political_locales
http://en.wikipedia.org/wiki/Nigerians,articles,has text,Text
http://en.wikipedia.org/wiki/Nigerians,collections,has theme,Aggregate
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Folake,has theme,Personal_relationship
http://en.wikipedia.org/wiki/Wole_Soyinka,http://en.wikipedia.org/wiki/University_of_Ibadan,has goal,Self_motion
http://en.wikipedia.org/wiki/Government_College_Umuahia,wide,has theme,Dimension
http://en.wikipedia.org/wiki/Wole_Soyinka,New York University Abu Dhabi,has location,Being_employed
http://en.wikipedia.org/wiki/Government_College_Umuahia,Ak,has location,Education_teaching
http://en.wikipedia.org/wiki/Wole_Soyinka,position of Arts Professor of Theatre at New York University Abu Dhabi,has theme,Defending
http://en.wikipedia.org/wiki/Nigerians,newspapers and periodicals,has theme,Quantified_mass
http://en.wikipedia.org/wiki/Wole_Soyinka,http://en.wikipedia.org/wiki/Nigeria,has location,Text_creation
http://en.wikipedia.org/wiki/Government_College_Umuahia,satirical,has theme,Text
http://en.wikipedia.org/wiki/Government_College_Umuahia,considerable,has degree,Desirability
http://en.wikipedia.org/wiki/Nigerians,articles,has theme,Quantified_mass
http://en.wikipedia.org/wiki/Nigeria,many,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/Wole_Soyinka,study at the University of Leeds,has purpose,Departing
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,1989,has time,Personal_relationship
http://en.wikipedia.org/wiki/Nigerians,stories,has text,Text
http://en.wikipedia.org/wiki/Government_College_Umuahia,satirical writings,has group,Diversity
http://en.wikipedia.org/wiki/Nigerians,two,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/Africa,world's,has theme,Importance
http://en.wikipedia.org/wiki/Government_College_Umuahia,poet,has agent,Accomplishment
http://en.wikipedia.org/wiki/Nigerians,translated works,has entity,Cardinal_numbers
http://en.wikipedia.org/wiki/Nigeria,country,has theme,Political_locales
http://en.wikipedia.org/wiki/Nigerians,Nigerian author,has entity,Fame
http://en.wikipedia.org/wiki/Abu_Dhabi,New York University Abu Dhabi,has institution,Education_teaching
http://en.wikipedia.org/wiki/Wole_Soyinka,13 July 1934,has time,Being_born
http://en.wikipedia.org/wiki/Nigerians,poetry,has text,Text
http://en.wikipedia.org/wiki/Africa,most,has degree,Importance
http://en.wikipedia.org/wiki/Government_College_Umuahia,family,has theme,Kinship
http://en.wikipedia.org/wiki/Government_College_Umuahia,writings,has text,Text
http://en.wikipedia.org/wiki/Nigeria,history,has theme,Individual_history
http://en.wikipedia.org/wiki/Abu_Dhabi,1 September 2022,has theme,Time_vector
http://en.wikipedia.org/wiki/Wole_Soyinka,Soyinka's,has author,Text
http://en.wikipedia.org/wiki/Government_College_Umuahia,preparatory,has skill,Education_teaching
