subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Text:has_text,poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/J._R._R._Tolkien,People_by_vocation:has_theme,Rawlinson and Bosworth,0.9,Unknown,True
http://en.wikipedia.org/wiki/J._R._R._Tolkien,Social_connection:has_degree,close,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Causation:has_effect,avalanche of new fantasy books and authors,0.9,Unknown,True
http://en.wikipedia.org/wiki/J._R._R._Tolkien,Kinship:has_theme,father,0.9,Unknown,True
http://en.wikipedia.org/wiki/J._R._R._Tolkien,Text_creation:has_text,high fantasy works The Hobbit and The Lord of the Rings,0.9,Unknown,True
http://en.wikipedia.org/wiki/J._R._R._Tolkien,People_by_vocation:has_type,Anglo-Saxon,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Increment:has_class,authors,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Aggregate:has_theme,connected,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Coming_up_with:has_theme,languages,0.9,Unknown,True
http://en.wikipedia.org/wiki/English_studies,Identicality:has_theme,university,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Pembroke_College,_Cambridge",People:has_person,Fellow,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Personal_success:has_theme,Hobbit and The Lord of the Rings,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Simple_name:has_theme,legendarium,0.9,Unknown,True
http://en.wikipedia.org/wiki/J._R._R._Tolkien,Using:has_purpose,larger part of these writings,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Text_creation:has_author,authors,0.9,Unknown,True
http://en.wikipedia.org/wiki/English_studies,Age:has_age,new,0.9,Unknown,True
http://en.wikipedia.org/wiki/J._R._R._Tolkien,Social_connection:has_theme,"C. S. Lewis, a co-member of the Inklings, an informal literary discussion group",0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Referring_by_name:has_theme,http://en.wikipedia.org/wiki/Arda_(Tolkien),0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Hobbit,Position_on_a_scale:has_item,fantasy works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Part_whole:has_theme,part,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Publishing:has_time,before Tolkien,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Creating:has_cause,"These, together with The Hobbit and The Lord of the Rings",0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Categorization:has_category,as one of the most influential authors of all time,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Text:has_text,essays,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Part_whole:has_theme,these writings,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Emotion_directed:has_theme,fantasy genre,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Publishing:has_work,works of fantasy,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Subjective_influence:has_entity,authors,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Text:has_theme,"fantasy world called Arda and, within it, Middle-earth",0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Quantified_mass:has_quantity,avalanche,0.9,Unknown,True
http://en.wikipedia.org/wiki/English_studies,Being_employed:has_time,1945,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Emotion_directed:has_degree,profound,0.9,Unknown,True
http://en.wikipedia.org/wiki/J._R._R._Tolkien,Awareness:has_theme,himself,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Inclusion:has_theme,his father's extensive notes and unpublished manuscripts,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Increment:has_theme,many,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Publishing:has_theme,many other authors,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Merton_College,_Oxford",Institutionalization:has_time,1945,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Publishing:has_work,"series of works based on his father's extensive notes and unpublished manuscripts, including The Silmarillion",0.9,Unknown,True
http://en.wikipedia.org/wiki/J._R._R._Tolkien,People_by_vocation:has_time,1945,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Hobbit,Labor_product:has_theme,works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Labor_product:has_theme,works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Text:has_text,manuscripts,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Inclusion:has_theme,Silmarillion,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Text:has_text,books,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Relative_time:has_theme,Tolkien's death,0.9,Unknown,True
http://en.wikipedia.org/wiki/J._R._R._Tolkien,Social_connection:has_theme,friend,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Appointing:has_theme,Queen Elizabeth II,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Categorization:has_category,"as the ""father"" of modern fantasy literature",0.9,Unknown,True
"http://en.wikipedia.org/wiki/Pembroke_College,_Cambridge",Locale_by_use:has_time,1925,0.9,Unknown,True
http://en.wikipedia.org/wiki/English_studies,Locale_by_use:has_theme,university,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Part_whole:has_time,1951,0.9,Unknown,True
http://en.wikipedia.org/wiki/J._R._R._Tolkien,Kinship:has_theme,son,0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Creating:has_theme,"connected body of tales, poems, fictional histories, invented languages, and literary essays about a fantasy world called Arda and, within it, Middle-earth",0.9,Unknown,True
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,Personal_success:has_degree,tremendous,0.9,Unknown,True
