subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Three_Kingdoms,Text_creation:has_text,"Romance of the Three Kingdoms, another of the Four Great Classical Novels",0.9,Unknown,True
http://en.wikipedia.org/wiki/Lu_Xun,Achieving_first:has_theme,"name ""Shi Nai'an ",0.9,Unknown,True
http://en.wikipedia.org/wiki/Gé_Korsten,Coming_to_believe:has_theme,"that the debate over the existence of Shi will "" never lead to a conclusive end",0.9,Unknown,True
"http://en.wikipedia.org/wiki/Xinghua,_Jiangsu",Sending:has_purpose,investigate,0.9,Unknown,True
http://en.wikipedia.org/wiki/Shi_Nai'an,Source_of_getting:has_theme,reliable,0.9,Unknown,True
http://en.wikipedia.org/wiki/Shi_Nai'an,Causation:has_cause,debate over the existence of Shi,0.9,Unknown,True
http://en.wikipedia.org/wiki/Chinese_language,Origin:has_entity,writer,0.9,Unknown,True
http://en.wikipedia.org/wiki/Three_Kingdoms,Statement:has_message,that Shi lived near the end of the Yuan dynasty and that he was a native of Hangzhou,0.9,Unknown,True
http://en.wikipedia.org/wiki/Lu_Xun,Temporal_subregion:has_theme,20th century,0.9,Unknown,True
http://en.wikipedia.org/wiki/Shi_Nai'an,Being_named:has_location,"http://en.wikipedia.org/wiki/Xinghua,_Jiangsu",0.9,Unknown,True
http://en.wikipedia.org/wiki/Chinese_language,Being_named:has_theme,name,0.9,Unknown,True
http://en.wikipedia.org/wiki/Lu_Xun,Text:has_text,novel,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gé_Korsten,Coming_to_believe:has_theme,Ge Liangyan,0.9,Unknown,True
http://en.wikipedia.org/wiki/Shi_Nai'an,Being_born:has_location,"http://en.wikipedia.org/wiki/Xinghua,_Jiangsu",0.9,Unknown,True
http://en.wikipedia.org/wiki/Classic_Chinese_Novels,Increment:has_class,Four Great Classical Novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_II,Locating:has_location,"Xinghua county, Jiangsu",0.9,Unknown,True
http://en.wikipedia.org/wiki/Lu_Xun,People_by_vocation:has_person,scholar,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Xinghua,_Jiangsu",Aggregate:has_theme,team,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_II,Becoming_aware:has_theme,Not even the faintest vestige of Shi Nai'an,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_II,Becoming_aware:has_state,be there,0.9,Unknown,True
http://en.wikipedia.org/wiki/Lu_Xun,Opinion:has_theme,early 20th century scholar Lu Xun,0.9,Unknown,True
http://en.wikipedia.org/wiki/Shi_Nai'an,Indigenous_origin:has_theme,http://en.wikipedia.org/wiki/Hangzhou,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_II,Time_vector:has_theme,World War II,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_II,Locating:has_theme,memorial tablet bearing Shi's name,0.9,Unknown,True
http://en.wikipedia.org/wiki/Shi_Nai'an,Trust:has_information,sources for his biography,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_II,First_rank:has_item,investigator,0.9,Unknown,True
http://en.wikipedia.org/wiki/Three_Kingdoms,Statement:has_speaker,Late Ming and early Qing scholars,0.9,Unknown,True
http://en.wikipedia.org/wiki/Three_Kingdoms,Taking_sides:has_issue,that,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_II,Statement:has_speaker,chief investigator,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_II,Process_end:has_process,debate over the existence of Shi,0.9,Unknown,True
http://en.wikipedia.org/wiki/Chinese_language,Statement:has_speaker,recent Chinese scholar Ge Liangyan,0.9,Unknown,True
http://en.wikipedia.org/wiki/Lu_Xun,Opinion:has_opinion,"that the name ""Shi Nai'an "" might have been invented by composers of a later edition of the novel",0.9,Unknown,True
http://en.wikipedia.org/wiki/Lu_Xun,Text:has_theme,novel,0.9,Unknown,True
http://en.wikipedia.org/wiki/Three_Kingdoms,Education_teaching:has_teacher,http://en.wikipedia.org/wiki/Shi_Nai'an,0.9,Unknown,True
http://en.wikipedia.org/wiki/Shi_Nai'an,Being_named:has_entity,Shi's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Lu_(state),Existence:has_entity,Lu,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_II,Give_impression:has_theme,Evidence in a family genealogy,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Xinghua,_Jiangsu",Sending:has_theme,team of researches,0.9,Unknown,True
http://en.wikipedia.org/wiki/Shi_Nai'an,Being_named:has_entity,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Classic_Chinese_Novels,Judgment:has_evaluee,"Shuihu zhuan ( Water Margin ), one of the Four Great Classical Novels of Chinese literature",0.9,Unknown,True
http://en.wikipedia.org/wiki/Three_Kingdoms,Awareness:has_theme,http://en.wikipedia.org/wiki/Luo_Guanzhong,0.9,Unknown,True
http://en.wikipedia.org/wiki/Chinese_language,Statement:has_message,"that little is known about Luo, and about Shi even less",0.9,Unknown,True
http://en.wikipedia.org/wiki/Shi_Nai'an,Being_born:has_person,Shi's name,0.9,Unknown,True
http://en.wikipedia.org/wiki/Shi_Nai'an,Existence:has_entity,"few reliable sources for his biography, much less his literary activity",0.9,Unknown,True
http://en.wikipedia.org/wiki/Lu_Xun,Achieving_first:has_theme,composers of a later edition of the novel,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_II,Being_named:has_theme,his honour,0.9,Unknown,True
http://en.wikipedia.org/wiki/Shi_Nai'an,Source_of_getting:has_theme,sources,0.9,Unknown,True
http://en.wikipedia.org/wiki/Classic_Chinese_Novels,Cardinal_numbers:has_entity,Four Great Classical Novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Shi_Nai'an,Quantified_mass:has_quantity,few,0.9,Unknown,True
http://en.wikipedia.org/wiki/Shi_Nai'an,Intentionally_act:has_theme,literary,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_II,Give_impression:has_theme,affirm his identity,0.9,Unknown,True
http://en.wikipedia.org/wiki/Three_Kingdoms,Temporal_subregion:has_theme,end,0.9,Unknown,True
